Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
IRTravaris Cadet RB BUF (6),,NEL 3-23 ,4.1,,4,22,0,,3,5,19,0,,0,0,41,,2%
Elijah McGuire RB NYJ (11),,KCW 38-31 ,4,,5,20,0,,0,0,0,0,,0,0,20,,16%
Austin Ekeler RB LAC (9),,CLEW 19-10 ,4,,4,19,0,,2,3,21,0,,0,0,40,,29%
Corey Clement RB PHI (10),,@SEAL 10-24 ,3.7,,3,7,0,,3,3,30,0,,0,0,37,,20%
IRByron Marshall RB WAS (5),,@DALL 14-38 ,3.6,,4,12,0,,5,6,24,0,,0,0,65,,2%
Jordan Howard RB CHI (9),,SFL 14-15 ,3.3,,13,38,0,,1,2,-5,0,,0,0,33,,95%
Alfred Blue RB HOU (7),,@TENL 13-24 ,2.9,,4,2,0,,1,1,7,0,,0,0,9,,4%
Javorius Allen RB BAL (10),,DETW 44-20 ,2.6,,7,22,0,,1,1,4,0,,0,0,26,,46%
LeGarrette Blount RB PHI (10),,@SEAL 10-24 ,2.6,,8,26,0,,0,0,0,0,,0,0,26,,76%
Jacquizz Rodgers RB TB (1),,@GBL 20-26 ,2.5,,3,25,0,,0,0,0,0,,0,0,45,,31%
OUTT.J. Yeldon RB JAC (8),,INDW 30-10 ,2.5,,0,0,0,,2,2,25,0,,0,0,25,,20%
D.J. Foster RB ARI (8),,LAL 16-32 ,2.5,,2,5,0,,2,5,20,0,,0,0,25,,2%
Danny Woodhead RB BAL (10),,DETW 44-20 ,2.3,,3,9,0,,2,2,14,0,,0,0,23,,52%
Jamize Olawale RB OAK (10),,NYGW 24-17 ,2.3,,1,9,0,,2,2,14,0,,0,0,23,,1%
Kyle Juszczyk RB SF (11),,@CHIW 15-14 ,2.3,,1,3,0,,3,3,20,0,,0,0,23,,3%
IRAkeem Hunt RB KC (10),,@NYJL 31-38 ,2.2,,1,2,0,,1,1,20,0,,0,0,60,,1%
Wayne Gallman RB NYG (8),,@OAKL 17-24 ,1.9,,3,11,0,,1,1,8,0,,0,0,19,,19%
Josh Ferguson RB IND (11),,@JACL 10-30 ,1.6,,0,0,0,,3,3,16,0,,0,0,68,,1%
Chris Ivory RB JAC (8),,INDW 30-10 ,1.5,,4,12,0,,1,1,3,0,,0,0,15,,28%
QC.J. Ham RB MIN (9),,@ATLW 14-9 ,1.3,,1,1,0,,1,1,12,0,,0,0,13,,0%
