Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
QRicky Seals-Jones TE ARI (8),,@HOUL 21-31 ,17.4,,0,0,0,,3,5,54,2,,0,2,54,,21%
Jimmy Graham TE SEA (6),,ATLL 31-34 ,13.8,,0,0,0,,7,11,58,1,,0,1,58,,96%
IRO.J. Howard TE TB (1),,@MIAW 30-20 ,11.2,,0,0,0,,3,4,52,1,,0,1,52,,38%
OUTAdam Shaheen TE CHI (9),,DETL 24-27 ,10.1,,0,0,0,,4,4,41,1,,0,1,41,,10%
Delanie Walker TE TEN (8),,@PITL 17-40 ,9.2,,0,0,0,,6,9,92,0,,0,0,92,,93%
IRCoby Fleener TE NO (5),,WASW 34-31 ,9.1,,0,0,0,,5,5,91,0,,0,0,91,,44%
Levine Toilolo TE ATL (5),,@SEAW 34-31 ,9.1,,0,0,0,,2,2,31,1,,0,1,31,,1%
QTravis Kelce TE KC (10),,@NYGL 9-12 ,8.9,,0,0,0,,8,14,109,0,,0,0,109,,97%
Marcedes Lewis TE JAC (8),,@CLEW 19-7 ,8.6,,0,0,0,,2,2,26,1,,0,1,26,,16%
Jesse James TE PIT (9),,TENW 40-17 ,8.1,,0,0,0,,5,8,21,1,,0,1,21,,28%
Tyler Kroft TE CIN (6),,@DENW 20-17 ,7.2,,0,0,0,,2,3,12,1,,0,1,12,,39%
Vernon Davis TE WAS (5),,@NOL 31-34 ,6.7,,0,0,0,,3,6,67,0,,0,0,67,,49%
Jeremy Sprinkle TE WAS (5),,@NOL 31-34 ,6.7,,0,0,0,,1,1,7,1,,0,1,7,,1%
QKyle Rudolph TE MIN (9),,LAW 24-7 ,5.8,,0,0,0,,5,7,58,0,,0,0,58,,91%
Josh Hill TE NO (5),,WASW 34-31 ,5.5,,1,-8,0,,1,1,3,1,,0,1,-5,,1%
Eric Ebron TE DET (7),,@CHIW 27-24 ,4.9,,0,0,0,,4,7,49,0,,0,0,49,,63%
Rob Gronkowski TE NE (9),,@OAKW 33-8 ,3.7,,0,0,0,,3,3,37,0,,0,0,37,,98%
Jared Cook TE OAK (10),,NEL 8-33 ,3.6,,0,0,0,,2,5,36,0,,0,0,36,,63%
Austin Traylor TE DEN (5),,CINL 17-20 ,3.6,,0,0,0,,4,5,36,0,,0,0,36,,0%
Benjamin Watson TE BAL (10),,@GBW 23-0 ,3.3,,0,0,0,,1,1,33,0,,0,0,33,,28%
IRJulius Thomas TE MIA (1),,TBL 20-30 ,3,,0,0,0,,4,4,30,0,,0,0,30,,45%
Brent Celek TE PHI (10),,@DALW 37-9 ,2.8,,0,0,0,,1,2,28,0,,0,0,28,,2%
QCharles Clay TE BUF (6),,@LACL 24-54 ,2.7,,0,0,0,,3,4,27,0,,0,0,27,,44%
IRHunter Henry TE LAC (9),,BUFW 54-24 ,2.5,,0,0,0,,2,5,25,0,,0,0,25,,76%
Dwayne Allen TE NE (9),,@OAKW 33-8 ,2.4,,0,0,0,,2,2,24,0,,0,0,24,,9%
Daniel Brown TE CHI (9),,DETL 24-27 ,2.3,,0,0,0,,2,5,23,0,,0,0,23,,0%
Stephen Anderson TE HOU (7),,ARIW 31-21 ,2.2,,0,0,0,,1,3,22,0,,0,0,22,,10%
Trey Burton TE PHI (10),,@DALW 37-9 ,2,,0,0,0,,0,0,0,0,,0,0,0,,11%
IRC.J. Fiedorowicz TE HOU (7),,ARIW 31-21 ,1.8,,0,0,0,,2,2,18,0,,0,0,18,,26%
Niles Paul TE WAS (5),,@NOL 31-34 ,1.6,,1,5,0,,2,2,11,0,,0,0,16,,1%
IRMartellus Bennett TE NE (9),,@OAKW 33-8 ,1.5,,0,0,0,,3,3,15,0,,0,0,15,,45%
Virgil Green TE DEN (5),,CINL 17-20 ,1.3,,0,0,0,,2,4,13,0,,0,0,13,,3%
David Njoku TE CLE (9),,JACL 7-19 ,1.3,,0,0,0,,1,1,13,0,,0,0,13,,26%
Cameron Brate TE TB (1),,@MIAW 30-20 ,1.2,,0,0,0,,1,3,12,0,,0,0,12,,76%
James O'Shaughnessy TE JAC (8),,@CLEW 19-7 ,1.2,,0,0,0,,1,1,12,0,,0,0,12,,0%
Ross Travis TE KC (10),,@NYGL 9-12 ,1.1,,0,0,0,,1,3,11,0,,0,0,11,,0%
OUTJermaine Gresham TE ARI (8),,@HOUL 21-31 ,1,,0,0,0,,1,1,10,0,,0,0,10,,7%
Sean McGrath TE LAC (9),,BUFW 54-24 ,1,,0,0,0,,1,1,10,0,,0,0,10,,0%
Darren Fells TE DET (7),,@CHIW 27-24 ,0.9,,0,0,0,,1,1,9,0,,0,0,9,,4%
OUTEvan Engram TE NYG (8),,KCW 12-9 ,0.9,,0,0,0,,1,6,9,0,,0,0,9,,83%
Zach Ertz TE PHI (10),,@DALW 37-9 ,0.8,,0,0,0,,2,5,8,0,,0,0,8,,95%
Nick O'Leary TE BUF (6),,@LACL 24-54 ,0.8,,0,0,0,,1,3,8,0,,0,0,8,,2%
Gerald Everett TE LA (8),,@MINL 7-24 ,0.8,,0,0,0,,1,2,8,0,,0,0,8,,11%
Jason Witten TE DAL (6),,PHIL 9-37 ,0.7,,0,0,0,,1,1,7,0,,0,0,7,,86%
Rhett Ellison TE NYG (8),,KCW 12-9 ,0.7,,0,0,0,,1,1,7,0,,0,0,7,,0%
Maxx Williams TE BAL (10),,@GBW 23-0 ,0.6,,0,0,0,,2,2,6,0,,0,0,6,,3%
Jerell Adams TE NYG (8),,KCW 12-9 ,0.6,,0,0,0,,1,1,6,0,,0,0,6,,1%
Lance Kendricks TE GB (8),,BALL 0-23 ,0.5,,0,0,0,,1,4,5,0,,0,0,5,,4%
Seth DeValve TE CLE (9),,JACL 7-19 ,0.5,,0,0,0,,1,3,5,0,,0,0,5,,4%
Tyler Higbee TE LA (8),,@MINL 7-24 ,0.5,,0,0,0,,1,5,5,0,,0,0,5,,7%
David Morgan TE MIN (9),,LAW 24-7 ,0.5,,0,0,0,,1,1,5,0,,0,0,5,,0%
IRClive Walford TE OAK (10),,NEL 8-33 ,0.4,,0,0,0,,1,2,4,0,,0,0,4,,3%
OUTRichard Rodgers TE GB (8),,BALL 0-23 ,0.3,,0,0,0,,1,1,3,0,,0,0,3,,3%
Jeff Cumberland TE LAC (9),,BUFW 54-24 ,0.2,,0,0,0,,1,1,2,0,,0,0,2,,0%
Nick Boyle TE BAL (10),,@GBW 23-0 ,0.2,,0,0,0,,1,2,2,0,,0,0,2,,1%
Antonio Gates TE LAC (9),,BUFW 54-24 ,0,,0,0,0,,0,2,0,0,,0,0,0,,33%
James Hanna TE DAL (6),,PHIL 9-37 ,0,,0,0,0,,0,2,0,0,,0,0,0,,0%
