Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Stephen Gostkowski K - NE,MIA,3.46,0.12,0.6,0.53,0.38,-,8.35
Kai Forbath K - MIN,@DET,2.81,0.06,0.59,0.52,0.45,-,7.67
Blair Walsh K - SEA View Videos,@SF,2.91,0.04,0.55,0.49,0.44,-,7.47
Harrison Butker K - KC View Videos,BUF,2.68,0.06,0.52,0.54,0.47,-,7.45
Matt Bryant K - ATL View Videos,TB,3.02,0.05,0.54,0.48,0.4,-,7.43
Randy Bullock K - CIN View Videos,CLE,2.62,0.07,0.5,0.57,0.45,-,7.39
Ryan Succop K - TEN View News View Videos,@IND,2.71,0.04,0.52,0.52,0.48,-,7.39
Chris Boswell K - PIT,GB,2.71,0.04,0.55,0.47,0.44,-,7.21
Justin Tucker K - BAL View Videos,HOU,2.3,0.04,0.51,0.55,0.51,-,7.13
Jake Elliott K - PHI,CHI,2.52,0.04,0.55,0.53,0.41,-,7.11
Wil Lutz K - NO View Videos,@LA,2.79,0.04,0.51,0.52,0.35,-,7.05
Graham Gano K - CAR,@NYJ,2.05,0.17,0.54,0.47,0.48,-,7.03
Josh Lambo K - JAX View Videos,@ARI,2.08,0.07,0.53,0.56,0.48,-,7.00
Greg Zuerlein K - LA,NO,2.41,0.04,0.52,0.52,0.43,-,6.94
Dan Bailey K - DAL View Videos,LAC,2.33,0.04,0.47,0.57,0.45,-,6.92
Nick Novak K - LAC,@DAL,2.52,0.05,0.55,0.45,0.41,-,6.90
Brandon McManus K - DEN View Videos,@OAK,1.91,0.06,0.58,0.51,0.51,-,6.89
Nick Rose K - LAC View Videos,@DAL,2.38,0.04,0.47,0.55,0.4,-,6.76
Adam Vinatieri K - IND View Videos,TEN,2.09,0.05,0.45,0.53,0.52,-,6.74
Giorgio Tavecchio K - OAK View Videos,DEN,1.88,0.17,0.47,0.47,0.41,-,6.44
Patrick Murray K - TB View News View Videos,@ATL,2.12,0.04,0.47,0.46,0.46,-,6.41
Aldrick Rosas K - NYG View Videos,@WAS,1.98,0.04,0.47,0.52,0.41,-,6.30
Matt Prater K - DET View News,MIN,1.95,0.04,0.45,0.52,0.41,-,6.21
Stephen Hauschka K - BUF View Videos,@KC,1.83,0.09,0.46,0.43,0.4,-,5.97
Zane Gonzalez K - CLE View Videos,@CIN,1.44,0.06,0.42,0.54,0.48,-,5.94
