Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Dan Bailey K - DAL,@PHI,-,-,-,-,-,-,0.00
Connor Barth K,Bye,-,-,-,-,-,-,-
Chris Boswell K - PIT,CLE,-,-,-,-,-,-,0.00
Matt Bryant K - ATL View Videos,CAR,-,-,-,-,-,-,0.00
Randy Bullock K - CIN,@BAL,-,-,-,-,-,-,0.00
Harrison Butker K - KC View Videos,@DEN,-,-,-,-,-,-,0.00
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Chandler Catanzaro K - NYJ,@NE,-,-,-,-,-,-,0.00
Travis Coons K,Bye,-,-,-,-,-,-,-
Mason Crosby K - GB,@DET,-,-,-,-,-,-,0.00
Phil Dawson K - ARI,@SEA,-,-,-,-,-,-,0.00
Jake Elliott K - PHI,DAL,-,-,-,-,-,-,0.00
Ka'imi Fairbairn K - HOU,@IND,-,-,-,-,-,-,0.00
Sam Ficken K - LA View Videos,SF,-,-,-,-,-,-,0.00
Nick Folk K - TB,NO,-,-,-,-,-,-,0.00
Kai Forbath K - MIN,CHI,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Graham Gano K - CAR,@ATL,-,-,-,-,-,-,0.00
Zane Gonzalez K - CLE,@PIT,-,-,-,-,-,-,0.00
Stephen Gostkowski K - NE,NYJ,-,-,-,-,-,-,0.00
Robbie Gould K - SF,@LA,-,-,-,-,-,-,0.00
Stephen Hauschka K - BUF,@MIA,-,-,-,-,-,-,0.00
Dustin Hopkins K - WAS,@NYG,-,-,-,-,-,-,0.00
Sebastian Janikowski K - OAK,@LAC,-,-,-,-,-,-,0.00
Younghoe Koo K,Bye,-,-,-,-,-,-,-
Josh Lambo K - JAX,@TEN,-,-,-,-,-,-,0.00
Wil Lutz K - NO,@TB,-,-,-,-,-,-,0.00
Brandon McManus K - DEN,KC,-,-,-,-,-,-,0.00
Mike Meyer K,Bye,-,-,-,-,-,-,-
Patrick Murray K - TB,NO,-,-,-,-,-,-,0.00
Jason Myers K,Bye,-,-,-,-,-,-,-
Nick Novak K - LAC,OAK,-,-,-,-,-,-,0.00
Mike Nugent K - CHI,@MIN,-,-,-,-,-,-,0.00
Cody Parkey K - MIA,BUF,-,-,-,-,-,-,0.00
Matt Prater K - DET,GB,-,-,-,-,-,-,0.00
Aldrick Rosas K - NYG,WAS,-,-,-,-,-,-,0.00
Nick Rose K - LAC,OAK,-,-,-,-,-,-,0.00
Cairo Santos K - CHI,@MIN,-,-,-,-,-,-,0.00
Caleb Sturgis K - PHI,DAL,-,-,-,-,-,-,0.00
Ryan Succop K - TEN View Videos,JAX,-,-,-,-,-,-,0.00
Giorgio Tavecchio K - OAK,@LAC,-,-,-,-,-,-,0.00
Justin Tucker K - BAL,CIN,-,-,-,-,-,-,0.00
Adam Vinatieri K - IND,HOU,-,-,-,-,-,-,0.00
Blair Walsh K - SEA,ARI,-,-,-,-,-,-,0.00
Greg Zuerlein K - LA,SF,-,-,-,-,-,-,0.00
