Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
LeSean McCoy RB - BUF View Videos,DEN,-,-,-,87.52,0.54,29.67,0.1,-,0.01,0.13,15.32
Leonard Fournette RB - JAX View Videos,BAL,-,-,-,81.12,0.59,27.25,0.13,-,0.01,0.17,14.84
Le'Veon Bell RB - PIT,@CHI,-,-,-,80.47,0.61,27.96,0.09,-,0.01,0.13,14.80
Devonta Freeman RB - ATL View News View Videos,@DET,-,-,-,67.47,0.61,30.22,0.18,-,0.01,0.11,14.31
Kareem Hunt RB - KC View News View Videos,@LAC,-,-,-,70.08,0.63,27.59,0.16,-,-,0.14,14.23
Todd Gurley RB - LA View News View Videos,@SF,-,-,-,68.38,0.47,31.13,0.15,-,0.01,0.16,13.37
Melvin Gordon RB - LAC,KC,-,-,-,67.76,0.52,27.71,0.14,-,-,0.12,13.27
Ty Montgomery RB - GB,CIN,-,-,-,56.21,0.42,40,0.19,-,0.02,0.1,13.12
C.J. Anderson RB - DEN,@BUF,-,-,-,70.46,0.56,20.44,0.11,-,0.01,0.11,12.91
Ezekiel Elliott RB - DAL,@ARI,-,-,-,75.37,0.5,22.13,0.07,-,0.01,0.14,12.91
Dalvin Cook RB - MIN,TB,-,-,-,75.91,0.43,21.23,0.09,-,0.02,0.12,12.63
Carlos Hyde RB - SF,LA,-,-,-,73.82,0.42,21.93,0.13,-,-,0.16,12.56
Jay Ajayi RB - PHI,NYG,-,-,-,79.58,0.49,14.29,0.05,-,-,0.13,12.37
Mike Gillislee RB - NE,HOU,-,-,-,72.43,0.67,6.36,0.03,-,0.01,0.09,11.92
Lamar Miller RB - HOU,@NE,-,-,-,70.11,0.39,17.68,0.07,-,0.01,0.11,11.34
Javorius Allen RB - BAL,@JAX,-,-,-,51.28,0.26,35.72,0.2,-,-,0.11,11.24
Derrick Henry RB - TEN View News View Videos,SEA,-,-,-,64.77,0.57,11.06,0.05,-,-,0.09,11.12
Mark Ingram RB - NO,@CAR,-,-,-,52.8,0.46,23.7,0.09,-,0.02,0.08,10.83
Jordan Howard RB - CHI,PIT,-,-,-,64.75,0.43,14.68,0.06,-,0.01,0.1,10.70
Ameer Abdullah RB - DET,ATL,-,-,-,61.36,0.35,18.36,0.1,-,0.01,0.12,10.45
Isaiah Crowell RB - CLE,@IND,-,-,-,55.37,0.4,19.87,0.07,-,0.02,0.11,10.16
Jacquizz Rodgers RB - TB,@MIN,-,-,-,60.26,0.41,11.28,0.05,-,0.01,0.1,9.73
