Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Jacksonville Jaguars DEF View Videos,@HOU,2.65,1.08,0.69,0.03,0.18,-,0.04,19.11,7.57
Los Angeles Rams DEF View Videos,IND,2.61,1.09,0.65,0.03,0.15,-,0.03,21.17,7.23
Pittsburgh Steelers DEF,@CLE,2.71,1.05,0.64,0.03,0.15,-,0.03,18.32,7.23
Tampa Bay Buccaneers DEF,Bye,2.76,1.03,0.66,0.03,0.12,-,0.03,18.11,-
Denver Broncos DEF,LAC,2.33,1.11,0.62,0.03,0.16,-,0.03,20.14,6.99
Arizona Cardinals DEF,@DET,2.29,1.02,0.7,0.03,0.15,-,0.03,21.07,6.87
Houston Texans DEF,JAX,2.45,1.04,0.65,0.03,0.14,-,0.02,19.67,6.85
Carolina Panthers DEF View Videos,@SF,2.2,1.04,0.74,0.03,0.14,-,0.03,18.03,6.84
Los Angeles Chargers DEF View Videos,@DEN,2.65,0.98,0.63,0.03,0.12,-,0.03,20.68,6.83
Indianapolis Colts DEF,@LA,2.42,0.98,0.68,0.04,0.12,-,0.03,13.69,6.72
Miami Dolphins DEF,Bye,2.18,1.01,0.76,0.03,0.11,-,0.04,19.35,-
Buffalo Bills DEF View Videos,NYJ,2.62,0.92,0.61,0.03,0.1,-,0.05,20.71,6.64
Green Bay Packers DEF,SEA,2.79,0.87,0.58,0.03,0.11,-,0.02,21.25,6.53
Minnesota Vikings DEF,NO,2.19,1.02,0.61,0.03,0.14,-,0.03,21.83,6.53
Atlanta Falcons DEF View Videos,@CHI,2.4,0.93,0.63,0.03,0.12,-,0.03,20.45,6.48
New Orleans Saints DEF View Videos,@MIN,2.34,0.88,0.76,0.03,0.1,-,0.03,21.14,6.46
New York Jets DEF,@BUF,2.76,0.77,0.7,0.03,0.07,-,0.04,21.38,6.42
Baltimore Ravens DEF,@CIN,2.35,0.92,0.62,0.03,0.12,-,0.02,22.03,6.33
New York Giants DEF,@DAL,1.88,1,0.74,0.04,0.08,-,0.04,23.52,6.16
Chicago Bears DEF,ATL,2.21,0.94,0.61,0.03,0.09,-,0.03,26.08,6.09
Oakland Raiders DEF,@TEN,2.13,0.91,0.64,0.03,0.09,-,0.04,24.59,6.07
Washington Redskins DEF,PHI,1.95,0.99,0.62,0.03,0.11,-,0.03,20.45,6.07
Detroit Lions DEF View Videos,ARI,1.97,0.96,0.65,0.03,0.1,-,0.03,22.4,6.03
Seattle Seahawks DEF View Videos,@GB,2.43,0.81,0.58,0.03,0.09,-,0.03,23.03,5.99
Dallas Cowboys DEF,NYG,1.65,0.95,0.66,0.03,0.12,-,0.03,20.61,5.83
New England Patriots DEF,KC,2.11,0.81,0.6,0.03,0.11,-,0.03,22.59,5.83
Philadelphia Eagles DEF,@WAS,1.7,1.01,0.61,0.03,0.11,-,0.02,24.03,5.78
San Francisco 49ers DEF,CAR,2.06,0.88,0.61,0.03,0.07,-,0.03,22.82,5.70
Cincinnati Bengals DEF,BAL,1.75,0.91,0.62,0.04,0.1,-,0.03,20.65,5.67
Tennessee Titans DEF View Videos,OAK,1.7,0.87,0.7,0.03,0.1,-,0.02,22.85,5.62
Kansas City Chiefs DEF View Videos,@NE,1.8,0.85,0.59,0.04,0.07,-,0.03,30.3,5.36
Cleveland Browns DEF,PIT,1.3,0.85,0.73,0.03,0.08,-,0.03,29.79,5.18
