Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Jacksonville Jaguars DEF View Videos,HOU,2.84,1.2,0.65,0.04,0.18,-,0.03,16.39,7.88
Baltimore Ravens DEF View Videos,@CLE,2.88,1.05,0.66,0.04,0.15,-,0.04,17.09,7.52
Los Angeles Rams DEF View Videos,@SEA,2.57,1.05,0.9,0.04,0.12,-,0.03,20.58,7.45
Buffalo Bills DEF View Videos,MIA,2.29,1.22,0.77,0.03,0.15,-,0.03,19.74,7.41
Denver Broncos DEF View Videos,@IND,2.85,1.03,0.69,0.03,0.14,-,0.03,19.39,7.37
Minnesota Vikings DEF View Videos,CIN,2.85,1.04,0.63,0.05,0.13,-,0.03,19.45,7.25
New Orleans Saints DEF View Videos,NYJ,2.56,1.05,0.61,0.04,0.16,-,0.03,17.34,7.10
Detroit Lions DEF View Videos,CHI,2.4,1.09,0.74,0.03,0.11,-,0.04,20.75,7.02
Washington Redskins DEF View Videos,ARI,2.76,1.02,0.61,0.03,0.12,-,0.03,20.42,6.98
Chicago Bears DEF View Videos,@DET,2.57,0.99,0.7,0.04,0.11,-,0.03,21.65,6.87
Green Bay Packers DEF View Videos,@CAR,2.71,0.97,0.62,0.03,0.12,-,0.03,21.53,6.85
Philadelphia Eagles DEF View Videos,@NYG,2.12,1.08,0.7,0.03,0.15,-,0.03,16.87,6.82
Tennessee Titans DEF View Videos,@SF,2.6,0.91,0.69,0.04,0.11,-,0.03,18.63,6.72
Carolina Panthers DEF View Videos,GB,2.67,0.94,0.6,0.03,0.11,-,0.03,22.17,6.65
Arizona Cardinals DEF View Videos,@WAS,2.36,1,0.61,0.03,0.13,-,0.03,22.23,6.60
Houston Texans DEF View Videos,@JAX,2.16,1.03,0.68,0.03,0.13,-,0.03,20.74,6.60
Miami Dolphins DEF View Videos,@BUF,2.61,0.9,0.67,0.03,0.1,-,0.03,20.37,6.59
Indianapolis Colts DEF View Videos,DEN,2.45,0.97,0.64,0.03,0.11,-,0.03,17.94,6.57
Atlanta Falcons DEF View Videos,@TB,2.27,1.04,0.64,0.03,0.11,-,0.03,20.19,6.53
New York Giants DEF View Videos,PHI,2.14,1.04,0.65,0.03,0.12,-,0.03,22.65,6.48
Seattle Seahawks DEF View Videos,LA,2.28,0.92,0.67,0.04,0.1,-,0.03,27.79,6.32
Los Angeles Chargers DEF View Videos,@KC,2.38,0.9,0.63,0.03,0.1,-,0.03,26.23,6.28
San Francisco 49ers DEF View Videos,TEN,2.22,0.87,0.7,0.03,0.08,-,0.03,22.08,6.08
Cleveland Browns DEF View Videos,BAL,1.96,0.84,0.79,0.03,0.1,-,0.02,22.72,6.00
Oakland Raiders DEF View Videos,DAL,2.07,0.89,0.65,0.03,0.08,-,0.03,22.36,5.87
