Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Matt Ryan QB - ATL View News View Videos,GB,309,2.72,0.88,9.31,0.1,-,-,-,0.03,0.22,22.63
Aaron Rodgers QB - GB,@ATL,301.39,1.92,0.87,25.04,0.21,-,-,-,0.02,0.24,21.32
Tom Brady QB - NE View Videos,@NO,305.27,2.03,0.35,6.71,0.06,-,-,-,0.05,0.21,20.34
Russell Wilson QB - SEA View News View Videos,SF,265.39,1.71,0.33,22.93,0.16,-,-,-,0.06,0.2,19.77
Alex Smith QB - KC View News View Videos,PHI,257.54,1.62,0.54,17.86,0.18,-,-,-,0.11,0.21,18.37
Kirk Cousins QB - WAS View Videos,@LA,293.11,1.74,0.86,9.87,0.12,-,-,-,0.04,0.23,18.29
Derek Carr QB - OAK,NYJ,283.33,1.66,0.46,9.45,0.07,-,-,-,0.12,0.22,18.22
Drew Brees QB - NO View Videos,NE,285.55,2.02,0.94,4.25,0.04,-,-,-,0.07,0.21,18.01
Ben Roethlisberger QB - PIT View Videos,MIN,271.89,1.79,0.58,6.58,0.05,-,-,-,0.24,0.2,17.91
Cam Newton QB - CAR View Videos,BUF,234.22,1.62,0.68,21.45,0.2,-,-,-,0.11,0.2,17.65
Tyrod Taylor QB - BUF View Videos,@CAR,234.44,1.22,0.86,34.98,0.31,-,-,-,0.02,0.21,17.52
Jameis Winston QB - TB,CHI,251.68,1.63,0.78,13.89,0.11,-,-,-,0.08,0.22,16.80
Marcus Mariota QB - TEN View News View Videos,@JAX,255.21,1.5,0.93,17.06,0.13,-,-,-,0.16,0.23,16.69
Carson Palmer QB - ARI,@IND,270.92,1.68,0.58,2.05,0.02,-,-,-,0.11,0.2,16.54
Sam Bradford QB - MIN,@PIT,282.44,1.62,0.9,1.39,0.01,-,-,-,0.13,0.21,16.02
Philip Rivers QB - LAC View Videos,MIA,248.44,1.83,0.87,4.52,0.04,-,-,-,0.06,0.19,15.95
Dak Prescott QB - DAL,@DEN,229.05,1.26,0.55,17.71,0.17,-,-,-,0.02,0.21,15.51
Andy Dalton QB - CIN View Videos,HOU,249.89,1.5,0.87,9.71,0.09,-,-,-,0.01,0.21,15.37
Matthew Stafford QB - DET View Videos,@NYG,247.92,1.52,0.89,10.09,0.07,-,-,-,0.06,0.21,15.35
Trevor Siemian QB - DEN,DAL,246.32,1.46,0.56,6.57,0.06,-,-,-,0.04,0.21,15.25
Eli Manning QB - NYG,DET,259.06,1.54,0.87,3.58,0.04,-,-,-,0.06,0.19,15.12
Blake Bortles QB - JAX View Videos,TEN,245.36,1.37,0.83,12.53,0.1,-,-,-,0.01,0.21,15.09
Joe Flacco QB - BAL View Videos,CLE,243.23,1.47,0.94,5.07,0.05,-,-,-,0.09,0.2,14.32
Mike Glennon QB - CHI,@TB,225.06,1.41,1.04,7.99,0.07,-,-,-,0.06,0.21,13.48
