Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Matt Bryant K - ATL View Videos,MIA,3.18,0.05,0.54,0.55,0.44,-,7.92
Stephen Gostkowski K - NE,@NYJ,3.27,0.11,0.58,0.47,0.38,-,7.89
Ryan Succop K - TEN View Videos,IND,2.77,0.07,0.52,0.62,0.46,-,7.78
Brandon McManus K - DEN,NYG,2.36,0.05,0.59,0.62,0.45,-,7.49
Dustin Hopkins K - WAS,SF,2.98,0.04,0.52,0.51,0.43,-,7.48
Harrison Butker K - KC View Videos,PIT,2.69,0.13,0.55,0.51,0.39,-,7.43
Matt Prater K - DET,@NO,2.71,0.04,0.51,0.51,0.49,-,7.36
Kai Forbath K - MIN,GB,2.45,0.07,0.54,0.58,0.43,-,7.31
Ka'imi Fairbairn K - HOU,CLE,2.47,0.07,0.53,0.54,0.47,-,7.30
Jason Myers K,Bye,2.17,0.07,0.53,0.57,0.46,-,-
Nick Novak K - LAC,@OAK,2.46,0.04,0.51,0.54,0.44,-,7.05
Mason Crosby K - GB,@MIN,2.53,0.05,0.48,0.61,0.36,-,7.03
Wil Lutz K - NO,DET,2.79,0.04,0.49,0.52,0.35,-,6.99
Patrick Murray K - TB,@ARI,2.36,0.05,0.48,0.53,0.46,-,6.92
Justin Tucker K - BAL,CHI,2.17,0.04,0.46,0.54,0.54,-,6.91
Giorgio Tavecchio K - OAK,LAC,2.56,0.04,0.47,0.52,0.4,-,6.85
Phil Dawson K - ARI,TB,2.31,0.04,0.54,0.46,0.47,-,6.84
Adam Vinatieri K - IND,@TEN,1.99,0.05,0.47,0.49,0.53,-,6.61
Graham Gano K - CAR,PHI,2.12,0.04,0.52,0.48,0.41,-,6.47
Cody Parkey K - MIA,@ATL,1.86,0.04,0.44,0.57,0.44,-,6.33
Robbie Gould K - SF,@WAS,1.87,0.04,0.43,0.54,0.43,-,6.19
Chris Boswell K - PIT,@KC,2.08,0.09,0.47,0.43,0.37,-,6.16
Jake Elliott K - PHI,@CAR,2.02,0.04,0.54,0.44,0.35,-,6.13
Chandler Catanzaro K - NYJ,NE,1.84,0.05,0.47,0.42,0.44,-,5.98
Greg Zuerlein K - LA,@JAX,1.7,0.04,0.43,0.48,0.45,-,5.90
Zane Gonzalez K - CLE,@HOU,1.38,0.04,0.37,0.56,0.5,-,5.79
Connor Barth K,Bye,1.47,0.04,0.48,0.44,0.47,-,-
Aldrick Rosas K - NYG,@DEN,1.06,0.06,0.41,0.55,0.45,-,5.47
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Dan Bailey K - DAL,Bye,-,-,-,-,-,-,-
Randy Bullock K - CIN,Bye,-,-,-,-,-,-,-
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Travis Coons K,Bye,-,-,-,-,-,-,-
Sam Ficken K - LA View Videos,@JAX,-,-,-,-,-,-,0.00
Nick Folk K - TB,@ARI,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Stephen Hauschka K - BUF,Bye,-,-,-,-,-,-,-
Sebastian Janikowski K - OAK,LAC,-,-,-,-,-,-,0.00
Younghoe Koo K,Bye,-,-,-,-,-,-,-
Josh Lambo K - JAX,LA,-,-,-,-,-,-,0.00
Mike Meyer K,Bye,-,-,-,-,-,-,-
Mike Nugent K - CHI,@BAL,-,-,-,-,-,-,0.00
Nick Rose K - LAC,@OAK,-,-,-,-,-,-,0.00
Cairo Santos K - CHI,@BAL,-,-,-,-,-,-,0.00
Caleb Sturgis K - PHI,@CAR,-,-,-,-,-,-,0.00
Blair Walsh K - SEA,Bye,-,-,-,-,-,-,-
