Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Minnesota Vikings DEF,@GB,3.02,1.11,0.62,0.05,0.15,-,0.03,18.19,7.66
Los Angeles Chargers DEF View Videos,@NYJ,2.85,1.09,0.64,0.03,0.17,-,0.03,17.2,7.57
Pittsburgh Steelers DEF,@HOU,2.82,1.06,0.68,0.03,0.16,-,0.04,14.8,7.56
Jacksonville Jaguars DEF View Videos,@SF,2.82,1.15,0.63,0.04,0.14,-,0.03,16.9,7.48
Kansas City Chiefs DEF View Videos,MIA,2.49,1.23,0.71,0.04,0.14,-,0.03,17.34,7.47
New York Giants DEF,@ARI,2.58,1.1,0.74,0.03,0.14,-,0.05,19.9,7.46
Baltimore Ravens DEF,IND,2.87,1.06,0.65,0.04,0.14,-,0.03,16.64,7.39
Cleveland Browns DEF,@CHI,2.43,1.08,0.89,0.03,0.1,-,0.03,18.86,7.21
Chicago Bears DEF,CLE,2.64,1,0.66,0.04,0.13,-,0.04,18.92,7.06
Carolina Panthers DEF View Videos,TB,2.42,1.11,0.65,0.03,0.13,-,0.04,14.22,7.02
Denver Broncos DEF,@WAS,2.38,1.03,0.67,0.03,0.14,-,0.03,21.83,6.86
Cincinnati Bengals DEF,DET,2.56,0.98,0.69,0.04,0.11,-,0.03,22.13,6.82
Dallas Cowboys DEF,SEA,2.61,0.95,0.67,0.03,0.11,-,0.03,22.25,6.75
Los Angeles Rams DEF View Videos,@TEN,2.49,1.02,0.63,0.03,0.12,-,0.03,19.13,6.75
Detroit Lions DEF View Videos,@CIN,2.5,1.01,0.65,0.03,0.1,-,0.03,22.99,6.66
New England Patriots DEF,BUF,2.54,0.95,0.68,0.03,0.08,-,0.04,20.28,6.58
Washington Redskins DEF,DEN,2.29,1.04,0.58,0.03,0.13,-,0.03,18.88,6.55
Arizona Cardinals DEF,NYG,2.04,1,0.68,0.03,0.15,-,0.03,19.08,6.54
Seattle Seahawks DEF View Videos,@DAL,2.19,0.99,0.7,0.04,0.09,-,0.04,20.77,6.43
Tampa Bay Buccaneers DEF,@CAR,2.25,0.96,0.7,0.03,0.1,-,0.03,22.47,6.41
Oakland Raiders DEF,@PHI,2.08,0.95,0.67,0.03,0.11,-,0.03,24.12,6.22
Tennessee Titans DEF View Videos,LA,2.34,0.83,0.71,0.04,0.09,-,0.03,29.8,6.22
Philadelphia Eagles DEF,OAK,1.77,1.02,0.71,0.03,0.12,-,0.03,21.94,6.19
New York Jets DEF,LAC,1.87,0.95,0.59,0.05,0.13,-,0.03,21.58,6.01
San Francisco 49ers DEF,JAX,1.74,0.92,0.7,0.04,0.09,-,0.03,21.97,5.78
Miami Dolphins DEF,@KC,2.2,0.79,0.63,0.03,0.08,-,0.03,28.45,5.76
New Orleans Saints DEF View Videos,ATL,1.81,0.89,0.63,0.04,0.08,-,0.04,26.3,5.65
Green Bay Packers DEF,MIN,1.84,0.86,0.62,0.03,0.09,-,0.04,23.64,5.64
Buffalo Bills DEF View Videos,@NE,1.75,0.87,0.65,0.03,0.08,-,0.05,27.14,5.63
Indianapolis Colts DEF,@BAL,1.8,0.85,0.69,0.03,0.09,-,0.02,23.65,5.60
Houston Texans DEF,PIT,1.47,0.91,0.65,0.05,0.11,-,0.03,24.17,5.53
Atlanta Falcons DEF View Videos,@NO,1.64,0.89,0.66,0.03,0.09,-,0.03,24.5,5.52
