Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
San Francisco 49ers DEF,@LA,-,-,-,-,-,-,-,0,0.00
Chicago Bears DEF,@MIN,-,-,-,-,-,-,-,0,0.00
Cincinnati Bengals DEF,@BAL,-,-,-,-,-,-,-,0,0.00
Buffalo Bills DEF View Videos,@MIA,-,-,-,-,-,-,-,0,0.00
Denver Broncos DEF,KC,-,-,-,-,-,-,-,0,0.00
Cleveland Browns DEF,@PIT,-,-,-,-,-,-,-,0,0.00
Tampa Bay Buccaneers DEF,NO,-,-,-,-,-,-,-,0,0.00
Arizona Cardinals DEF,@SEA,-,-,-,-,-,-,-,0,0.00
Los Angeles Chargers DEF View Videos,OAK,-,-,-,-,-,-,-,0,0.00
Kansas City Chiefs DEF View Videos,@DEN,-,-,-,-,-,-,-,0,0.00
Indianapolis Colts DEF,HOU,-,-,-,-,-,-,-,0,0.00
Dallas Cowboys DEF,@PHI,-,-,-,-,-,-,-,0,0.00
Miami Dolphins DEF,BUF,-,-,-,-,-,-,-,0,0.00
Philadelphia Eagles DEF,DAL,-,-,-,-,-,-,-,0,0.00
Atlanta Falcons DEF View Videos,CAR,-,-,-,-,-,-,-,0,0.00
New York Giants DEF,WAS,-,-,-,-,-,-,-,0,0.00
Jacksonville Jaguars DEF View Videos,@TEN,-,-,-,-,-,-,-,0,0.00
New York Jets DEF,@NE,-,-,-,-,-,-,-,0,0.00
Detroit Lions DEF View Videos,GB,-,-,-,-,-,-,-,0,0.00
Green Bay Packers DEF,@DET,-,-,-,-,-,-,-,0,0.00
Carolina Panthers DEF View Videos,@ATL,-,-,-,-,-,-,-,0,0.00
New England Patriots DEF,NYJ,-,-,-,-,-,-,-,0,0.00
Oakland Raiders DEF,@LAC,-,-,-,-,-,-,-,0,0.00
Los Angeles Rams DEF View Videos,SF,-,-,-,-,-,-,-,0,0.00
Baltimore Ravens DEF,CIN,-,-,-,-,-,-,-,0,0.00
Washington Redskins DEF,@NYG,-,-,-,-,-,-,-,0,0.00
New Orleans Saints DEF View Videos,@TB,-,-,-,-,-,-,-,0,0.00
Seattle Seahawks DEF View Videos,ARI,-,-,-,-,-,-,-,0,0.00
Pittsburgh Steelers DEF,CLE,-,-,-,-,-,-,-,0,0.00
Houston Texans DEF,@IND,-,-,-,-,-,-,-,0,0.00
Tennessee Titans DEF View Videos,JAX,-,-,-,-,-,-,-,0,0.00
Minnesota Vikings DEF,CHI,-,-,-,-,-,-,-,0,0.00
