Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Denver Broncos DEF,NYG,2.2,1.15,0.79,0.03,0.19,-,0.02,15.83,7.40
Tennessee Titans DEF View Videos,IND,3.03,0.95,0.69,0.04,0.13,-,0.03,20.73,7.35
New England Patriots DEF,@NYJ,2.92,1.02,0.63,0.03,0.13,-,0.03,20.55,7.24
Houston Texans DEF,CLE,2.68,1.05,0.64,0.03,0.15,-,0.03,18.8,7.20
Jacksonville Jaguars DEF View Videos,LA,2.62,1.05,0.64,0.04,0.15,-,0.03,22.38,7.16
Arizona Cardinals DEF,TB,2.25,1.09,0.74,0.03,0.14,-,0.03,18.64,6.99
Cleveland Browns DEF,@HOU,2.5,0.96,0.77,0.03,0.13,-,0.03,22.97,6.98
Carolina Panthers DEF View Videos,PHI,2.34,1.07,0.66,0.03,0.15,-,0.03,20.63,6.94
Minnesota Vikings DEF,GB,2.78,0.97,0.61,0.03,0.11,-,0.03,20.56,6.84
Baltimore Ravens DEF,CHI,2.33,1.08,0.63,0.03,0.14,-,0.03,19.35,6.83
Tampa Bay Buccaneers DEF,@ARI,2.58,0.97,0.66,0.03,0.12,-,0.03,19.79,6.80
Philadelphia Eagles DEF,@CAR,2.53,1.04,0.61,0.03,0.11,-,0.03,21.38,6.73
Atlanta Falcons DEF View Videos,MIA,2.12,1.06,0.68,0.03,0.13,-,0.04,21.5,6.68
New Orleans Saints DEF View Videos,DET,2.58,0.9,0.63,0.03,0.1,-,0.03,21.83,6.48
New York Giants DEF,@DEN,2.35,1.02,0.6,0.03,0.11,-,0.02,22.42,6.43
Green Bay Packers DEF,@MIN,2.32,0.98,0.61,0.03,0.12,-,0.02,20.57,6.40
Chicago Bears DEF,@BAL,2.33,0.93,0.63,0.03,0.12,-,0.02,21.82,6.35
Los Angeles Rams DEF View Videos,@JAX,2.06,1.03,0.62,0.03,0.12,-,0.03,20.36,6.32
Washington Redskins DEF,SF,2.16,0.92,0.7,0.03,0.1,-,0.03,17.81,6.24
Miami Dolphins DEF,@ATL,2.31,0.87,0.66,0.03,0.09,-,0.03,25.12,6.15
Los Angeles Chargers DEF View Videos,@OAK,1.91,0.99,0.67,0.04,0.1,-,0.03,24.67,6.09
Pittsburgh Steelers DEF,@KC,2.38,0.83,0.6,0.03,0.09,-,0.03,28.43,6.02
Kansas City Chiefs DEF View Videos,PIT,1.75,0.98,0.63,0.05,0.11,-,0.03,24.03,5.91
Oakland Raiders DEF,LAC,1.86,0.96,0.6,0.03,0.11,-,0.03,21.75,5.88
Indianapolis Colts DEF,@TEN,1.92,0.85,0.68,0.03,0.08,-,0.03,22.54,5.70
Detroit Lions DEF View Videos,@NO,1.63,0.88,0.58,0.03,0.1,-,0.03,24.24,5.39
San Francisco 49ers DEF,@WAS,1.65,0.86,0.67,0.03,0.08,-,0.02,24.38,5.37
New York Jets DEF,NE,1.86,0.77,0.63,0.04,0.06,-,0.03,29.12,5.28
Cincinnati Bengals DEF,Bye,-,-,-,-,-,-,-,-,-
Buffalo Bills DEF View Videos,Bye,-,-,-,-,-,-,-,-,-
Dallas Cowboys DEF,Bye,-,-,-,-,-,-,-,-,-
Seattle Seahawks DEF View Videos,Bye,-,-,-,-,-,-,-,-,-
