Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Justin Tucker K - BAL,@CLE,2.84,0.1,0.56,0.64,0.53,-,8.33
Wil Lutz K - NO,NYJ,2.98,0.19,0.58,0.58,0.42,-,8.29
Kai Forbath K - MIN,CIN,2.83,0.09,0.65,0.52,0.43,-,7.90
Matt Bryant K - ATL View Videos,@TB,3.16,0.06,0.61,0.47,0.42,-,7.84
Dan Bailey K - DAL,@OAK,2.65,0.07,0.59,0.56,0.46,-,7.69
Jake Elliott K - PHI,@NYG,2.52,0.06,0.64,0.58,0.41,-,7.59
Ryan Succop K - TEN View Videos,@SF,2.79,0.07,0.55,0.49,0.49,-,7.59
Stephen Gostkowski K - NE,@PIT,2.88,0.14,0.64,0.46,0.32,-,7.56
Brandon McManus K - DEN,@IND,2.34,0.08,0.6,0.49,0.5,-,7.35
Matt Prater K - DET,CHI,2.49,0.07,0.55,0.53,0.47,-,7.35
Josh Lambo K - JAX,HOU,2.12,0.06,0.6,0.58,0.5,-,7.34
Stephen Hauschka K - BUF,MIA,2.26,0.14,0.57,0.48,0.48,-,7.27
Greg Zuerlein K - LA,@SEA,2.64,0.08,0.6,0.46,0.4,-,7.26
Graham Gano K - CAR,GB,2.32,0.07,0.58,0.5,0.47,-,7.18
Chris Boswell K - PIT,NE,2.65,0.07,0.59,0.45,0.38,-,7.12
Mike Nugent K - CHI,@DET,2.17,0.07,0.6,0.49,0.49,-,7.12
Dustin Hopkins K - WAS,ARI,2.31,0.1,0.51,0.56,0.43,-,7.11
Patrick Murray K - TB,ATL,2.24,0.07,0.5,0.58,0.46,-,7.07
Harrison Butker K - KC View Videos,LAC,2.31,0.06,0.56,0.54,0.42,-,7.05
Travis Coons K,Bye,2.42,0.12,0.59,0.46,0.36,-,-
Blair Walsh K - SEA,LA,2.39,0.07,0.52,0.54,0.38,-,6.92
Giorgio Tavecchio K - OAK,DAL,2.4,0.07,0.55,0.48,0.4,-,6.90
Robbie Gould K - SF,TEN,2.04,0.07,0.48,0.52,0.53,-,6.84
Cody Parkey K - MIA,@BUF,2.09,0.07,0.49,0.47,0.48,-,6.62
Phil Dawson K - ARI,@WAS,2.03,0.06,0.5,0.5,0.45,-,6.56
Chandler Catanzaro K - NYJ,@NO,1.73,0.07,0.47,0.51,0.53,-,6.47
Adam Vinatieri K - IND,DEN,1.74,0.08,0.47,0.51,0.51,-,6.45
Mason Crosby K - GB,@CAR,2.34,0.06,0.52,0.38,0.38,-,6.36
Zane Gonzalez K - CLE,BAL,1.42,0.08,0.5,0.55,0.45,-,6.16
Randy Bullock K - CIN,@MIN,1.73,0.11,0.46,0.5,0.4,-,6.14
Aldrick Rosas K - NYG,PHI,1.67,0.06,0.51,0.45,0.4,-,5.93
Ka'imi Fairbairn K - HOU,@JAX,1.23,0.06,0.48,0.41,0.43,-,5.37
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Connor Barth K,Bye,-,-,-,-,-,-,-
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Sam Ficken K - LA View Videos,@SEA,-,-,-,-,-,-,0.00
Nick Folk K - TB,ATL,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Sebastian Janikowski K - OAK,DAL,-,-,-,-,-,-,0.00
Younghoe Koo K,Bye,-,-,-,-,-,-,-
Mike Meyer K,Bye,-,-,-,-,-,-,-
Jason Myers K,Bye,-,-,-,-,-,-,-
Nick Novak K - LAC,@KC,-,-,-,-,-,-,0.00
Nick Rose K - LAC,@KC,-,-,-,-,-,-,0.00
Cairo Santos K - CHI,@DET,-,-,-,-,-,-,0.00
Caleb Sturgis K - PHI,@NYG,-,-,-,-,-,-,0.00
