Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Kareem Hunt RB - KC View News View Videos,WAS,-,-,-,96.01,0.75,23.86,0.15,-,-,0.16,17.07
Ezekiel Elliott RB - DAL,LA,-,-,-,92.48,0.69,21.76,0.07,-,0.02,0.15,15.72
Jordan Howard RB - CHI,@GB,-,-,-,96.96,0.71,15.82,0.06,-,0.01,0.14,15.64
Todd Gurley RB - LA View News View Videos,@DAL,-,-,-,74.1,0.54,37.32,0.2,-,-,0.17,15.24
Devonta Freeman RB - ATL View News View Videos,BUF,-,-,-,71.1,0.71,29.04,0.17,-,0.01,0.11,15.09
LeSean McCoy RB - BUF View Videos,@ATL,-,-,-,77.74,0.5,32.42,0.1,-,0.01,0.12,14.40
Le'Veon Bell RB - PIT,@BAL,-,-,-,79.34,0.55,27.84,0.1,-,0.01,0.13,14.38
Leonard Fournette RB - JAX View Videos,@NYJ,-,-,-,71.46,0.61,25.77,0.11,-,0.01,0.14,13.78
Ty Montgomery RB - GB,CHI,-,-,-,58.19,0.52,37.97,0.17,-,0.02,0.1,13.60
Melvin Gordon RB - LAC,PHI,-,-,-,73.81,0.5,25.76,0.14,-,-,0.12,13.56
Dalvin Cook RB - MIN,DET,-,-,-,74.61,0.51,25.2,0.12,-,0.01,0.12,13.54
Bilal Powell RB - NYJ,JAX,-,-,-,68.35,0.46,24.15,0.12,-,0.01,0.1,12.55
Mark Ingram RB - NO,@MIA,-,-,-,60.72,0.49,24.73,0.09,-,0.02,0.1,11.87
Jay Ajayi RB - PHI,@LAC,-,-,-,80.88,0.43,10.84,0.05,-,-,0.13,11.79
C.J. Anderson RB - DEN,OAK,-,-,-,66.82,0.48,17.9,0.1,-,-,0.11,11.73
Carlos Hyde RB - SF,@ARI,-,-,-,65.14,0.54,17,0.09,-,-,0.14,11.71
Mike Gillislee RB - NE,CAR,-,-,-,67.33,0.52,5.86,0.03,-,0.01,0.08,10.48
Joe Mixon RB - CIN,@CLE,-,-,-,62.34,0.28,21.67,0.09,-,0.01,0.11,10.42
Isaiah Crowell RB - CLE,CIN,-,-,-,59.14,0.39,18.33,0.08,-,0.02,0.11,10.39
Lamar Miller RB - HOU,TEN,-,-,-,61.98,0.36,17.51,0.08,-,0.01,0.11,10.39
LeGarrette Blount RB - PHI,@LAC,-,-,-,60.48,0.6,4.91,0.02,-,0.01,0.1,10.08
Christian McCaffrey RB - CAR View Videos,@NE,-,-,-,26.24,0.16,51.96,0.23,-,0.01,0.09,10.00
Frank Gore RB - IND,@SEA,-,-,-,63.93,0.39,11.21,0.05,-,0.01,0.1,9.97
Ameer Abdullah RB - DET,@MIN,-,-,-,57.05,0.32,18.52,0.09,-,0.01,0.12,9.80
Jacquizz Rodgers RB - TB,NYG,-,-,-,62.13,0.43,9.48,0.04,-,0.01,0.1,9.80
Terrance West RB - BAL,PIT,-,-,-,52.79,0.44,15.65,0.08,-,-,0.11,9.74
DeMarco Murray RB - TEN View Videos,@HOU,-,-,-,58.8,0.34,14.71,0.05,-,-,0.1,9.49
Chris Carson RB - SEA,IND,-,-,-,56.65,0.31,13.75,0.09,-,-,0.1,9.24
James White RB - NE,CAR,-,-,-,24.05,0.24,39.11,0.25,-,0.01,0.05,9.18
Tevin Coleman RB - ATL View News View Videos,BUF,-,-,-,37.9,0.26,25.04,0.19,-,0.01,0.08,8.85
Chris Thompson RB - WAS,@KC,-,-,-,26.91,0.22,36.32,0.21,-,-,0.07,8.76
Chris Johnson RB,Bye,-,-,-,59.82,0.33,7.18,0.04,-,-,0.1,-
Rob Kelley RB - WAS,@KC,-,-,-,58.72,0.41,3.96,0.01,-,-,0.09,8.61
Jonathan Stewart RB - CAR,@NE,-,-,-,54.63,0.37,7.59,0.04,-,0.01,0.1,8.50
Marshawn Lynch RB - OAK,@DEN,-,-,-,49.36,0.36,11.85,0.04,-,0.01,0.09,8.36
Paul Perkins RB - NYG,@TB,-,-,-,48.08,0.26,13.47,0.04,-,0.01,0.09,7.80
Duke Johnson RB - CLE,CIN,-,-,-,18.49,0.15,36.98,0.18,-,0.01,0.05,7.45
Derrick Henry RB - TEN View News View Videos,@HOU,-,-,-,45.6,0.35,6.44,0.03,-,-,0.07,7.34
Tarik Cohen RB - CHI View Videos,@GB,-,-,-,31.2,0.15,24.69,0.11,-,-,0.08,6.99
Javorius Allen RB - BAL,PIT,-,-,-,28.7,0.15,22.18,0.13,-,-,0.07,6.63
Theo Riddick RB - DET,@MIN,-,-,-,15.7,0.08,31.53,0.18,-,0.01,0.05,6.20
Chris Ivory RB - JAX,@NYJ,-,-,-,29.13,0.19,16.93,0.06,-,-,0.07,5.97
Shane Vereen RB - NYG,@TB,-,-,-,20.42,0.14,24.19,0.11,-,0.01,0.06,5.86
Jamaal Charles RB - DEN,OAK,-,-,-,32.14,0.25,9.48,0.05,-,0.01,0.07,5.84
Andre Ellington RB - HOU,TEN,-,-,-,18.4,0.13,26.29,0.11,-,-,0.05,5.81
Wendell Smallwood RB - PHI,@LAC,-,-,-,33.35,0.18,11.81,0.04,-,0.01,0.07,5.72
Giovani Bernard RB - CIN View News,@CLE,-,-,-,18.88,0.11,18.3,0.09,-,0.01,0.04,4.86
Charles Sims RB - TB,NYG,-,-,-,16.53,0.09,19,0.09,-,-,0.04,4.55
D'Onta Foreman RB - HOU,TEN,-,-,-,21.96,0.15,11.51,0.06,-,0.01,0.05,4.53
Jeremy Hill RB - CIN,@CLE,-,-,-,26.3,0.2,6.2,0.02,-,0.01,0.05,4.49
Kerwynn Williams RB - ARI,SF,-,-,-,26.14,0.23,4.23,0.02,-,-,0.05,4.44
Alvin Kamara RB - NO View Videos,@MIA,-,-,-,15.32,0.12,18.61,0.06,-,0.01,0.05,4.39
Alex Collins RB - BAL,PIT,-,-,-,25.26,0.15,7.86,0.04,-,-,0.06,4.33
Elijah McGuire RB - NYJ,JAX,-,-,-,24.46,0.17,7.01,0.04,-,-,0.06,4.29
Jalen Richard RB - OAK,@DEN,-,-,-,20.41,0.11,13.21,0.06,-,-,0.05,4.28
Adrian Peterson RB - ARI,SF,-,-,-,27.52,0.16,4.62,0.01,-,0.01,0.06,4.13
Jerick McKinnon RB - MIN,DET,-,-,-,16.96,0.14,12.82,0.06,-,0.01,0.05,4.10
Branden Oliver RB - LAC,PHI,-,-,-,19.24,0.1,11.94,0.05,-,-,0.05,3.92
Matt Breida RB - SF,@ARI,-,-,-,18.08,0.12,11.67,0.05,-,-,0.05,3.90
DeAndre Washington RB - OAK,@DEN,-,-,-,17.22,0.09,12.83,0.05,-,-,0.05,3.75
Robert Turbin RB - IND,@SEA,-,-,-,13.91,0.14,12.1,0.05,-,-,0.03,3.68
Thomas Rawls RB - SEA,IND,-,-,-,20.83,0.17,4.2,0.03,-,-,0.04,3.62
Dion Lewis RB - NE,CAR,-,-,-,13.79,0.09,11.31,0.06,-,0.01,0.04,3.35
Travaris Cadet RB - BUF,@ATL,-,-,-,2.4,0.02,19.06,0.15,-,-,0.02,3.13
Samaje Perine RB - WAS,@KC,-,-,-,18.33,0.13,4.08,0.01,-,-,0.05,2.98
Matt Jones RB - IND,@SEA,-,-,-,17.99,0.12,4.32,0.02,-,-,0.05,2.97
Mike Tolbert RB - BUF,@ATL,-,-,-,16.51,0.12,4.65,0.02,-,0.01,0.03,2.92
Damien Williams RB - MIA,NO,-,-,-,6.56,0.05,13.5,0.08,-,-,0.02,2.75
Peyton Barber RB - TB,NYG,-,-,-,14.89,0.09,2.2,0.01,-,-,0.03,2.25
Charcandrick West RB - KC,WAS,-,-,-,8.35,0.07,7.46,0.04,-,-,0.02,2.20
Corey Clement RB - PHI,@LAC,-,-,-,11.55,0.09,4.39,0.02,-,-,0.03,2.19
Elijhaa Penny RB - ARI,SF,-,-,-,9.91,0.08,5.93,0.03,-,-,0.03,2.18
Zach Zenner RB - DET View News,@MIN,-,-,-,11.57,0.08,4.04,0.02,-,-,0.03,2.10
Alfred Morris RB - DAL,LA,-,-,-,12.86,0.09,2.17,0.01,-,0.01,0.02,2.08
Devontae Booker RB - DEN,OAK,-,-,-,10,0.07,5.15,0.03,-,-,0.03,2.06
Tyler Ervin RB - HOU,TEN,-,-,-,3.85,0.03,10.72,0.06,-,-,0.03,1.94
Latavius Murray RB - MIN,DET,-,-,-,9.28,0.09,3.43,0.02,-,-,0.03,1.87
Orleans Darkwa RB - NYG,@TB,-,-,-,12.18,0.08,1.44,-,-,-,0.02,1.80
Eddie Lacy RB - SEA,IND,-,-,-,11,0.06,1.95,0.02,-,-,0.02,1.74
James Conner RB - PIT,@BAL,-,-,-,9.02,0.06,3.35,0.01,-,-,0.03,1.60
Kenyan Drake RB - MIA,NO,-,-,-,6.91,0.05,4.42,0.03,-,-,0.04,1.53
Jamaal Williams RB - GB,CHI,-,-,-,7.39,0.06,2.9,0.02,-,0.01,0.02,1.49
Terrell Watson RB - PIT,@BAL,-,-,-,8.83,0.07,2.04,-,-,-,0.03,1.45
Aaron Jones RB - GB,CHI,-,-,-,7.1,0.06,2.6,0.02,-,0.01,0.02,1.43
Austin Ekeler RB - LAC,PHI,-,-,-,5.89,0.04,4.26,0.03,-,-,0.03,1.38
Aaron Ripkowski RB - GB,CHI,-,-,-,4.51,0.05,4.45,0.03,-,0.01,0.01,1.38
Tre Madden RB - SEA,IND,-,-,-,5.36,0.04,4.12,0.03,-,-,0.02,1.33
Justin Davis RB - LA,@DAL,-,-,-,5.51,0.04,4.38,0.02,-,-,0.02,1.31
Malcolm Brown RB - LA,@DAL,-,-,-,6.5,0.05,2.58,0.01,-,-,0.02,1.23
Corey Grant RB - JAX,@NYJ,-,-,-,7.33,0.04,2.01,0.01,-,-,0.03,1.17
Matt Dayes RB - CLE,CIN,-,-,-,5.37,0.04,2.63,0.02,-,-,0.02,1.12
Raheem Mostert RB - SF,@ARI,-,-,-,5.86,0.05,2.16,0.01,-,-,0.03,1.10
Benny Cunningham RB - CHI,@GB,-,-,-,3.34,0.02,4.68,0.01,-,-,0.04,0.90
Jordan Todman RB - HOU,TEN,-,-,-,3.93,0.03,2.42,0.01,-,0.01,0.02,0.86
Alan Cross RB - TB,NYG,-,-,-,-,-,6.22,0.04,-,-,0.01,0.84
Akeem Hunt RB - KC,WAS,-,-,-,3.72,0.03,1.96,0.01,-,-,0.03,0.75
Kyle Juszczyk RB - SF,@ARI,-,-,-,-,-,6.17,0.02,-,-,0.01,0.72
Joe Banyard RB,Bye,-,-,-,3.4,0.02,2.21,-,-,-,0.02,-
Danny Vitale RB - CLE,CIN,-,-,-,1.25,0.01,3.13,0.02,-,-,0.01,0.60
C.J. Ham RB - MIN,DET,-,-,-,0.9,0.01,3.28,0.02,-,-,0.01,0.58
Patrick DiMarco RB - BUF,@ATL,-,-,-,0.1,-,4.56,0.02,-,-,0.01,0.57
Trey Edmunds RB - NO,@MIA,-,-,-,1.75,0.01,2.73,0.01,-,-,0.02,0.53
Andy Janovich RB - DEN,OAK,-,-,-,1.89,0.01,2.17,0.01,-,-,0.01,0.51
Rod Smith RB - DAL,LA,-,-,-,1.8,0.02,1.64,0.01,-,-,0.01,0.50
Cameron Artis-Payne RB - CAR,@NE,-,-,-,2.89,0.02,0.75,-,-,-,0.01,0.46
James Develin RB - NE,CAR,-,-,-,0.17,-,2.68,0.02,-,0.01,-,0.43
Anthony Sherman RB - KC,WAS,-,-,-,-,-,3.1,0.02,-,-,-,0.43
Jay Prosch RB - HOU,TEN,-,-,-,0.13,0.01,2.47,0.02,-,-,0.01,0.42
Derek Watt RB - LAC,PHI,-,-,-,0.89,0.01,2.25,0.01,-,-,0.01,0.41
Jamize Olawale RB - OAK,@DEN,-,-,-,0.21,-,2.15,-,-,-,0.01,0.22
Roosevelt Nix RB - PIT,@BAL,-,-,-,0.37,-,1.87,-,-,-,0.01,0.20
Brandon Bolden RB - NE,CAR,-,-,-,-,-,1.24,0.01,-,-,-,0.18
Jalston Fowler RB - SEA,IND,-,-,-,0.09,-,1.11,-,-,-,0.01,0.10
Taiwan Jones RB - BUF,@ATL,-,-,-,-,-,1.18,-,-,-,0.01,0.10
Fozzy Whittaker RB - CAR,@NE,-,-,-,0.41,-,0.83,-,-,-,0.01,0.10
Antonio Andrews RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Dri Archer RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Matt Asiata RB,Bye,-,-,-,-,-,-,-,-,-,-,-
George Atkinson RB - KC,WAS,-,-,-,-,-,-,-,-,-,-,0.00
Kenjon Barner RB - PHI,@LAC,-,-,-,-,-,-,-,-,-,-,0.00
Kapri Bibbs RB - WAS,@KC,-,-,-,-,-,-,-,-,-,-,0.00
Alfred Blue RB - HOU,TEN,-,-,-,-,-,-,-,-,-,-,0.00
Zac Brooks RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Mack Brown RB - MIN,DET,-,-,-,-,-,-,-,-,-,-,0.00
Rex Burkhead RB - NE,CAR,-,-,-,-,-,-,-,-,-,-,0.00
Brandon Burks RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Ka'Deem Carey RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Tra Carson RB - CIN,@CLE,-,-,-,-,-,-,-,-,-,-,0.00
David Cobb RB,Bye,-,-,-,-,-,-,-,-,-,-,-
John Crockett RB - BAL,PIT,-,-,-,-,-,-,-,-,-,-,0.00
LeShun Daniels RB - WAS,@KC,-,-,-,-,-,-,-,-,-,-,0.00
Knile Davis RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Mike Davis RB - SEA,IND,-,-,-,-,-,-,-,-,-,-,0.00
Kenneth Dixon RB - BAL,PIT,-,-,-,-,-,-,-,-,-,-,0.00
Shaun Draughn RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Lance Dunbar RB - LA,@DAL,-,-,-,-,-,-,-,-,-,-,0.00
Kenneth Farrow RB - LAC,PHI,-,-,-,-,-,-,-,-,-,-,0.00
Jerome Felton RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Josh Ferguson RB - IND,@SEA,-,-,-,-,-,-,-,-,-,-,0.00
Justin Forsett RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Matt Forte RB - NYJ,JAX,-,-,-,-,-,-,-,-,-,-,0.00
D.J. Foster RB - ARI,SF,-,-,-,-,-,-,-,-,-,-,0.00
Wayne Gallman RB - NYG,@TB,-,-,-,-,-,-,-,-,-,-,0.00
Aaron Green RB - BUF,@ATL,-,-,-,-,-,-,-,-,-,-,0.00
Tion Green RB - DET,@MIN,-,-,-,-,-,-,-,-,-,-,0.00
Jonathan Grimes RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Glenn Gronkowski RB,Bye,-,-,-,-,-,-,-,-,-,-,-
DuJuan Harris RB,Bye,-,-,-,-,-,-,-,-,-,-,-
De'Angelo Henderson RB - DEN,OAK,-,-,-,-,-,-,-,-,-,-,0.00
Quayvon Hicks RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Tim Hightower RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Brian Hill RB - CIN View News,@CLE,-,-,-,-,-,-,-,-,-,-,0.00
Ronnie Hillman RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Elijah Hood RB - OAK,@DEN,-,-,-,-,-,-,-,-,-,-,0.00
Darius Jackson RB - CLE,CIN,-,-,-,-,-,-,-,-,-,-,0.00
Don Jackson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Mike James RB - DET,@MIN,-,-,-,-,-,-,-,-,-,-,0.00
Rashad Jennings RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Austin Johnson RB - TB,NYG,-,-,-,-,-,-,-,-,-,-,0.00
David Johnson RB - ARI,SF,-,-,-,-,-,-,-,-,-,-,0.00
Devon Johnson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Storm Johnson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Will Johnson RB,Bye,-,-,-,-,-,-,-,-,-,-,-
John Kuhn RB - NO,@MIA,-,-,-,-,-,-,-,-,-,-,0.00
Jeremy Langford RB - NYJ,JAX,-,-,-,-,-,-,-,-,-,-,0.00
Daniel Lasco RB - NO,@MIA,-,-,-,-,-,-,-,-,-,-,0.00
Zach Line RB - NO,@MIA,-,-,-,-,-,-,-,-,-,-,0.00
T.J. Logan RB - ARI,SF,-,-,-,-,-,-,-,-,-,-,0.00
Marlon Mack RB - IND,@SEA,-,-,-,-,-,-,-,-,-,-,0.00
Byron Marshall RB - WAS,@KC,-,-,-,-,-,-,-,-,-,-,0.00
Keith Marshall RB - WAS,@KC,-,-,-,-,-,-,-,-,-,-,0.00
Doug Martin RB - TB,NYG,-,-,-,-,-,-,-,-,-,-,0.00
Tre Mason RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Ryan Mathews RB,Bye,-,-,-,-,-,-,-,-,-,-,-
Devante Mays RB - GB,CHI,-,-,-,-,-,-,-,-,-,-,0.00
Darren McFadden RB,Bye,-,-,-,-,-,-,-,-,-,-,-
J.D. McKissic RB - SEA,IND,-,-,-,-,-,-,-,-,-,-,0.00
Jeremy McNichols RB - SF,@ARI,-,-,-,-,-,-,-,-,-,-,0.00
