Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Jalen Richard RB - OAK,NYG,-,-,-,16.22,0.09,13.82,0.08,-,-,0.04,3.94
Wayne Gallman RB - NYG,@OAK,-,-,-,19.89,0.11,10.73,0.04,-,0.01,0.06,3.86
Giovani Bernard RB - CIN View News,PIT,-,-,-,13.55,0.08,15.94,0.07,-,0.01,0.03,3.81
Charles Sims RB - TB,@GB,-,-,-,7.54,0.05,18.79,0.1,-,-,0.03,3.47
Mike Davis RB - SEA,PHI,-,-,-,13.38,0.09,12.25,0.07,-,0.01,0.04,3.46
Corey Clement RB - PHI,@SEA,-,-,-,18.07,0.18,4,0.03,-,0.01,0.03,3.43
Peyton Barber RB - TB,@GB,-,-,-,18.78,0.16,3.41,0.01,-,0.01,0.04,3.18
Benny Cunningham RB - CHI,SF,-,-,-,8.35,0.06,15.79,0.08,-,-,0.04,3.17
Shane Vereen RB - NYG,@OAK,-,-,-,10.21,0.06,14.68,0.05,-,0.01,0.04,3.09
De'Veon Smith RB - MIA,DEN,-,-,-,15.03,0.11,7.2,0.04,-,0.01,0.04,3.06
D.J. Foster RB - ARI,LA,-,-,-,9.05,0.06,13.03,0.06,-,-,0.03,2.87
Byron Marshall RB - WAS,@DAL,-,-,-,13.98,0.09,7.53,0.04,-,-,0.04,2.85
Eddie Lacy RB - SEA,PHI,-,-,-,16.64,0.09,4.14,0.03,-,-,0.03,2.74
Alfred Blue RB - HOU,@TEN,-,-,-,15.75,0.09,5.53,0.02,-,-,0.04,2.71
Andre Ellington RB - HOU,@TEN,-,-,-,3.86,0.03,12.42,0.04,-,-,0.02,2.01
Terron Ward RB - ATL,MIN,-,-,-,11.58,0.08,2.52,0.02,-,-,0.03,1.95
Kerwynn Williams RB - ARI,LA,-,-,-,7.48,0.06,4.73,0.03,-,0.01,0.03,1.72
James Conner RB - PIT,@CIN,-,-,-,10.3,0.07,2.07,-,-,-,0.02,1.62
Kyle Juszczyk RB - SF,@CHI,-,-,-,2.93,0.02,9.62,0.04,-,-,0.02,1.58
Dwayne Washington RB - DET View News,@BAL,-,-,-,8.28,0.05,3.72,0.01,-,-,0.03,1.50
