Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Los Angeles Chargers DEF View Videos,BUF,3.12,1.17,0.79,0.04,0.15,-,0.03,17.14,8.20
Arizona Cardinals DEF View Videos,@HOU,2.76,1.1,0.69,0.04,0.17,-,0.06,16.96,7.80
Jacksonville Jaguars DEF View Videos,@CLE,2.95,1.1,0.64,0.03,0.15,-,0.04,14.07,7.63
Denver Broncos DEF View Videos,CIN,2.76,1.15,0.64,0.04,0.16,-,0.03,20.65,7.56
Baltimore Ravens DEF View Videos,@GB,2.88,1.09,0.61,0.03,0.15,-,0.04,22.79,7.48
Tampa Bay Buccaneers DEF View Videos,@MIA,2.49,1.15,0.77,0.03,0.14,-,0.02,20.99,7.35
Chicago Bears DEF View Videos,DET,2.67,1.11,0.64,0.04,0.12,-,0.03,21.77,7.15
Houston Texans DEF View Videos,ARI,2.81,1.02,0.64,0.03,0.12,-,0.03,19.89,7.09
Minnesota Vikings DEF View Videos,LA,2.67,1.03,0.65,0.04,0.12,-,0.03,24.75,7.01
Detroit Lions DEF View Videos,@CHI,2.26,1.09,0.7,0.03,0.12,-,0.03,21.02,6.80
Atlanta Falcons DEF View Videos,@SEA,2.51,0.95,0.72,0.03,0.11,-,0.03,21.19,6.75
Dallas Cowboys DEF View Videos,PHI,2.43,0.98,0.68,0.04,0.11,-,0.03,22.73,6.67
Green Bay Packers DEF View Videos,BAL,2.55,0.89,0.68,0.03,0.12,-,0.03,23.77,6.65
Pittsburgh Steelers DEF View Videos,TEN,2.21,1.01,0.67,0.03,0.11,-,0.03,21.3,6.47
Buffalo Bills DEF View Videos,@LAC,1.94,1.05,0.63,0.03,0.13,-,0.03,22.55,6.32
Cleveland Browns DEF View Videos,JAX,2.08,0.94,0.76,0.03,0.11,-,0.02,21.96,6.32
Cincinnati Bengals DEF View Videos,@DEN,2.14,1.01,0.58,0.03,0.12,-,0.03,19.06,6.28
Kansas City Chiefs DEF View Videos,@NYG,1.95,1,0.66,0.04,0.12,-,0.03,19.61,6.25
New Orleans Saints DEF View Videos,WAS,2.11,0.95,0.62,0.04,0.11,-,0.03,22.04,6.17
Los Angeles Rams DEF View Videos,@MIN,1.96,0.97,0.6,0.03,0.13,-,0.03,16.93,6.12
Seattle Seahawks DEF View Videos,ATL,2.13,0.93,0.58,0.04,0.1,-,0.04,22.87,6.07
Philadelphia Eagles DEF View Videos,@DAL,2.05,0.91,0.69,0.04,0.09,-,0.03,25.7,6.05
Miami Dolphins DEF View Videos,TB,1.78,0.95,0.7,0.03,0.11,-,0.03,22.42,5.98
New England Patriots DEF View Videos,@OAK,1.46,0.97,0.7,0.03,0.11,-,0.03,24.27,5.70
New York Giants DEF View Videos,KC,2.13,0.84,0.58,0.03,0.08,-,0.03,25.09,5.69
