Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Carolina Panthers DEF View Videos,MIA,2.78,1.31,0.76,0.03,0.17,-,0.03,19.19,8.18
Los Angeles Rams DEF View Videos,HOU,2.74,1.15,0.66,0.04,0.17,-,0.06,16.51,7.82
Seattle Seahawks DEF View Videos,@ARI,2.91,1.04,0.63,0.04,0.16,-,0.05,18.84,7.59
Chicago Bears DEF,GB,3.14,1.03,0.63,0.04,0.14,-,0.03,21.22,7.56
Pittsburgh Steelers DEF,@IND,2.82,1.08,0.7,0.04,0.13,-,0.03,18.61,7.42
New York Giants DEF,@SF,2.9,1.05,0.66,0.03,0.14,-,0.03,19.38,7.40
Detroit Lions DEF View Videos,CLE,2.74,1.02,0.62,0.03,0.14,-,0.04,19.39,7.16
Green Bay Packers DEF,@CHI,2.6,1.07,0.67,0.03,0.14,-,0.03,20.31,7.16
Tampa Bay Buccaneers DEF,NYJ,2.76,0.98,0.7,0.03,0.12,-,0.02,22.65,7.02
Cleveland Browns DEF,@DET,2.36,1.05,0.79,0.03,0.11,-,0.03,22.96,6.94
Arizona Cardinals DEF,SEA,2.32,0.99,0.66,0.03,0.13,-,0.03,22.28,6.64
Miami Dolphins DEF,@CAR,2.61,0.93,0.62,0.03,0.11,-,0.03,22.3,6.61
Minnesota Vikings DEF,@WAS,2.29,1.01,0.64,0.04,0.13,-,0.02,22.33,6.57
Houston Texans DEF,@LA,2.35,0.98,0.64,0.03,0.12,-,0.03,23.46,6.55
Los Angeles Chargers DEF View Videos,@JAX,2.22,1.04,0.63,0.04,0.13,-,0.02,21.18,6.54
New England Patriots DEF,@DEN,2.24,1.02,0.61,0.03,0.13,-,0.03,20.26,6.52
Washington Redskins DEF,MIN,2.14,1.02,0.64,0.03,0.12,-,0.03,20.86,6.42
Tennessee Titans DEF View Videos,CIN,2.63,0.84,0.62,0.04,0.1,-,0.03,21.2,6.41
Jacksonville Jaguars DEF View Videos,LAC,2.08,1.01,0.61,0.03,0.14,-,0.03,20.11,6.40
Dallas Cowboys DEF,@ATL,2.29,0.9,0.69,0.04,0.08,-,0.04,23.9,6.27
New York Jets DEF,@TB,1.91,0.95,0.67,0.04,0.12,-,0.03,21.81,6.13
Denver Broncos DEF,NE,2.01,0.94,0.62,0.04,0.12,-,0.03,25.05,6.11
New Orleans Saints DEF View Videos,@BUF,2.71,0.75,0.64,0.04,0.06,-,0.03,22.88,6.11
San Francisco 49ers DEF,NYG,1.8,0.94,0.7,0.03,0.11,-,0.02,18.8,5.92
Cincinnati Bengals DEF,@TEN,2.01,0.96,0.61,0.03,0.08,-,0.03,21.38,5.87
Buffalo Bills DEF View Videos,NO,1.71,0.96,0.61,0.03,0.11,-,0.03,25.15,5.75
Atlanta Falcons DEF View Videos,DAL,1.82,0.83,0.72,0.04,0.08,-,0.03,23.57,5.66
Indianapolis Colts DEF,PIT,1.35,0.87,0.61,0.03,0.09,-,0.03,23.66,5.09
Kansas City Chiefs DEF View Videos,Bye,-,-,-,-,-,-,-,-,-
Philadelphia Eagles DEF,Bye,-,-,-,-,-,-,-,-,-
Oakland Raiders DEF,Bye,-,-,-,-,-,-,-,-,-
Baltimore Ravens DEF,Bye,-,-,-,-,-,-,-,-,-
