Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Stephen Gostkowski K - NE,@TB,3.4,0.11,0.58,0.57,0.35,-,8.23
Kai Forbath K - MIN,@CHI,2.7,0.12,0.59,0.58,0.47,-,7.98
Ryan Succop K - TEN View Videos,@MIA,2.81,0.09,0.53,0.59,0.46,-,7.82
Blair Walsh K - SEA,@LA,2.72,0.07,0.54,0.51,0.43,-,7.37
Chandler Catanzaro K - NYJ,@CLE,2.46,0.07,0.52,0.54,0.49,-,7.32
Harrison Butker K - KC View Videos,@HOU,2.52,0.1,0.53,0.49,0.42,-,7.14
Mason Crosby K - GB,@DAL,2.93,0.04,0.48,0.48,0.39,-,7.10
Chris Boswell K - PIT,JAX,2.6,0.04,0.5,0.51,0.44,-,7.07
Cody Parkey K - MIA,TEN,2.34,0.04,0.51,0.56,0.46,-,7.05
Dan Bailey K - DAL,GB,2.72,0.04,0.49,0.48,0.43,-,7.04
Aldrick Rosas K - NYG,LAC,2.24,0.04,0.56,0.54,0.42,-,6.92
Justin Tucker K - BAL,@OAK,2.15,0.04,0.45,0.58,0.51,-,6.89
Robbie Gould K - SF,@IND,2.14,0.04,0.47,0.54,0.51,-,6.82
Graham Gano K - CAR,@DET,2.16,0.04,0.51,0.54,0.43,-,6.72
Adam Vinatieri K - IND,SF,2.06,0.04,0.45,0.53,0.53,-,6.71
Stephen Hauschka K - BUF,@CIN,2.14,0.04,0.54,0.47,0.46,-,6.67
Jake Elliott K - PHI,ARI,2.17,0.04,0.52,0.51,0.39,-,6.55
Nick Folk K - TB,NE,2.36,0.05,0.49,0.44,0.37,-,6.41
Randy Bullock K - CIN,BUF,2.14,0.04,0.45,0.51,0.42,-,6.40
Nick Novak K - LAC,@NYG,2.09,0.04,0.49,0.47,0.43,-,6.38
Matt Prater K - DET,CAR,2.14,0.04,0.47,0.48,0.41,-,6.34
Giorgio Tavecchio K - OAK,BAL,1.98,0.04,0.46,0.5,0.44,-,6.30
Greg Zuerlein K - LA,SEA,1.87,0.04,0.46,0.51,0.43,-,6.19
Phil Dawson K - ARI,@PHI,2.1,0.04,0.47,0.41,0.44,-,6.18
Jason Myers K,Bye,1.76,0.04,0.49,0.52,0.4,-,-
Zane Gonzalez K - CLE,NYJ,1.51,0.04,0.37,0.55,0.5,-,5.89
Ka'imi Fairbairn K - HOU,KC,1.4,0.1,0.46,0.49,0.4,-,5.75
Connor Barth K,Bye,1.28,0.04,0.43,0.52,0.45,-,-
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Matt Bryant K - ATL View Videos,Bye,-,-,-,-,-,-,-
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Travis Coons K,Bye,-,-,-,-,-,-,-
Sam Ficken K - LA View Videos,SEA,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Dustin Hopkins K - WAS,Bye,-,-,-,-,-,-,-
Sebastian Janikowski K - OAK,BAL,-,-,-,-,-,-,0.00
Younghoe Koo K,Bye,-,-,-,-,-,-,-
Josh Lambo K - JAX,@PIT,-,-,-,-,-,-,0.00
Wil Lutz K - NO,Bye,-,-,-,-,-,-,-
Brandon McManus K - DEN,Bye,-,-,-,-,-,-,-
Mike Meyer K,Bye,-,-,-,-,-,-,-
Patrick Murray K - TB,NE,-,-,-,-,-,-,0.00
Mike Nugent K - CHI,MIN,-,-,-,-,-,-,0.00
Nick Rose K - LAC,@NYG,-,-,-,-,-,-,0.00
Cairo Santos K - CHI,MIN,-,-,-,-,-,-,0.00
Caleb Sturgis K - PHI,ARI,-,-,-,-,-,-,0.00
