Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Terrance Williams WR - DAL,@WAS,-,-,-,-,-,32.73,0.19,-,0.01,0.02,4.39
Travis Benjamin WR - LAC,@NE,-,-,-,0.86,-,30.78,0.18,-,-,0.02,4.20
Breshad Perriman WR - BAL,MIA,-,-,-,0.49,-,30.48,0.17,-,-,0.02,4.08
Seth Roberts WR - OAK,@BUF,-,-,-,-,-,30.54,0.16,-,0.01,0.02,3.99
Trent Taylor WR - SF,@PHI,-,-,-,0.33,-,28.66,0.16,-,-,0.03,3.80
Zay Jones WR - BUF,OAK,-,-,-,0.38,-,28.78,0.15,-,-,0.02,3.78
Kendall Wright WR - CHI,@NO,-,-,-,-,-,26.85,0.17,-,-,0.02,3.67
John Ross WR - CIN,IND,-,-,-,1.96,0.02,24.06,0.16,-,0.01,0.03,3.64
Russell Shepard WR - CAR,@TB,-,-,-,-,-,26.54,0.16,-,-,0.02,3.57
Torrey Smith WR - PHI,SF,-,-,-,0.34,-,24.69,0.16,-,0.01,0.02,3.44
Chris Moore WR - BAL,MIA,-,-,-,0.47,0.01,23.22,0.16,-,-,0.03,3.33
Rashard Higgins WR - CLE,MIN,-,-,-,0.81,0.01,23.23,0.11,-,-,0.02,3.08
Laquon Treadwell WR - MIN,@CLE,-,-,-,0.27,-,22.33,0.12,-,0.01,0.02,2.96
Justin Hunter WR - PIT,@DET,-,-,-,-,-,21.05,0.14,-,-,0.01,2.93
Brandon Coleman WR - NO,CHI,-,-,-,-,-,19,0.16,-,-,0.01,2.84
Tanner Gentry WR - CHI,@NO,-,-,-,0.3,-,19.45,0.12,-,-,0.02,2.66
Ryan Grant WR - WAS,DAL,-,-,-,-,-,18.76,0.13,-,-,0.01,2.64
Cordarrelle Patterson WR - OAK,@BUF,-,-,-,5.11,0.04,13.29,0.07,-,-,0.04,2.42
Brice Butler WR - DAL,@WAS,-,-,-,-,-,16.26,0.13,-,0.01,0.01,2.41
Eli Rogers WR - PIT,@DET,-,-,-,0.11,-,17.54,0.1,-,-,0.02,2.33
Kamar Aiken WR - IND,@CIN,-,-,-,-,-,17.84,0.08,-,-,0.01,2.24
Griff Whalen WR,Bye,-,-,-,-,-,15.93,0.1,-,0.01,0.02,-
Aldrick Robinson WR - SF,@PHI,-,-,-,-,-,16.1,0.09,-,-,0.01,2.13
Jared Abbrederis WR,Bye,-,-,-,-,-,14.02,0.1,-,0.01,0.01,-
Andre Holmes WR - BUF,OAK,-,-,-,-,-,13.15,0.11,-,-,0.01,1.96
Chester Rogers WR - IND,@CIN,-,-,-,0.18,-,14.2,0.09,-,-,0.01,1.96
Leonte Carroo WR - MIA,@BAL,-,-,-,0.11,-,13.9,0.09,-,-,0.01,1.92
Josh Malone WR - CIN View News,IND,-,-,-,0.53,0.01,12.73,0.09,-,0.01,0.02,1.91
