Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Antonio Brown WR - PIT,BAL,-,-,-,-,-,96.19,0.69,-,0.02,0.04,13.72
Keenan Allen WR - LAC,WAS,-,-,-,1.04,0.01,86.82,0.58,-,0.01,0.04,12.27
Julio Jones WR - ATL View News View Videos,NO,-,-,-,0.34,-,87.58,0.58,-,0.01,0.04,12.21
A.J. Green WR - CIN,CHI,-,-,-,-,-,84.28,0.53,-,-,0.04,11.53
DeAndre Hopkins WR - HOU View Videos,SF,-,-,-,-,-,79.66,0.52,-,0.01,0.04,11.03
Adam Thielen WR - MIN,@CAR,-,-,-,0.1,-,77.32,0.46,-,-,0.04,10.42
Michael Thomas WR - NO,@ATL,-,-,-,0.12,-,74.64,0.45,-,-,0.04,10.10
Tyreek Hill WR - KC View News View Videos,OAK,-,-,-,6.22,0.04,65.4,0.44,-,-,0.05,9.94
Davante Adams WR - GB,@CLE,-,-,-,0.17,-,68.46,0.5,-,0.01,0.04,9.80
Robby Anderson WR - NYJ,@DEN,-,-,-,1.29,0.01,66.82,0.5,-,-,0.04,9.79
Brandin Cooks WR - NE,@MIA,-,-,-,2.48,0.02,68.08,0.42,-,0.01,0.04,9.64
Robert Woods WR - LA View News View Videos,PHI,-,-,-,0.49,0.01,68.97,0.44,-,0.01,0.04,9.59
Doug Baldwin WR - SEA,@JAX,-,-,-,0.23,-,69.78,0.42,-,0.01,0.04,9.46
Marvin Jones WR - DET,@TB,-,-,-,-,-,65.88,0.48,-,0.01,0.03,9.43
Larry Fitzgerald WR - ARI View Videos,TEN,-,-,-,-,-,70.08,0.4,-,0.02,0.03,9.39
Josh Gordon WR - CLE,GB,-,-,-,0.29,-,69.75,0.36,-,0.01,0.04,9.10
Alshon Jeffery WR - PHI,@LA,-,-,-,-,-,64.8,0.44,-,0.02,0.03,9.10
Kenny Stills WR - MIA,NE,-,-,-,-,-,62.6,0.43,-,0.01,0.03,8.80
Jarvis Landry WR - MIA,NE,-,-,-,-,-,65.35,0.38,-,0.01,0.04,8.76
Mike Evans WR - TB,DET,-,-,-,0.04,-,64.3,0.38,-,0.01,0.04,8.65
