Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Stephen Gostkowski K - NE,@OAK,3.46,0.12,0.62,0.49,0.37,-,8.26
Wil Lutz K - NO,WAS,2.96,0.13,0.58,0.52,0.33,-,7.64
Josh Lambo K - JAX,@CLE,2.4,0.08,0.57,0.6,0.46,-,7.53
Harrison Butker K - KC View Videos,@NYG,2.61,0.11,0.54,0.52,0.44,-,7.44
Chris Boswell K - PIT,TEN,2.63,0.04,0.55,0.55,0.46,-,7.43
Patrick Murray K - TB,@MIA,2.58,0.04,0.52,0.57,0.47,-,7.38
Kai Forbath K - MIN,LA,2.48,0.05,0.55,0.53,0.42,-,7.13
Matt Bryant K - ATL View Videos,@SEA,2.62,0.07,0.54,0.46,0.39,-,7.00
Justin Tucker K - BAL,@GB,2.28,0.05,0.47,0.51,0.5,-,6.87
Blair Walsh K - SEA,ATL,2.52,0.04,0.5,0.48,0.41,-,6.81
Brandon McManus K - DEN,CIN,2,0.04,0.55,0.53,0.48,-,6.80
Jake Elliott K - PHI,@DAL,2.48,0.04,0.54,0.46,0.39,-,6.77
Nick Novak K - LAC,BUF,2.27,0.04,0.49,0.51,0.46,-,6.77
Mike Nugent K - CHI,DET,2.42,0.04,0.48,0.53,0.39,-,6.74
Matt Prater K - DET,@CHI,2.17,0.05,0.46,0.53,0.48,-,6.73
Nick Rose K - LAC,BUF,2.27,0.04,0.47,0.53,0.42,-,6.65
Phil Dawson K - ARI,@HOU,2.13,0.04,0.49,0.48,0.48,-,6.60
Greg Zuerlein K - LA,@MIN,2.22,0.04,0.5,0.51,0.38,-,6.51
Cody Parkey K - MIA,TB,2.29,0.04,0.45,0.47,0.43,-,6.46
Ryan Succop K - TEN View Videos,@PIT,2.19,0.04,0.47,0.47,0.42,-,6.39
Giorgio Tavecchio K - OAK,NE,2.29,0.04,0.5,0.46,0.36,-,6.37
Ka'imi Fairbairn K - HOU,ARI,1.58,0.04,0.49,0.56,0.5,-,6.35
Randy Bullock K - CIN,@DEN,1.74,0.17,0.43,0.46,0.45,-,6.27
Connor Barth K,Bye,1.65,0.07,0.49,0.47,0.49,-,-
Mason Crosby K - GB,BAL,1.92,0.04,0.46,0.48,0.44,-,6.18
Aldrick Rosas K - NYG,KC,1.8,0.09,0.44,0.5,0.38,-,6.03
Stephen Hauschka K - BUF,@LAC,1.42,0.04,0.46,0.48,0.48,-,5.80
Zane Gonzalez K - CLE,JAX,1.18,0.06,0.36,0.51,0.41,-,5.20
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Dan Bailey K - DAL,PHI,-,-,-,-,-,-,0.00
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Chandler Catanzaro K - NYJ,Bye,-,-,-,-,-,-,-
Travis Coons K,Bye,-,-,-,-,-,-,-
Sam Ficken K - LA View Videos,@MIN,-,-,-,-,-,-,0.00
Nick Folk K - TB,@MIA,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Graham Gano K - CAR,Bye,-,-,-,-,-,-,-
Robbie Gould K - SF,Bye,-,-,-,-,-,-,-
Dustin Hopkins K - WAS,@NO,-,-,-,-,-,-,0.00
Sebastian Janikowski K - OAK,NE,-,-,-,-,-,-,0.00
Younghoe Koo K,Bye,-,-,-,-,-,-,-
Mike Meyer K,Bye,-,-,-,-,-,-,-
Jason Myers K,Bye,-,-,-,-,-,-,-
Cairo Santos K - CHI,DET,-,-,-,-,-,-,0.00
Caleb Sturgis K - PHI,@DAL,-,-,-,-,-,-,0.00
Adam Vinatieri K - IND,Bye,-,-,-,-,-,-,-
