Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Rob Gronkowski TE - NE,ATL,-,-,-,-,-,69.73,0.56,-,0.01,0.03,10.29
Zach Ertz TE - PHI,WAS,-,-,-,-,-,58,0.42,-,-,0.03,8.26
Travis Kelce TE - KC View News View Videos,@OAK,-,-,-,0.62,-,59.31,0.35,-,-,0.03,8.03
Cameron Brate TE - TB,@BUF,-,-,-,-,-,49.92,0.43,-,-,0.03,7.51
Jared Cook TE - OAK,KC,-,-,-,-,-,53.71,0.32,-,0.01,0.03,7.25
Kyle Rudolph TE - MIN,BAL,-,-,-,-,-,50.25,0.33,-,0.01,0.03,6.97
Austin Seferian-Jenkins TE - NYJ,@MIA,-,-,-,-,-,50.28,0.3,-,-,0.03,6.77
Jason Witten TE - DAL,@SF,-,-,-,-,-,45.87,0.32,-,0.01,0.02,6.49
Jordan Reed TE - WAS,@PHI,-,-,-,-,-,46.8,0.3,-,0.01,0.03,6.44
Hunter Henry TE - LAC,DEN,-,-,-,0.02,-,42.45,0.34,-,0.01,0.02,6.27
Evan Engram TE - NYG,SEA,-,-,-,0.03,-,44.79,0.28,-,-,0.03,6.10
Jack Doyle TE - IND,JAX,-,-,-,-,-,43.53,0.29,-,0.01,0.03,6.05
Jimmy Graham TE - SEA View News,@NYG,-,-,-,-,-,42.54,0.28,-,-,0.02,5.89
Delanie Walker TE - TEN View News View Videos,@CLE,-,-,-,0.84,0.01,43.71,0.23,-,-,0.03,5.84
Zach Miller TE - CHI,CAR,-,-,-,-,-,32.85,0.25,-,-,0.02,4.75
Benjamin Watson TE - BAL View Videos,@MIN,-,-,-,-,-,34.54,0.21,-,-,0.02,4.67
Austin Hooper TE - ATL View Videos,@NE,-,-,-,0.17,-,33.1,0.22,-,0.01,0.02,4.63
Vernon Davis TE - WAS,@PHI,-,-,-,-,-,31.02,0.2,-,0.01,0.01,4.30
Ed Dickson TE - CAR,@CHI,-,-,-,-,-,31.92,0.19,-,-,0.02,4.29
George Kittle TE - SF,DAL,-,-,-,-,-,29.73,0.21,-,-,0.02,4.19
Marcedes Lewis TE - JAX,@IND,-,-,-,-,-,27.88,0.21,-,0.01,0.01,4.05
David Njoku TE - CLE,TEN,-,-,-,0.79,0.01,27.02,0.2,-,0.01,0.02,4.02
Martellus Bennett TE - NE,ATL,-,-,-,-,-,30.11,0.17,-,0.01,0.02,4.01
Tyler Higbee TE - LA,ARI,-,-,-,0.03,-,29.51,0.17,-,-,0.02,3.93
Jesse James TE - PIT,CIN,-,-,-,-,-,27.89,0.17,-,0.01,0.02,3.79
Julius Thomas TE - MIA,NYJ,-,-,-,-,-,27.74,0.16,-,-,0.02,3.69
Antonio Gates TE - LAC,DEN,-,-,-,-,-,26.29,0.17,-,0.01,0.01,3.65
Tyler Kroft TE - CIN,@PIT,-,-,-,-,-,25.1,0.18,-,-,0.02,3.55
Seth DeValve TE - CLE View News,TEN,-,-,-,-,-,23.11,0.17,-,-,0.02,3.29
Jermaine Gresham TE - ARI,@LA,-,-,-,-,-,24.04,0.14,-,-,0.02,3.20
A.J. Derby TE - MIA,NYJ,-,-,-,-,-,22.62,0.13,-,-,0.02,3.00
C.J. Uzomah TE - CIN View News,@PIT,-,-,-,-,-,20.85,0.13,-,-,0.02,2.83
Dion Sims TE - CHI,CAR,-,-,-,-,-,19.64,0.14,-,-,0.01,2.78
Coby Fleener TE - NO,@GB,-,-,-,-,-,18.12,0.13,-,-,0.01,2.57
Nick O'Leary TE - BUF,TB,-,-,-,-,-,17.85,0.11,-,0.01,0.02,2.43
Gerald Everett TE - LA,ARI,-,-,-,0.1,-,17.07,0.12,-,-,0.02,2.40
Nick Boyle TE - BAL,@MIN,-,-,-,0.02,-,18.11,0.1,-,0.01,0.02,2.39
O.J. Howard TE - TB,@BUF,-,-,-,0.09,-,17.03,0.11,-,-,0.02,2.33
