Team,Opp,Sack,Int,Fum Rec,Saf,TD,Def 2pt Ret,TD,Pts Allow,Points
Arizona Cardinals DEF,@SF,2.86,1.09,0.71,0.03,0.16,-,0.03,16.1,7.66
Denver Broncos DEF,@PHI,2.38,1.18,0.71,0.04,0.17,-,0.03,21.11,7.44
Indianapolis Colts DEF,@HOU,2.66,1.01,0.76,0.04,0.15,-,0.04,20.71,7.42
Houston Texans DEF,IND,2.82,1.08,0.67,0.03,0.13,-,0.03,18.9,7.34
Oakland Raiders DEF,@MIA,2.43,1.16,0.72,0.03,0.13,-,0.03,19.72,7.21
Detroit Lions DEF View Videos,@GB,2.67,1.07,0.62,0.03,0.14,-,0.03,20.31,7.13
Buffalo Bills DEF View Videos,@NYJ,2.68,1.06,0.62,0.03,0.14,-,0.03,20.92,7.12
Jacksonville Jaguars DEF View Videos,CIN,2.75,1.02,0.64,0.03,0.14,-,0.02,19.86,7.09
Carolina Panthers DEF View Videos,ATL,2.38,1.07,0.73,0.03,0.12,-,0.04,21.15,7.00
Atlanta Falcons DEF View Videos,@CAR,2.54,1,0.65,0.03,0.12,-,0.03,20.73,6.80
San Francisco 49ers DEF,ARI,2.48,0.95,0.65,0.03,0.12,-,0.05,20.37,6.76
Philadelphia Eagles DEF,DEN,2.28,1.1,0.62,0.03,0.13,-,0.02,16.61,6.68
Green Bay Packers DEF,DET,2.54,0.98,0.62,0.03,0.11,-,0.03,21.39,6.64
Los Angeles Rams DEF View Videos,@NYG,2.12,1.05,0.67,0.03,0.14,-,0.03,16.06,6.64
Baltimore Ravens DEF,@TEN,2.04,1.06,0.64,0.03,0.12,-,0.03,22.45,6.40
New York Giants DEF,LA,2.33,0.95,0.63,0.03,0.11,-,0.03,23.28,6.39
Washington Redskins DEF,@SEA,2.46,0.91,0.64,0.03,0.1,-,0.02,23.27,6.34
New Orleans Saints DEF View Videos,TB,2,0.97,0.71,0.04,0.1,-,0.04,21.22,6.28
Kansas City Chiefs DEF View Videos,@DAL,1.89,1.01,0.76,0.06,0.07,-,0.05,25.26,6.27
Seattle Seahawks DEF View Videos,WAS,2.24,0.91,0.64,0.04,0.12,-,0.02,22.31,6.26
Tennessee Titans DEF View Videos,BAL,2.33,0.83,0.65,0.04,0.11,-,0.03,21.09,6.21
New York Jets DEF,BUF,2.61,0.77,0.64,0.04,0.07,-,0.03,22.8,6.11
Dallas Cowboys DEF,KC,2.41,0.81,0.59,0.04,0.08,-,0.03,25.85,5.95
Cincinnati Bengals DEF,@JAX,1.94,0.94,0.63,0.03,0.11,-,0.02,20.33,5.92
Miami Dolphins DEF,OAK,1.66,0.9,0.7,0.03,0.11,-,0.03,22.42,5.76
Tampa Bay Buccaneers DEF,@NO,1.73,0.89,0.67,0.03,0.1,-,0.03,26.22,5.69
Chicago Bears DEF,Bye,-,-,-,-,-,-,-,-,-
Cleveland Browns DEF,Bye,-,-,-,-,-,-,-,-,-
Los Angeles Chargers DEF View Videos,Bye,-,-,-,-,-,-,-,-,-
New England Patriots DEF,Bye,-,-,-,-,-,-,-,-,-
Pittsburgh Steelers DEF,Bye,-,-,-,-,-,-,-,-,-
Minnesota Vikings DEF,Bye,-,-,-,-,-,-,-,-,-
