Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Dan Bailey K - DAL View Videos,Bye,-,-,-,-,-,-,-
Connor Barth K,Bye,-,-,-,-,-,-,-
Chris Boswell K - PIT,Bye,-,-,-,-,-,-,-
Matt Bryant K - ATL View Videos,Bye,-,-,-,-,-,-,-
Randy Bullock K - CIN View Videos,Bye,-,-,-,-,-,-,-
Harrison Butker K - KC View Videos,Bye,-,-,-,-,-,-,-
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Chandler Catanzaro K - NYJ View Videos,Bye,-,-,-,-,-,-,-
Travis Coons K,Bye,-,-,-,-,-,-,-
Mason Crosby K - GB View Videos,Bye,-,-,-,-,-,-,-
Phil Dawson K - ARI View Videos,Bye,-,-,-,-,-,-,-
Jake Elliott K - PHI,Bye,-,-,-,-,-,-,-
Ka'imi Fairbairn K - HOU View Videos,Bye,-,-,-,-,-,-,-
Sam Ficken K - LA,Bye,-,-,-,-,-,-,-
Nick Folk K - TB,Bye,-,-,-,-,-,-,-
Kai Forbath K - MIN,Bye,-,-,-,-,-,-,-
Andrew Franks K,Bye,-,-,-,-,-,-,-
Graham Gano K - CAR,Bye,-,-,-,-,-,-,-
Zane Gonzalez K - CLE View Videos,Bye,-,-,-,-,-,-,-
Stephen Gostkowski K - NE,Bye,-,-,-,-,-,-,-
Robbie Gould K - SF View News View Videos,Bye,-,-,-,-,-,-,-
Stephen Hauschka K - BUF View Videos,Bye,-,-,-,-,-,-,-
Dustin Hopkins K - WAS View Videos,Bye,-,-,-,-,-,-,-
Sebastian Janikowski K - OAK,Bye,-,-,-,-,-,-,-
