Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Matt Bryant K - ATL View Videos,@CHI,3.15,0.06,0.52,0.6,0.45,-,8.04
Kai Forbath K - MIN,NO,3.01,0.04,0.6,0.53,0.47,-,7.93
Chris Boswell K - PIT,@CLE,3.18,0.04,0.58,0.52,0.43,-,7.89
Ryan Succop K - TEN View Videos,OAK,2.78,0.08,0.51,0.66,0.45,-,7.88
Graham Gano K - CAR,@SF,2.7,0.04,0.55,0.59,0.49,-,7.71
Dan Bailey K - DAL,NYG,2.75,0.11,0.52,0.5,0.42,-,7.40
Mason Crosby K - GB,SEA,2.64,0.08,0.54,0.55,0.38,-,7.29
Brandon McManus K - DEN,LAC,2.37,0.07,0.53,0.59,0.45,-,7.29
Phil Dawson K - ARI,@DET,2.71,0.05,0.53,0.47,0.46,-,7.24
Stephen Gostkowski K - NE,KC,2.81,0.17,0.54,0.46,0.29,-,7.19
Blair Walsh K - SEA,@GB,2.59,0.06,0.54,0.45,0.39,-,6.91
Randy Bullock K - CIN,BAL,2.51,0.04,0.5,0.51,0.39,-,6.83
Justin Tucker K - BAL,@CIN,2.34,0.04,0.49,0.47,0.49,-,6.81
Stephen Hauschka K - BUF,NYJ,2.45,0.04,0.5,0.47,0.44,-,6.80
Matt Prater K - DET,ARI,2.17,0.04,0.51,0.52,0.46,-,6.76
Adam Vinatieri K - IND,@LA,2.2,0.07,0.44,0.51,0.5,-,6.76
Aldrick Rosas K - NYG,@DAL,2.27,0.04,0.55,0.46,0.41,-,6.65
Caleb Sturgis K - PHI,@WAS,2.19,0.04,0.51,0.54,0.38,-,6.60
Dustin Hopkins K - WAS,PHI,2.53,0.04,0.46,0.47,0.37,-,6.55
Giorgio Tavecchio K - OAK,@TEN,2.44,0.05,0.46,0.45,0.41,-,6.55
Nick Folk K - TB,Bye,2.18,0.07,0.53,0.43,0.36,-,-
Wil Lutz K - NO,@MIN,2.38,0.04,0.46,0.44,0.36,-,6.28
Cairo Santos K - CHI,ATL,2.06,0.04,0.53,0.41,0.4,-,6.20
Chandler Catanzaro K - NYJ,@BUF,1.85,0.04,0.43,0.48,0.48,-,6.14
Ka'imi Fairbairn K - HOU,JAX,1.5,0.05,0.46,0.5,0.53,-,6.12
Jason Myers K,Bye,1.67,0.04,0.45,0.51,0.47,-,-
Greg Zuerlein K - LA,IND,1.72,0.04,0.46,0.5,0.45,-,6.07
Cody Parkey K - MIA,Bye,2.06,0.04,0.5,0.44,0.34,-,-
Younghoe Koo K,Bye,1.8,0.04,0.45,0.46,0.42,-,-
Connor Barth K,Bye,1.51,0.04,0.44,0.48,0.46,-,-
Robbie Gould K - SF,CAR,1.67,0.04,0.4,0.48,0.44,-,5.75
Zane Gonzalez K - CLE,PIT,1.41,0.04,0.4,0.56,0.44,-,5.73
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Harrison Butker K - KC View Videos,@NE,-,-,-,-,-,-,0.00
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Travis Coons K,Bye,-,-,-,-,-,-,-
Jake Elliott K - PHI,@WAS,-,-,-,-,-,-,0.00
Sam Ficken K - LA View Videos,IND,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Sebastian Janikowski K - OAK,@TEN,-,-,-,-,-,-,0.00
Josh Lambo K - JAX,@HOU,-,-,-,-,-,-,0.00
Mike Meyer K,Bye,-,-,-,-,-,-,-
Patrick Murray K - TB,Bye,-,-,-,-,-,-,-
Nick Novak K - LAC,@DEN,-,-,-,-,-,-,0.00
Mike Nugent K - CHI,ATL,-,-,-,-,-,-,0.00
Nick Rose K - LAC,@DEN,-,-,-,-,-,-,0.00
