Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Stephen Gostkowski K - NE,@NO,3.64,0.1,0.58,0.54,0.41,-,8.53
Blair Walsh K - SEA,SF,3.1,0.05,0.6,0.55,0.46,-,8.08
Justin Tucker K - BAL,CLE,2.8,0.05,0.51,0.53,0.5,-,7.57
Matt Bryant K - ATL View Videos,GB,3.11,0.06,0.51,0.48,0.39,-,7.43
Ryan Succop K - TEN View Videos,@JAX,2.4,0.07,0.47,0.66,0.46,-,7.38
Mason Crosby K - GB,@ATL,2.9,0.05,0.54,0.53,0.37,-,7.37
Nick Folk K - TB,CHI,2.38,0.05,0.53,0.58,0.44,-,7.18
Graham Gano K - CAR,BUF,2.35,0.04,0.52,0.6,0.45,-,7.18
Giorgio Tavecchio K - OAK,NYJ,2.74,0.04,0.49,0.51,0.4,-,7.06
Phil Dawson K - ARI,@IND,2.57,0.05,0.5,0.46,0.48,-,7.04
Aldrick Rosas K - NYG,DET,2.39,0.04,0.56,0.54,0.39,-,6.98
Dustin Hopkins K - WAS,@LA,2.54,0.07,0.49,0.5,0.41,-,6.95
Younghoe Koo K,Bye,2.5,0.06,0.51,0.48,0.42,-,-
Kai Forbath K - MIN,@PIT,2.39,0.05,0.58,0.44,0.42,-,6.86
Brandon McManus K - DEN,DAL,2.23,0.05,0.52,0.53,0.43,-,6.82
Cairo Santos K - CHI,@TB,2.55,0.04,0.49,0.47,0.41,-,6.78
Jason Myers K,Bye,2.13,0.05,0.48,0.53,0.47,-,-
Cody Parkey K - MIA,@LAC,2.4,0.04,0.51,0.49,0.4,-,6.72
Matt Prater K - DET,@NYG,2.1,0.04,0.54,0.52,0.43,-,6.69
Randy Bullock K - CIN,HOU,2.29,0.04,0.46,0.52,0.4,-,6.55
Dan Bailey K - DAL,@DEN,2.37,0.05,0.47,0.46,0.41,-,6.54
Chris Boswell K - PIT,MIN,2.41,0.04,0.49,0.44,0.38,-,6.46
Wil Lutz K - NO,NE,2.35,0.04,0.46,0.47,0.36,-,6.34
Ka'imi Fairbairn K - HOU,@CIN,1.62,0.04,0.51,0.49,0.49,-,6.21
Adam Vinatieri K - IND,ARI,1.74,0.04,0.4,0.5,0.5,-,6.06
Chandler Catanzaro K - NYJ,@OAK,1.75,0.04,0.46,0.45,0.46,-,5.98
Greg Zuerlein K - LA,WAS,1.67,0.04,0.44,0.51,0.43,-,5.93
Stephen Hauschka K - BUF,@CAR,1.93,0.04,0.46,0.4,0.4,-,5.83
Connor Barth K,Bye,1.52,0.04,0.45,0.44,0.47,-,-
Jake Elliott K - PHI,@KC,1.74,0.05,0.46,0.45,0.35,-,5.67
Zane Gonzalez K - CLE,@BAL,1.36,0.04,0.4,0.52,0.44,-,5.56
Robbie Gould K - SF,@SEA,1.38,0.05,0.39,0.49,0.46,-,5.55
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Harrison Butker K - KC View Videos,PHI,-,-,-,-,-,-,0.00
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Travis Coons K,Bye,-,-,-,-,-,-,-
Sam Ficken K - LA View Videos,WAS,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Sebastian Janikowski K - OAK,NYJ,-,-,-,-,-,-,0.00
Josh Lambo K - JAX,TEN,-,-,-,-,-,-,0.00
Mike Meyer K,Bye,-,-,-,-,-,-,-
Patrick Murray K - TB,CHI,-,-,-,-,-,-,0.00
Nick Novak K - LAC,MIA,-,-,-,-,-,-,0.00
Mike Nugent K - CHI,@TB,-,-,-,-,-,-,0.00
Nick Rose K - LAC,MIA,-,-,-,-,-,-,0.00
Caleb Sturgis K - PHI,@KC,-,-,-,-,-,-,0.00
