Player,Opp,Made,0-19,20-29,30-39,40-49,50+,Points
Graham Gano K - CAR,NO,2.72,0.04,0.56,0.63,0.5,-,7.91
Stephen Gostkowski K - NE,HOU,3.1,0.1,0.57,0.54,0.37,-,7.84
Matt Bryant K - ATL View Videos,@DET,3.19,0.05,0.55,0.5,0.39,-,7.66
Cairo Santos K - CHI,PIT,2.75,0.07,0.57,0.55,0.44,-,7.64
Mason Crosby K - GB,CIN,2.88,0.04,0.56,0.5,0.41,-,7.41
Brandon McManus K - DEN,@BUF,2.25,0.07,0.56,0.58,0.47,-,7.29
Chris Boswell K - PIT,@CHI,2.72,0.04,0.53,0.5,0.45,-,7.28
Ryan Succop K - TEN View Videos,SEA,2.19,0.07,0.46,0.68,0.45,-,7.17
Blair Walsh K - SEA,@TEN,2.49,0.05,0.58,0.48,0.45,-,7.17
Cody Parkey K - MIA,@NYJ,2.62,0.04,0.51,0.47,0.44,-,7.00
Dan Bailey K - DAL,@ARI,2.44,0.05,0.46,0.52,0.48,-,6.97
Adam Vinatieri K - IND,CLE,2.36,0.05,0.45,0.54,0.49,-,6.95
Kai Forbath K - MIN,TB,2.3,0.08,0.54,0.47,0.44,-,6.89
Giorgio Tavecchio K - OAK,@WAS,2.71,0.1,0.48,0.48,0.33,-,6.88
Dustin Hopkins K - WAS,OAK,2.53,0.05,0.47,0.54,0.38,-,6.85
Justin Tucker K - BAL,@JAX,2.37,0.04,0.48,0.48,0.49,-,6.84
Matt Prater K - DET,ATL,2.5,0.04,0.46,0.51,0.43,-,6.82
Robbie Gould K - SF,LA,1.98,0.07,0.48,0.55,0.5,-,6.78
Phil Dawson K - ARI,DAL,2.34,0.04,0.54,0.43,0.46,-,6.75
Greg Zuerlein K - LA,@SF,2.16,0.04,0.47,0.49,0.5,-,6.66
Aldrick Rosas K - NYG,@PHI,2,0.04,0.55,0.51,0.42,-,6.56
Jake Elliott K - PHI,NYG,2,0.04,0.5,0.53,0.41,-,6.44
Randy Bullock K - CIN,@GB,2.3,0.04,0.48,0.47,0.38,-,6.41
Zane Gonzalez K - CLE,@IND,1.84,0.04,0.42,0.56,0.49,-,6.37
Chandler Catanzaro K - NYJ,MIA,2.02,0.04,0.48,0.46,0.46,-,6.34
Nick Folk K - TB,@MIN,2.12,0.05,0.49,0.42,0.42,-,6.26
Jason Myers K,Bye,1.77,0.04,0.47,0.54,0.4,-,-
Younghoe Koo K,Bye,1.93,0.04,0.46,0.47,0.38,-,-
Wil Lutz K - NO,@CAR,2.1,0.05,0.44,0.45,0.33,-,5.91
Stephen Hauschka K - BUF,DEN,1.43,0.05,0.52,0.48,0.43,-,5.87
Connor Barth K,Bye,1.45,0.04,0.44,0.43,0.46,-,-
Ka'imi Fairbairn K - HOU,@NE,1.2,0.04,0.47,0.38,0.47,-,5.28
Roberto Aguayo K,Bye,-,-,-,-,-,-,-
Harrison Butker K - KC View Videos,@LAC,-,-,-,-,-,-,0.00
Dan Carpenter K,Bye,-,-,-,-,-,-,-
Travis Coons K,Bye,-,-,-,-,-,-,-
Sam Ficken K - LA View Videos,@SF,-,-,-,-,-,-,0.00
Andrew Franks K,Bye,-,-,-,-,-,-,-
Sebastian Janikowski K - OAK,@WAS,-,-,-,-,-,-,0.00
Josh Lambo K - JAX,BAL,-,-,-,-,-,-,0.00
Mike Meyer K,Bye,-,-,-,-,-,-,-
Patrick Murray K - TB,@MIN,-,-,-,-,-,-,0.00
Nick Novak K - LAC,KC,-,-,-,-,-,-,0.00
Mike Nugent K - CHI,PIT,-,-,-,-,-,-,0.00
Nick Rose K - LAC,KC,-,-,-,-,-,-,0.00
Caleb Sturgis K - PHI,NYG,-,-,-,-,-,-,0.00
