Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
AJ McCarron QB - CIN,@PIT,2.19,0.02,0.03,-,-,-,-,-,0.01,0.01,0.11
Matt Schaub QB - ATL,@NE,1.15,0.03,0.04,-,-,-,-,-,0.01,-,0.11
Chase Daniel QB - NO,@GB,0.59,0.03,0.03,-,-,-,-,-,0.01,-,0.10
Derek Anderson QB - CAR,@CHI,-,0.03,0.04,-,-,-,-,-,0.01,-,0.06
Brandon Allen QB - LA,ARI,-,-,-,-,-,-,-,-,-,-,0.00
Matt Barkley QB - ARI,@LA,-,-,-,-,-,-,-,-,-,-,0.00
Trevone Boykin QB - SEA,@NYG,-,-,-,-,-,-,-,-,-,-,0.00
Sam Bradford QB - MIN,BAL,-,-,-,-,-,-,-,-,-,-,0.00
Tyler Bray QB - KC,@OAK,-,-,-,-,-,-,-,-,-,-,0.00
Teddy Bridgewater QB - MIN,BAL,-,-,-,-,-,-,-,-,-,-,0.00
Kellen Clemens QB - LAC,DEN,-,-,-,-,-,-,-,-,-,-,0.00
Connor Cook QB - OAK,KC,-,-,-,-,-,-,-,-,-,-,0.00
Joshua Dobbs QB - PIT,CIN,-,-,-,-,-,-,-,-,-,-,0.00
Jeff Driskel QB - CIN,@PIT,-,-,-,-,-,-,-,-,-,-,0.00
David Fales QB - MIA,NYJ,-,-,-,-,-,-,-,-,-,-,0.00
Blaine Gabbert QB - ARI View News,@LA,-,-,-,-,-,-,-,-,-,-,0.00
Garrett Grayson QB - ATL,@NE,-,-,-,-,-,-,-,-,-,-,0.00
Robert Griffin III QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Christian Hackenberg QB - NYJ,@MIA,-,-,-,-,-,-,-,-,-,-,0.00
Shaun Hill QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Taysom Hill QB - NO View Videos,@GB,-,-,-,-,-,-,-,-,-,-,0.00
Kevin Hogan QB - CLE,TEN,-,-,-,-,-,-,-,-,-,-,0.00
Bart Houston QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Cardale Jones QB - LAC,DEN,-,-,-,-,-,-,-,-,-,-,0.00
Brad Kaaya QB - IND,JAX,-,-,-,-,-,-,-,-,-,-,0.00
Colin Kaepernick QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Chad Kelly QB - DEN,@LAC,-,-,-,-,-,-,-,-,-,-,0.00
Andrew Luck QB - IND,JAX,-,-,-,-,-,-,-,-,-,-,0.00
Paxton Lynch QB - DEN,@LAC,-,-,-,-,-,-,-,-,-,-,0.00
Luke McCown QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Matt McGloin QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Zach Mettenberger QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Stephen Morris QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Aaron Murray QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Ryan Nassib QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Aaron Rodgers QB - GB,NO,-,-,-,-,-,-,-,-,-,-,0.00
Tony Romo QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Jake Rudock QB - DET,Bye,-,-,-,-,-,-,-,-,-,-,-
Cooper Rush QB - DAL,@SF,-,-,-,-,-,-,-,-,-,-,0.00
Mark Sanchez QB - CHI,CAR,-,-,-,-,-,-,-,-,-,-,0.00
Tom Savage QB - HOU,Bye,-,-,-,-,-,-,-,-,-,-,-
Connor Shaw QB,Bye,-,-,-,-,-,-,-,-,-,-,-
Matthew Stafford QB - DET View Videos,Bye,-,-,-,-,-,-,-,-,-,-,-
Joel Stave QB - NYJ,@MIA,-,-,-,-,-,-,-,-,-,-,0.00
