FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Josh,Hill,W (Jan 10),1.0,5,2.94,0%,277,277,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,14.3,0.1,0.0,0.0,0.0
Dwayne,Allen,W (Jan 10),1.0,9,2.80,1%,281,281,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.2,13.1,0.1,0.0,0.0,0.0
Trey,Burton,W (Jan 10),1.0,10,2.79,1%,282,282,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.6,14.7,0.1,0.0,0.0,0.0
Stephen,Anderson,W (Jan 10),1.0,7,2.78,0%,283,283,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,13.0,0.1,0.0,0.0,0.0
Anthony,Fasano,W (Jan 10),1.0,1,2.56,0%,292,292,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.3,15.3,0.1,0.0,0.0,0.0
Virgil,Green,W (Jan 10),1.0,5,2.52,0%,293,293,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.4,15.0,0.1,0.0,0.0,0.0
Luke,Willson,W (Jan 10),1.0,6,2.49,0%,294,294,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.3,14.8,0.1,0.0,0.0,0.0
Nick,O'Leary,W (Jan 10),1.0,6,2.45,1%,295,295,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,13.5,0.1,0.0,0.0,0.0
Jonnu,Smith,W (Jan 10),1.0,8,2.02,0%,298,298,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.9,11.7,0.1,0.0,0.0,0.0
C.J.,Uzomah,W (Jan 10),1.0,6,1.97,0%,300,300,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,10.7,0.1,0.0,0.0,0.0
Brent,Celek,W (Jan 10),1.0,10,1.54,0%,306,306,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,8.9,0.0,0.0,0.0,0.0
Jerell,Adams,W (Jan 10),1.0,8,1.52,0%,307,307,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9,8.3,0.0,0.0,0.0,0.0
Rhett,Ellison,W (Jan 10),1.0,8,1.42,0%,309,309,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.2,8.1,0.0,0.0,0.0,0.0
Jacob,Hollister,W (Jan 10),1.0,9,1.28,0%,311,311,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7,7.1,0.0,0.0,0.0,0.0
Jeremy,Sprinkle,W (Jan 10),1.0,5,0.89,0%,315,315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,6.1,0.0,0.0,0.0,0.0
Levine,Toilolo,W (Jan 10),1.0,5,0.88,0%,316,316,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,4.2,0.1,0.0,0.0,0.0
Clive,Walford,W (Jan 10),1.0,10,0.52,0%,324,324,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,2.9,0.0,0.0,0.0,0.0
Randall,Telfer,W (Jan 10),1.0,9,0.40,0%,325,325,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,2.4,0.0,0.0,0.0,0.0
Michael,Roberts,W (Jan 10),1.0,7,0.35,0%,329,329,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.2,0.0,0.0,0.0,0.0
David,Morgan,W (Jan 10),1.0,9,0.14,0%,332,332,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0,0.0,0.0,0.0
Eric,Saubert,W (Jan 10),1.0,5,0.13,0%,334,334,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0
Maxx,Williams,W (Jan 10),1.0,10,0.10,0%,339,339,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.0,0.0
Brian,Parker,W (Jan 10),0.0,5,0.00,0%,342,342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian,Vogler,W (Jan 10),0.0,5,0.00,0%,344,344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan,Paulsen,W (Jan 10),0.0,11,0.00,0%,346,346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg,Olsen,Shen and the Pencils,0.0,11,0.00,70%,352,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gannon,Sinclair,W (Jan 10),0.0,8,0.00,0%,360,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor,Hamlett,W (Jan 10),0.0,6,0.00,0%,365,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt,LaCosse,W (Jan 10),0.0,5,0.00,0%,369,369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khari,Lee,W (Jan 10),1.0,6,0.00,0%,371,371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wes,Saxton,W (Jan 10),0.0,6,0.00,0%,377,377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rob,Housler,W (Jan 10),0.0,9,0.00,0%,379,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabe,Holmes,W (Jan 10),0.0,8,0.00,0%,383,383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
