FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Tom,Brady,Shen and the Pencils,1.0,9,21.93,100%,1,1,330,2.7,0.5,1.7,3.7,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Aaron,Rodgers,Fantasy What Now?,1.0,8,20.86,100%,2,2,285,2.3,0.5,3.2,18.8,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.1
Drew,Brees,Natty Lights,1.0,5,18.39,100%,3,3,317,2.2,0.9,0.7,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Matt,Ryan,Flacc-o'-lantern,1.0,5,18.34,100%,4,4,304,2.3,0.7,2.1,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Jameis,Winston,Flacc-o'-lantern,1.0,1,18.25,96%,5,5,309,2.2,1.0,4.0,10.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3
Russell,Wilson,Shen Sucks YoungHoe!,1.0,6,18.07,99%,6,6,255,1.7,0.6,5.1,27.4,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Derek,Carr,Give Me Your Pencil,1.0,10,18.08,97%,7,7,302,2.1,0.8,2.6,5.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Carson,Wentz,W (Jan 10),1.0,10,17.70,67%,8,8,305,2.0,1.0,3.0,12.3,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Cam,Newton,Fantasy What Now?,1.0,11,17.29,97%,11,11,233,1.4,0.7,5.7,28.6,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Marcus,Mariota,BigmouthBilly Bajema,1.0,8,16.49,98%,13,13,236,1.7,0.7,3.9,24.6,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.3
Ben,Roethlisberger,Flacc-o'-lantern,1.0,9,16.34,97%,15,15,268,2.0,0.7,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
Jay,Cutler,W (Jan 10),1.0,1,16.10,29%,18,18,286,2.0,1.1,0.0,2.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carson,Palmer,W (Jan 10),1.0,8,15.78,60%,19,19,295,2.0,1.0,0.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Philip,Rivers,Playoffs!!??,1.0,9,15.64,90%,21,21,271,2.0,0.9,0.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
Trevor,Siemian,Playoffs!!??,1.0,5,14.47,12%,28,28,272,1.7,0.9,1.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew,Stafford,Shen Sucks YoungHoe!,1.0,7,14.32,92%,29,29,249,1.5,0.7,2.2,7.7,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Dak,Prescott,Fantasy What Now?,1.0,6,14.27,95%,31,31,205,1.3,0.4,3.0,17.8,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Eli,Manning,I AM the danger!!!,1.0,8,13.83,66%,39,39,256,1.8,1.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
