FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Jaron,Brown,W (Jan 10),1.0,8,5.63,6%,251,251,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.4,32.1,0.1,0.0,0.0,0.0
Tavon,Austin,W (Jan 10),1.0,8,5.59,1%,255,255,0.0,0.0,0.0,1.2,7.7,0.0,3.6,2.3,23.6,0.2,0.0,0.0,0.0
Bennie,Fowler,W (Jan 10),1.0,5,5.59,2%,256,256,0.0,0.0,0.0,0.0,0.0,0.0,5.1,2.8,33.9,0.1,0.0,0.0,0.0
Josh,Reynolds,W (Jan 10),1.0,8,5.56,1%,259,259,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3,34.5,0.2,0.0,0.0,0.0
Deonte,Thompson,W (Jan 10),1.0,6,5.39,4%,262,262,0.0,0.0,0.0,0.2,0.8,0.0,3.5,3.0,32.4,0.1,0.0,0.0,0.0
Trent,Taylor,W (Jan 10),1.0,11,5.34,0%,264,264,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.5,31.4,0.2,0.0,0.0,0.0
De'Anthony,Thomas,W (Jan 10),1.0,10,4.97,0%,269,269,0.0,0.0,0.0,0.4,3.4,0.0,2.1,1.6,18.9,0.3,0.0,0.0,0.0
Chester,Rogers,W (Jan 10),1.0,11,4.94,0%,270,270,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.6,31.4,0.0,0.0,0.0,0.0
Aldrick,Robinson,W (Jan 10),1.0,11,4.88,0%,273,273,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.4,27.6,0.1,0.0,0.0,0.0
Russell,Shepard,W (Jan 10),1.0,11,4.74,1%,276,276,0.0,0.0,0.0,0.1,0.4,0.0,3.7,2.3,31.0,0.1,0.0,0.0,0.0
Laquon,Treadwell,W (Jan 10),1.0,9,4.56,1%,281,281,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.1,25.3,0.2,0.0,0.0,0.0
Josh,Bellamy,W (Jan 10),1.0,9,4.51,0%,282,282,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.2,27.1,0.1,0.0,0.0,0.0
Justin,Hardy,W (Jan 10),1.0,5,4.40,0%,285,285,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.2,22.9,0.2,0.0,0.0,0.0
Andre,Holmes,W (Jan 10),1.0,6,4.34,0%,287,287,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7,25.6,0.2,0.0,0.0,0.0
Kamar,Aiken,W (Jan 10),1.0,11,4.33,0%,288,288,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,27.0,0.1,0.0,0.0,0.0
Eli,Rogers,W (Jan 10),1.0,9,4.21,1%,290,290,0.0,0.0,0.0,0.0,0.2,0.0,3.2,2.0,26.1,0.1,0.0,0.0,0.0
Phillip,Dorsett,W (Jan 10),1.0,9,3.78,1%,298,298,0.0,0.0,0.0,0.1,0.0,0.0,2.5,1.7,23.9,0.1,0.0,0.0,0.0
Maurice,Harris,W (Jan 10),1.0,5,3.77,0%,299,299,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.6,21.5,0.1,0.0,0.0,0.0
Kendrick,Bourne,W (Jan 10),1.0,11,3.76,0%,300,300,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8,22.0,0.1,0.0,0.0,0.0
Taywan,Taylor,W (Jan 10),1.0,8,3.75,1%,301,301,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.6,20.3,0.2,0.0,0.0,0.0
Brice,Butler,W (Jan 10),1.0,6,3.73,1%,302,302,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.4,19.9,0.2,0.0,0.0,0.0
Tyler,Boyd,W (Jan 10),1.0,6,3.66,0%,303,303,0.0,0.0,0.0,0.3,1.5,0.0,2.8,1.6,21.0,0.1,0.0,0.0,0.0
Kenny,Britt,W (Jan 10),1.0,9,3.61,15%,304,304,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1.5,22.6,0.1,0.0,0.0,0.0
Rashard,Higgins,W (Jan 10),1.0,9,3.54,1%,305,305,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,21.2,0.1,0.0,0.0,0.0
Chris,Moore,W (Jan 10),1.0,10,3.54,0%,306,306,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,23.7,0.1,0.0,0.0,0.0
Leonte,Carroo,W (Jan 10),1.0,1,3.49,0%,308,308,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.6,21.0,0.1,0.0,0.0,0.0
Tavarres,King,W (Jan 10),1.0,8,3.43,0%,310,310,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.8,18.6,0.1,0.0,0.0,0.0
Demarcus,Robinson,W (Jan 10),1.0,10,3.42,0%,311,311,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.8,20.4,0.1,0.0,0.0,0.0
