FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Le'Veon,Bell,Flacc-o'-lantern,1.0,9,22.89,100%,1,1,0.0,0.0,0.0,17.8,94.3,0.8,7.4,5.5,43.2,0.2,0.0,0.1,0.1
Todd,Gurley,Shen Sucks YoungHoe!,1.0,8,19.05,100%,2,2,0.0,0.0,0.0,17.1,86.2,0.8,3.0,3.4,30.9,0.1,0.0,0.0,0.1
LeSean,McCoy,Pedialyte Powered,1.0,6,17.74,100%,5,5,0.0,0.0,0.0,17.2,83.9,0.7,3.2,4.1,27.5,0.1,0.0,0.1,0.1
Leonard,Fournette,Shen Sucks YoungHoe!,1.0,8,16.84,100%,7,7,0.0,0.0,0.0,17.1,84.5,0.8,2.9,2.3,21.1,0.1,0.0,0.0,0.1
Melvin,Gordon,Shen and the Pencils,1.0,9,15.30,100%,12,12,0.0,0.0,0.0,17.8,72.4,0.6,3.5,3.1,26.6,0.1,0.0,0.0,0.1
Mark,Ingram,Natty Lights,1.0,5,13.85,98%,22,22,0.0,0.0,0.0,15.4,64.4,0.5,4.6,3.7,24.3,0.1,0.0,0.0,0.1
Carlos,Hyde,Playoffs!!??,1.0,11,13.79,98%,24,24,0.0,0.0,0.0,15.7,60.2,0.4,5.6,4.3,28.6,0.1,0.0,0.0,0.1
Bilal,Powell,W (Jan 10),1.0,11,13.46,82%,27,27,0.0,0.0,0.0,15.9,61.7,0.3,7.2,4.9,35.7,0.0,0.0,0.0,0.1
Jordan,Howard,Playoffs!!??,1.0,9,13.24,100%,29,29,0.0,0.0,0.0,17.3,73.9,0.6,2.4,1.6,14.5,0.0,0.0,0.0,0.1
Christian,McCaffrey,Give Me Your Pencil,1.0,11,12.47,98%,31,31,0.0,0.0,0.0,7.6,30.0,0.2,8.3,5.4,41.8,0.3,0.0,0.0,0.1
Devonta,Freeman,Natty Lights,1.0,5,12.46,100%,32,32,0.0,0.0,0.0,12.8,58.5,0.4,3.0,2.6,24.9,0.1,0.0,0.0,0.1
