FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Le'Veon,Bell,Flacc-o'-lantern,1.0,9,19.20,100%,4,4,0.0,0.0,0.0,17.9,84.3,0.6,4.9,4.7,39.3,0.1,0.0,0.1,0.1
Kareem,Hunt,I AM the danger!!!,1.0,10,17.51,99%,9,9,0.0,0.0,0.0,15.3,79.4,0.7,3.0,2.8,28.0,0.2,0.0,0.0,0.1
Devonta,Freeman,Natty Lights,1.0,5,16.30,100%,13,13,0.0,0.0,0.0,14.5,77.8,0.6,3.6,3.2,30.6,0.1,0.0,0.0,0.1
Ezekiel,Elliott,Give Me Your Pencil,1.0,6,15.10,100%,21,21,0.0,0.0,0.0,16.2,82.0,0.7,2.5,2.3,14.9,0.1,0.0,0.1,0.2
Jay,Ajayi,Pedialyte Powered,1.0,10,14.74,100%,23,23,0.0,0.0,0.0,16.9,78.8,0.6,2.7,2.4,19.8,0.1,0.0,0.0,0.1
Ty,Montgomery,I AM the danger!!!,1.0,8,14.71,98%,25,25,0.0,0.0,0.0,11.8,54.0,0.4,4.7,3.9,37.4,0.2,0.0,0.0,0.1
Todd,Gurley,Shen Sucks YoungHoe!,1.0,8,14.32,100%,29,29,0.0,0.0,0.0,18.0,73.4,0.5,2.7,2.7,25.4,0.1,0.0,0.0,0.1
Melvin,Gordon,Shen and the Pencils,1.0,9,14.09,100%,35,35,0.0,0.0,0.0,16.2,68.0,0.6,3.5,2.7,24.2,0.1,0.0,0.0,0.1
LeSean,McCoy,Pedialyte Powered,1.0,6,13.98,100%,36,36,0.0,0.0,0.0,16.2,71.0,0.5,2.8,2.4,20.7,0.1,0.0,0.1,0.1
Carlos,Hyde,Playoffs!!??,1.0,11,13.16,98%,47,47,0.0,0.0,0.0,15.0,65.8,0.6,2.5,2.1,18.9,0.1,0.0,0.0,0.1
Dalvin,Cook,W (Jan 10),1.0,9,13.02,99%,50,50,0.0,0.0,0.0,15.5,64.4,0.5,2.8,2.4,19.8,0.1,0.0,0.0,0.1
Marshawn,Lynch,Flacc-o'-lantern,1.0,10,12.96,98%,52,52,0.0,0.0,0.0,14.8,67.7,0.7,2.4,1.9,14.0,0.0,0.0,0.0,0.1
Christian,McCaffrey,Give Me Your Pencil,1.0,11,12.41,98%,62,62,0.0,0.0,0.0,8.0,37.7,0.3,4.4,3.7,38.8,0.2,0.0,0.0,0.1
C.J.,Anderson,Pedialyte Powered,1.0,5,11.96,97%,65,65,0.0,0.0,0.0,14.1,61.7,0.4,2.5,2.2,18.5,0.1,0.0,0.0,0.1
Mike,Gillislee,W (Jan 10),1.0,9,11.87,96%,66,66,0.0,0.0,0.0,12.3,63.0,0.8,1.0,0.8,5.5,0.0,0.0,0.0,0.1
Leonard,Fournette,Shen Sucks YoungHoe!,1.0,8,11.64,99%,67,67,0.0,0.0,0.0,15.0,61.7,0.5,1.7,1.4,13.7,0.1,0.0,0.0,0.1
Isaiah,Crowell,W (Jan 10),1.0,9,11.62,96%,68,68,0.0,0.0,0.0,14.4,57.8,0.4,2.5,2.3,18.6,0.1,0.0,0.0,0.1
James,White,W (Jan 10),1.0,9,11.09,76%,75,75,0.0,0.0,0.0,4.1,20.0,0.1,5.5,4.8,45.7,0.2,0.0,0.1,0.0
Javorius,Allen,W (Jan 10),1.0,10,10.98,81%,78,78,0.0,0.0,0.0,10.0,41.2,0.2,1.9,3.5,29.2,0.1,0.0,0.0,0.0
Jordan,Howard,Playoffs!!??,1.0,9,10.73,98%,81,81,0.0,0.0,0.0,15.7,64.2,0.4,2.4,1.6,9.0,0.1,0.0,0.0,0.0
Theo,Riddick,W (Jan 10),1.0,7,10.65,59%,83,83,0.0,0.0,0.0,5.0,18.5,0.1,5.7,5.0,40.3,0.3,0.0,0.0,0.0
Tarik,Cohen,W (Jan 10),1.0,9,10.60,85%,84,84,0.0,0.0,0.0,6.5,27.9,0.1,5.8,4.8,38.1,0.1,0.0,0.0,0.0
Darren,Sproles,W (Jan 10),1.0,10,10.34,51%,92,92,0.0,0.0,0.0,4.9,21.7,0.1,4.7,4.2,40.8,0.2,0.1,0.0,0.0
Mark,Ingram,Natty Lights,1.0,5,10.22,92%,98,98,0.0,0.0,0.0,11.5,50.5,0.4,2.5,2.2,17.0,0.1,0.0,0.0,0.1
DeMarco,Murray,Flacc-o'-lantern,1.0,8,9.96,98%,103,103,0.0,0.0,0.0,14.0,52.6,0.4,2.5,1.8,12.3,0.1,0.0,0.0,0.0
Chris,Thompson,W (Jan 10),1.0,5,9.75,75%,114,114,0.0,0.0,0.0,4.7,22.3,0.2,4.4,3.9,35.0,0.2,0.0,0.0,0.0
Ameer,Abdullah,BigmouthBilly Bajema,1.0,7,9.64,88%,116,116,0.0,0.0,0.0,11.7,50.2,0.3,2.1,1.8,16.3,0.1,0.0,0.0,0.1
Lamar,Miller,Shen Sucks YoungHoe!,1.0,7,9.36,98%,123,123,0.0,0.0,0.0,14.0,53.5,0.3,2.0,1.8,13.4,0.0,0.0,0.0,0.1
Duke,Johnson,Fantasy What Now?,1.0,9,9.33,52%,124,124,0.0,0.0,0.0,6.0,25.2,0.1,4.6,3.9,37.5,0.1,0.0,0.0,0.0
Chris,Carson,W (Jan 10),1.0,6,9.33,75%,125,125,0.0,0.0,0.0,10.6,43.1,0.4,1.5,2.0,15.7,0.0,0.0,0.0,0.0
Joe,Mixon,I AM the danger!!!,1.0,6,9.26,87%,126,126,0.0,0.0,0.0,9.9,42.0,0.3,2.5,2.1,19.2,0.1,0.0,0.0,0.1
Jacquizz,Rodgers,W (Jan 10),1.0,1,9.17,63%,130,130,0.0,0.0,0.0,10.0,41.0,0.3,2.7,2.3,20.9,0.0,0.0,0.0,0.0
Frank,Gore,Shen and the Pencils,1.0,11,9.05,76%,139,139,0.0,0.0,0.0,12.0,46.8,0.3,1.9,1.7,10.8,0.1,0.0,0.0,0.0
Alvin,Kamara,Natty Lights,1.0,5,9.03,40%,140,140,0.0,0.0,0.0,3.3,12.1,0.1,3.4,4.3,40.4,0.2,0.0,0.0,0.0
Shane,Vereen,W (Jan 10),1.0,8,8.93,22%,142,142,0.0,0.0,0.0,4.5,19.0,0.1,4.5,4.1,34.6,0.2,0.0,0.0,0.0
Derrick,Henry,Give Me Your Pencil,1.0,8,8.78,87%,146,146,0.0,0.0,0.0,10.5,42.6,0.4,1.3,1.1,12.9,0.1,0.0,0.0,0.0
Chris,Johnson,W (Jan 10),1.0,8,8.66,46%,154,154,0.0,0.0,0.0,11.9,57.4,0.3,1.9,1.2,7.0,0.0,0.0,0.0,0.0
Jonathan,Stewart,Shen and the Pencils,1.0,11,8.54,76%,161,161,0.0,0.0,0.0,13.0,59.8,0.4,0.7,0.5,2.5,0.0,0.0,0.0,0.1
Samaje,Perine,BigmouthBilly Bajema,1.0,5,8.50,39%,165,165,0.0,0.0,0.0,9.5,45.6,0.4,1.2,1.0,9.1,0.0,0.0,0.0,0.1
