FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Rob,Gronkowski,I AM the danger!!!,1.0,9,13.21,100%,26,26,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.7,67.9,0.7,0.0,0.1,0.1
Jack,Doyle,Shen and the Pencils,1.0,11,10.05,84%,70,70,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.5,51.5,0.4,0.0,0.0,0.0
Antonio,Gates,W (Jan 10),1.0,9,10.05,26%,71,71,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.9,48.4,0.3,0.0,0.2,0.0
Delanie,Walker,Flacc-o'-lantern,1.0,8,9.94,97%,73,73,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.9,56.8,0.3,0.0,0.0,0.1
Kyle,Rudolph,Shen Sucks YoungHoe!,1.0,9,9.82,95%,78,78,0.0,0.0,0.0,0.0,0.0,0.0,6.4,4.6,46.0,0.5,0.0,0.0,0.0
Eric,Ebron,BigmouthBilly Bajema,1.0,7,9.40,58%,97,97,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.7,51.3,0.3,0.0,0.0,0.0
Greg,Olsen,Shen and the Pencils,1.0,11,9.14,91%,108,108,0.0,0.0,0.0,0.0,0.0,0.0,7.4,4.4,52.2,0.3,0.0,0.0,0.1
Jimmy,Graham,Fantasy What Now?,1.0,6,9.04,99%,113,113,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.8,39.4,0.5,0.0,0.0,0.1
Charles,Clay,W (Jan 10),1.0,6,9.03,36%,115,115,0.0,0.0,0.0,0.0,0.0,0.0,6.7,4.6,49.6,0.3,0.0,0.0,0.1
Vernon,Davis,W (Jan 10),1.0,5,8.96,49%,118,118,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3,47.8,0.3,0.0,0.0,0.0
Cameron,Brate,W (Jan 10),1.0,1,8.92,61%,121,121,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.9,45.2,0.4,0.0,0.0,0.0
Jesse,James,W (Jan 10),1.0,9,8.10,34%,154,154,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.9,38.9,0.4,0.0,0.0,0.0
Jason,Witten,Give Me Your Pencil,1.0,6,7.86,84%,161,161,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.3,40.3,0.3,0.0,0.0,0.0
Austin,Hooper,W (Jan 10),1.0,5,7.75,58%,165,165,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.9,39.9,0.3,0.0,0.0,0.0
Benjamin,Watson,W (Jan 10),1.0,10,7.64,20%,170,170,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.9,39.9,0.3,0.0,0.0,0.0
Trey,Burton,W (Jan 10),1.0,10,7.41,9%,176,176,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.6,36.5,0.3,0.0,0.0,0.0
Jared,Cook,Pedialyte Powered,1.0,10,7.39,70%,177,177,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.4,43.6,0.2,0.0,0.0,0.0
Demetrius,Harris,W (Jan 10),1.0,10,6.39,0%,199,199,0.0,0.0,0.0,0.0,0.0,0.0,5.9,3.2,32.0,0.3,0.0,0.0,0.0
Zach,Ertz,Playoffs!!??,1.0,10,6.26,99%,204,204,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.7,32.0,0.3,0.0,0.0,0.0
Tyler,Kroft,W (Jan 10),1.0,6,6.00,31%,210,210,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.0,28.1,0.3,0.0,0.0,0.0
Marcedes,Lewis,W (Jan 10),1.0,8,5.97,6%,212,212,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.8,24.1,0.4,0.0,0.0,0.0
David,Njoku,W (Jan 10),1.0,9,5.23,7%,238,238,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.5,28.3,0.2,0.0,0.0,0.1
