FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Andre,Ellington,W (Jan 10),1.0,7,3.75,8%,282,282,0.0,0.0,0.0,1.8,6.9,0.0,2.8,2.1,16.7,0.1,0.0,0.0,0.0
Jalen,Richard,W (Jan 10),1.0,10,3.66,9%,283,283,0.0,0.0,0.0,3.3,13.8,0.1,1.4,1.1,10.5,0.0,0.0,0.0,0.0
Elijhaa,Penny,W (Jan 10),1.0,8,3.33,6%,296,296,0.0,0.0,0.0,5.5,17.8,0.1,1.0,0.7,4.8,0.0,0.0,0.0,0.0
Corey,Grant,W (Jan 10),1.0,8,3.12,0%,304,304,0.0,0.0,0.0,3.9,15.5,0.1,0.8,0.7,5.5,0.0,0.0,0.0,0.0
Benny,Cunningham,W (Jan 10),1.0,9,2.75,0%,314,314,0.0,0.0,0.0,2.0,7.3,0.0,1.5,1.5,13.0,0.0,0.0,0.0,0.0
Mike,Tolbert,W (Jan 10),1.0,6,2.54,1%,319,319,0.0,0.0,0.0,2.8,10.9,0.1,0.9,0.8,4.1,0.0,0.0,0.0,0.0
LeGarrette,Blount,W (Jan 10),1.0,10,2.53,63%,321,321,0.0,0.0,0.0,4.5,16.8,0.1,0.1,0.2,1.0,0.0,0.0,0.0,0.0
Brandon,Bolden,W (Jan 10),1.0,9,2.43,0%,327,327,0.0,0.0,0.0,5.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian,Hill,W (Jan 10),1.0,6,2.33,0%,333,333,0.0,0.0,0.0,3.5,13.6,0.1,0.4,0.4,1.5,0.0,0.0,0.0,0.0
Justin,Davis,W (Jan 10),1.0,8,2.22,0%,337,337,0.0,0.0,0.0,4.7,16.1,0.0,0.0,0.6,3.3,0.0,0.0,0.0,0.0
De'Angelo,Henderson,W (Jan 10),1.0,5,2.20,0%,339,339,0.0,0.0,0.0,2.0,8.4,0.1,0.7,0.6,6.1,0.0,0.0,0.0,0.0
Devante,Mays,W (Jan 10),1.0,8,1.53,0%,351,351,0.0,0.0,0.0,3.2,10.9,0.0,0.6,0.4,2.4,0.0,0.0,0.0,0.0
David,Fluellen,W (Jan 10),1.0,8,1.24,0%,354,354,0.0,0.0,0.0,2.7,9.4,0.0,0.4,0.4,1.1,0.0,0.0,0.0,0.0
Terron,Ward,W (Jan 10),1.0,5,1.05,0%,358,358,0.0,0.0,0.0,1.0,4.3,0.0,0.4,0.3,2.7,0.0,0.0,0.0,0.0
Dare,Ogunbowale,W (Jan 10),1.0,5,1.00,0%,361,361,0.0,0.0,0.0,1.0,4.0,0.0,0.8,0.6,3.0,0.0,0.0,0.0,0.0
Josh,Ferguson,W (Jan 10),1.0,11,0.97,0%,362,362,0.0,0.0,0.0,1.0,4.0,0.0,0.9,0.5,3.3,0.0,0.0,0.0,0.0
Jacquizz,Rodgers,W (Jan 10),1.0,1,0.93,10%,363,363,0.0,0.0,0.0,1.0,4.3,0.0,0.3,0.2,2.2,0.0,0.0,0.0,0.0
Paul,Perkins,W (Jan 10),1.0,8,0.83,8%,365,365,0.0,0.0,0.0,1.1,4.1,0.0,0.3,0.2,2.0,0.0,0.0,0.0,0.0
Alfred,Morris,W (Jan 10),1.0,6,0.81,58%,366,366,0.0,0.0,0.0,1.0,4.2,0.0,0.1,0.1,0.6,0.0,0.0,0.0,0.0
De'Veon,Smith,W (Jan 10),1.0,1,0.75,0%,368,368,0.0,0.0,0.0,1.0,3.3,0.0,0.5,0.5,1.9,0.0,0.0,0.0,0.0
Thomas,Rawls,W (Jan 10),1.0,6,0.73,10%,369,369,0.0,0.0,0.0,1.1,4.2,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0
Fozzy,Whittaker,W (Jan 10),1.0,11,0.40,0%,378,378,0.0,0.0,0.0,0.4,1.5,0.0,0.2,0.2,1.5,0.0,0.0,0.0,0.0
Darren,Sproles,W (Jan 10),1.0,10,0.38,2%,381,381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Cameron,Artis-Payne,W (Jan 10),1.0,11,0.32,0%,382,382,0.0,0.0,0.0,0.4,1.6,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0
Senorise,Perry,W (Jan 10),1.0,1,0.23,0%,385,385,0.0,0.0,0.0,0.4,0.9,0.0,0.2,0.2,0.7,0.0,0.0,0.0,0.0
Matthew,Dayes,W (Jan 10),1.0,9,0.12,0%,386,386,0.0,0.0,0.0,0.1,0.4,0.0,0.1,0.1,0.6,0.0,0.0,0.0,0.0
Matt,Jones,W (Jan 10),1.0,11,0.09,0%,391,391,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Dreamius,Smith,W (Jan 10),0.0,9,0.00,0%,394,394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rod,Smith,Fantasy What Now?,1.0,6,0.00,18%,398,398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,Wegher,W (Jan 10),0.0,8,0.00,0%,401,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian,Peterson,W (Jan 10),1.0,8,0.00,54%,403,403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul,Lasike,W (Jan 10),0.0,9,0.00,0%,409,409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will,Tukuafu,W (Jan 10),0.0,6,0.00,0%,411,411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Develin,W (Jan 10),1.0,9,0.00,0%,416,416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey,Williams,W (Jan 10),0.0,6,0.00,0%,417,417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach,Zenner,W (Jan 10),1.0,7,0.00,0%,420,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John,Crockett,W (Jan 10),0.0,10,0.00,0%,425,425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian,Howsare,W (Jan 10),0.0,11,0.00,0%,427,427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrence,Magee,W (Jan 10),0.0,5,0.00,0%,431,431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gus,Johnson,W (Jan 10),0.0,9,0.00,0%,435,435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach,Laskey,W (Jan 10),0.0,8,0.00,0%,442,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwan,Jones,W (Jan 10),1.0,6,0.00,0%,443,443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George,Farmer,W (Jan 10),0.0,6,0.00,0%,445,445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony,Sherman,W (Jan 10),1.0,10,0.00,0%,447,447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,Todman,W (Jan 10),1.0,7,0.00,0%,458,458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mack,Brown,W (Jan 10),1.0,9,0.00,0%,462,462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrell,Watson,W (Jan 10),0.0,9,0.00,0%,470,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bronson,Hill,W (Jan 10),1.0,8,0.00,0%,471,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuJuan,Harris,W (Jan 10),0.0,8,0.00,0%,473,473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,DiMarco,W (Jan 10),1.0,6,0.00,0%,480,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris,Johnson,W (Jan 10),0.0,8,0.00,1%,487,487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J.,Prosise,W (Jan 10),1.0,6,0.00,3%,493,493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaal,Charles,W (Jan 10),1.0,5,0.00,11%,497,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt,Asiata,W (Jan 10),0.0,7,0.00,0%,498,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler,Ervin,W (Jan 10),1.0,7,0.00,0%,502,502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth,Dixon,W (Jan 10),1.0,10,0.00,1%,503,503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan,Williams,W (Jan 10),1.0,5,0.00,0%,509,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome,Felton,W (Jan 10),0.0,6,0.00,0%,510,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim,Hightower,W (Jan 10),0.0,11,0.00,0%,513,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy,Janovich,W (Jan 10),1.0,5,0.00,0%,515,515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny,Vitale,W (Jan 10),1.0,9,0.00,0%,524,524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek,Watt,W (Jan 10),1.0,9,0.00,0%,525,525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin,Taylor,W (Jan 10),0.0,5,0.00,0%,529,529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius,Jackson,W (Jan 10),1.0,9,0.00,0%,531,531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne,Washington,W (Jan 10),1.0,7,0.00,0%,540,540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel,Lasco,W (Jan 10),1.0,5,0.00,0%,541,541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith,Marshall,W (Jan 10),1.0,5,0.00,0%,544,544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac,Brooks,W (Jan 10),0.0,5,0.00,0%,546,546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin,Forsett,W (Jan 10),0.0,5,0.00,0%,549,549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew,Bonnet,W (Jan 10),0.0,10,0.00,0%,551,551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon,Johnson,W (Jan 10),0.0,11,0.00,0%,553,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth,Farrow,W (Jan 10),1.0,9,0.00,0%,558,558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris,Swain,W (Jan 10),0.0,11,0.00,0%,560,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhurell,Pressley,W (Jan 10),0.0,8,0.00,0%,564,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn,Gronkowski,W (Jan 10),0.0,9,0.00,0%,566,566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell,Hansbrough,W (Jan 10),1.0,9,0.00,0%,568,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaun,Draughn,W (Jan 10),0.0,8,0.00,0%,569,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bralon,Addison,W (Jan 10),0.0,9,0.00,0%,576,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel,Reece,W (Jan 10),0.0,6,0.00,0%,579,579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will,Ratelle,W (Jan 10),0.0,10,0.00,0%,581,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon,Wilds,W (Jan 10),0.0,8,0.00,0%,582,582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byron,Marshall,W (Jan 10),1.0,5,0.00,1%,585,585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric,O'Neal,W (Jan 10),0.0,6,0.00,0%,586,586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rob,Kelley,W (Jan 10),1.0,5,0.00,12%,591,591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Kerridge,W (Jan 10),1.0,8,0.00,0%,592,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tra,Carson,W (Jan 10),1.0,6,0.00,0%,594,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Green,W (Jan 10),0.0,6,0.00,0%,596,596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don,Jackson,W (Jan 10),0.0,8,0.00,0%,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soma,Vainuku,W (Jan 10),0.0,5,0.00,0%,616,616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tre,Madden,W (Jan 10),1.0,6,0.00,0%,620,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie,Hillman,W (Jan 10),0.0,6,0.00,0%,636,636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
