FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Jimmy,Graham,Fantasy What Now?,1.0,6,11.56,97%,50,50,0.0,0.0,0.0,0.0,0.0,0.0,7.8,5.0,62.0,0.5,0.0,0.1,0.1
Jordan,Reed,W (Jan 10),1.0,5,10.44,94%,67,67,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.8,53.7,0.5,0.0,0.0,0.1
Austin,Seferian-Jenkins,W (Jan 10),1.0,11,10.10,75%,78,78,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.5,52.6,0.4,0.0,0.1,0.0
Cameron,Brate,W (Jan 10),1.0,1,9.80,91%,86,86,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.5,47.9,0.5,0.0,0.0,0.0
Austin,Hooper,W (Jan 10),1.0,5,8.56,59%,125,125,0.0,0.0,0.0,0.0,0.0,0.0,6.1,3.5,49.9,0.3,0.0,0.0,0.0
George,Kittle,W (Jan 10),1.0,11,7.75,22%,162,162,0.0,0.0,0.0,0.0,0.0,0.0,6.2,4.0,41.9,0.3,0.0,0.0,0.0
Nick,O'Leary,W (Jan 10),1.0,6,7.41,3%,177,177,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.4,40.8,0.3,0.0,0.0,0.0
Martellus,Bennett,W (Jan 10),1.0,9,7.09,75%,186,186,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.6,36.2,0.3,0.0,0.1,0.1
Zach,Miller,W (Jan 10),1.0,9,6.86,25%,192,192,0.0,0.0,0.0,0.0,0.0,0.0,4.8,3.2,33.2,0.3,0.0,0.0,0.0
Ed,Dickson,W (Jan 10),1.0,11,6.74,39%,199,199,0.0,0.0,0.0,0.0,0.0,0.0,4.9,3.1,34.7,0.3,0.0,0.0,0.0
Jesse,James,W (Jan 10),1.0,9,6.44,22%,210,210,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.9,28.9,0.4,0.0,0.0,0.0
Tyler,Kroft,W (Jan 10),1.0,6,6.30,15%,213,213,0.0,0.0,0.0,0.0,0.0,0.0,4.7,3.1,29.6,0.3,0.0,0.0,0.0
Benjamin,Watson,W (Jan 10),1.0,10,6.21,13%,220,220,0.0,0.0,0.0,0.0,0.0,0.0,5.1,3.2,32.4,0.2,0.0,0.0,0.0
Seth,DeValve,W (Jan 10),1.0,9,5.99,0%,230,230,0.0,0.0,0.0,0.0,0.0,0.0,4.6,2.9,30.7,0.2,0.0,0.0,0.0
A.J.,Derby,W (Jan 10),1.0,1,5.91,2%,235,235,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.6,31.3,0.2,0.0,0.0,0.0
Tyler,Higbee,W (Jan 10),1.0,8,5.90,1%,236,236,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.1,29.1,0.2,0.0,0.0,0.0
Jermaine,Gresham,W (Jan 10),1.0,8,5.78,1%,241,241,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.3,26.5,0.2,0.0,0.0,0.0
Antonio,Gates,W (Jan 10),1.0,9,5.31,23%,250,250,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.1,25.5,0.2,0.0,0.1,0.0
David,Njoku,W (Jan 10),1.0,9,5.26,12%,251,251,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.5,28.4,0.2,0.0,0.0,0.1
Julius,Thomas,W (Jan 10),1.0,1,4.99,18%,254,254,0.0,0.0,0.0,0.0,0.0,0.0,5.1,2.7,30.2,0.1,0.0,0.0,0.1
Coby,Fleener,W (Jan 10),1.0,5,4.79,37%,259,259,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.6,26.1,0.1,0.0,0.0,0.0
Vernon,Davis,W (Jan 10),1.0,5,4.16,5%,267,267,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.0,22.5,0.2,0.0,0.0,0.0
O.J.,Howard,W (Jan 10),1.0,1,3.94,12%,272,272,0.0,0.0,0.0,0.0,0.0,0.0,3.3,2.3,19.2,0.1,0.0,0.0,0.0
Luke,Willson,W (Jan 10),1.0,6,3.81,0%,274,274,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.9,22.6,0.1,0.0,0.0,0.0
Marcedes,Lewis,W (Jan 10),1.0,8,3.73,2%,275,275,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.3,19.9,0.1,0.0,0.0,0.0
Gerald,Everett,W (Jan 10),1.0,8,3.63,0%,276,276,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.8,19.1,0.1,0.0,0.0,0.0
Jonnu,Smith,W (Jan 10),1.0,8,3.43,1%,279,279,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.6,19.8,0.1,0.0,0.0,0.0
Josh,Hill,W (Jan 10),1.0,5,3.31,0%,284,284,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6,16.1,0.2,0.0,0.0,0.0
Dwayne,Allen,W (Jan 10),1.0,9,3.27,3%,288,288,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.4,15.3,0.2,0.0,0.0,0.0
Virgil,Green,W (Jan 10),1.0,5,3.17,0%,290,290,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.8,18.8,0.1,0.0,0.0,0.0
Vance,McDonald,W (Jan 10),1.0,9,2.99,1%,295,295,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.3,14.6,0.1,0.0,0.0,0.0
Richard,Rodgers,W (Jan 10),1.0,8,2.45,0%,302,302,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.4,14.0,0.1,0.0,0.0,0.0
Jeff,Heuerman,W (Jan 10),1.0,5,2.34,0%,305,305,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,14.0,0.1,0.0,0.0,0.0
Dion,Sims,W (Jan 10),1.0,9,2.26,0%,308,308,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,11.8,0.1,0.0,0.0,0.0
Adam,Shaheen,W (Jan 10),1.0,9,2.05,0%,312,312,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,11.1,0.1,0.0,0.0,0.0
C.J.,Uzomah,W (Jan 10),1.0,6,1.98,0%,316,316,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,10.8,0.1,0.0,0.0,0.0
Nick,Boyle,W (Jan 10),1.0,10,1.82,0%,318,318,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,10.2,0.1,0.0,0.0,0.0
Garrett,Celek,W (Jan 10),1.0,11,1.67,0%,323,323,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.8,9.7,0.1,0.0,0.0,0.0
