Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
1,Aaron Rodgers,QB,3,GB,CIN,25.0,38.8,64.1,278.5,7.1,2.2,0.7,91.6,3.7,12.3,3.0,0.1,20.17
2,Derek Carr,QB,3,OAK,WAS,21.6,35.9,61.1,287.5,8.0,2.0,0.7,93.3,2.2,3.4,1.5,0.0,18.24
3,Tom Brady,QB,3,NE,HOU,21.2,36.5,58.3,264.7,7.4,2.2,0.6,88.3,2.4,1.1,0.5,0.0,18.10
4,Matt Ryan,QB,3,ATL,DET,23.2,34.3,67.6,275.4,8.1,2.1,0.7,99.5,2.1,2.0,1.0,0.0,18.02
5,Matthew Stafford,QB,3,DET,ATL,22.4,37.4,59.5,269.0,7.3,1.9,0.9,88.7,2.6,3.3,1.0,0.0,16.69
6,Cam Newton,QB,3,CAR,NO,19.2,34.0,55.9,243.3,7.1,1.6,0.9,85.8,5.3,20.0,4.0,0.1,16.53
7,Kirk Cousins,QB,3,WAS,OAK,23.8,37.2,64.9,268.9,7.3,1.8,0.9,93.2,2.1,6.1,3.0,0.0,16.37
8,Drew Brees,QB,3,NO,CAR,24.7,41.9,59.5,278.5,6.6,1.8,1.0,85.2,1.4,0.8,1.0,0.0,16.22
9,Philip Rivers,QB,3,LAC,KC,21.2,37.2,56.8,265.5,7.2,2.0,1.1,86.1,1.4,1.2,1.0,0.0,16.14
10,Dak Prescott,QB,3,DAL,ARI,21.9,33.5,64.7,237.3,7.0,1.5,0.7,92.4,3.4,18.3,6.0,0.1,16.12
11,Ben Roethlisberger,QB,3,PIT,CHI,22.2,34.9,62.9,260.4,7.4,1.7,0.7,92.6,1.8,1.3,0.5,0.0,15.75
12,Russell Wilson,QB,3,SEA,TEN,20.3,34.5,58.8,240.2,7.1,1.5,0.9,87.9,4.7,21.2,4.2,0.0,15.53
13,Marcus Mariota,QB,3,TEN,SEA,19.1,32.8,57.6,236.0,7.2,1.5,0.9,87.4,3.8,17.7,4.5,0.0,15.21
14,Carson Wentz,QB,3,PHI,NYG,23.1,38.9,59.0,264.5,6.8,1.4,1.0,77.3,3.0,13.5,4.7,0.0,15.13
15,Jameis Winston,QB,3,TB,MIN,21.4,38.3,55.3,240.6,6.3,1.6,1.0,81.1,2.9,9.8,3.3,0.0,14.60
16,Jay Cutler,QB,3,MIA,NYJ,20.0,30.6,64.5,240.3,7.7,1.7,0.9,96.2,1.4,1.3,1.0,0.0,14.54
17,Andy Dalton,QB,3,CIN,GB,21.1,34.3,61.8,242.3,7.1,1.5,1.0,90.6,2.9,8.0,2.7,0.0,14.29
18,Alex Smith,QB,3,KC,LAC,20.2,32.6,60.6,228.0,6.9,1.4,0.7,78.9,2.8,10.6,3.7,0.0,14.18
19,Trevor Siemian,QB,3,DEN,BUF,17.5,29.2,62.1,233.7,8.1,1.5,1.0,96.1,2.3,9.3,4.5,0.0,14.08
20,Deshone Kizer,QB,3,CLE,IND,19.2,34.1,55.9,219.6,6.5,1.2,0.9,73.2,4.3,19.8,5.0,0.1,13.96
21,Carson Palmer,QB,3,ARI,DAL,22.4,39.9,55.0,254.3,6.4,1.5,1.0,80.6,1.3,0.9,1.0,0.0,13.86
22,Jacoby Brissett,QB,3,IND,CLE,15.1,25.2,60.0,201.4,8.0,1.2,0.9,82.3,3.2,13.7,4.7,0.1,12.83
23,Tyrod Taylor,QB,3,BUF,DEN,16.1,27.9,57.1,179.1,6.4,1.0,0.8,73.4,6.2,29.8,5.0,0.1,12.74
24,Jared Goff,QB,3,LAR,SF,18.1,31.8,56.2,220.8,6.9,1.3,0.9,75.1,1.7,2.8,1.5,0.0,12.31
25,Joe Flacco,QB,3,BAL,JAX,17.2,28.6,58.6,228.7,7.9,1.3,1.1,81.0,1.5,1.3,0.5,0.0,11.88
26,Eli Manning,QB,3,NYG,PHI,22.3,38.5,57.9,239.0,6.3,1.2,1.2,74.3,1.4,1.0,1.0,0.0,11.66
27,Mike Glennon,QB,3,CHI,PIT,22.7,34.4,67.6,230.2,6.8,1.1,1.0,84.2,1.7,1.5,1.0,0.0,11.36
28,Blake Bortles,QB,3,JAX,BAL,16.3,27.1,59.3,217.0,8.0,1.2,1.3,81.9,3.7,5.0,1.2,0.0,10.98
29,Josh McCown,QB,3,NYJ,MIA,15.9,26.5,61.5,212.0,8.2,1.2,1.2,84.1,2.4,2.9,1.5,0.0,10.97
30,Deshaun Watson,QB,3,HOU,NE,13.6,22.7,60.9,181.4,7.9,0.9,1.3,82.0,3.9,23.7,6.0,0.1,10.83
31,Case Keenum,QB,3,MIN,TB,19.3,29.6,63.3,208.9,7.0,1.0,1.0,81.1,1.4,4.2,4.0,0.0,10.58
32,Brian Hoyer,QB,3,SF,LAR,19.2,32.1,59.4,204.7,6.4,1.0,1.0,75.7,1.4,0.9,1.0,0.0,9.88
33,Matt Moore,QB,3,MIA,NYJ,0.8,1.3,100.0,10.3,10.0,0.0,0.0,108.3,0.1,0.3,0.0,0.0,0.44
34,Tom Savage,QB,3,HOU,NE,0.7,1.2,100.0,9.5,10.0,0.0,0.0,108.3,0.1,0.5,0.0,0.0,0.43
35,Ryan Fitzpatrick,QB,3,TB,MIN,0.7,1.2,100.0,9.2,9.0,0.0,0.0,104.2,0.1,0.5,0.0,0.0,0.42
36,AJ McCarron,QB,3,CIN,GB,0.7,1.1,100.0,9.1,9.0,0.0,0.0,104.2,0.1,0.3,0.0,0.0,0.39
37,Nick Foles,QB,3,PHI,NYG,0.7,1.1,100.0,8.8,9.0,0.0,0.0,104.2,0.0,0.1,0.0,0.0,0.36
38,Mitch Trubisky,QB,3,CHI,PIT,0.6,1.0,100.0,7.8,8.0,0.0,0.0,100.0,0.1,0.3,0.0,0.0,0.34
39,Landry Jones,QB,3,PIT,CHI,0.5,0.9,100.0,7.0,7.0,0.0,0.0,95.8,0.1,0.4,0.0,0.0,0.32
40,Matt Cassel,QB,3,TEN,SEA,0.5,0.9,100.0,7.2,7.0,0.0,0.0,95.8,0.1,0.3,0.0,0.0,0.32
41,Kellen Moore,QB,3,DAL,ARI,0.5,0.9,100.0,7.2,7.0,0.0,0.0,95.8,0.1,0.3,0.0,0.0,0.32
42,Jimmy Garoppolo,QB,3,NE,HOU,0.5,0.8,0.0,6.3,6.0,0.0,0.0,52.1,0.1,0.5,0.0,0.0,0.30
43,Sean Mannion,QB,3,LAR,SF,0.5,0.8,0.0,6.5,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.29
44,Kevin Hogan,QB,3,CLE,IND,0.5,0.8,0.0,6.1,6.0,0.0,0.0,52.1,0.1,0.5,0.0,0.0,0.29
45,Austin Davis,QB,3,SEA,TEN,0.5,0.8,0.0,6.7,7.0,0.0,0.0,56.3,0.1,0.2,0.0,0.0,0.29
46,Patrick Mahomes,QB,3,KC,LAC,0.5,0.8,0.0,6.5,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.29
47,Colt McCoy,QB,3,WAS,OAK,0.5,0.8,0.0,6.5,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.29
48,Drew Stanton,QB,3,ARI,DAL,0.5,0.8,0.0,6.5,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.29
49,Geno Smith,QB,3,NYG,PHI,0.4,0.7,0.0,5.8,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.26
50,EJ Manuel,QB,3,OAK,WAS,0.4,0.7,0.0,5.4,5.0,0.0,0.0,47.9,0.1,0.3,0.0,0.0,0.25
