Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
40,Virgil Green,TE,17,DEN,KC,2.1,1.3,50.0,13.5,0.1,0.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,1.95
41,Nick O'Leary,TE,17,BUF,MIA,1.8,1.0,50.0,12.7,0.1,0.0,6.5,13.0,0.0,0.0,0.0,0.0,0.0,1.87
42,Austin Traylor,TE,17,DEN,KC,1.3,1.0,100.0,12.5,0.1,0.0,12.0,12.0,0.0,0.2,0.0,0.0,0.0,1.87
43,Brent Celek,TE,17,PHI,DAL,1.9,1.1,50.0,12.2,0.1,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.82
44,Nick Boyle,TE,17,BAL,CIN,2.3,1.3,50.0,11.8,0.1,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.78
45,Derek Carrier,TE,17,LAR,SF,1.7,1.1,50.0,11.8,0.1,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,1.78
46,Tyler Higbee,TE,17,LAR,SF,1.5,1.1,100.0,11.7,0.1,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.77
47,Jeff Heuerman,TE,17,DEN,KC,1.4,1.0,100.0,11.4,0.1,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.74
48,Eric Tomlinson,TE,17,NYJ,NE,1.5,1.0,50.0,10.7,0.1,0.0,5.5,11.0,0.0,0.2,0.0,0.0,0.0,1.69
49,Anthony Fasano,TE,17,MIA,BUF,1.9,1.1,50.0,10.3,0.1,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.63
50,MarQueis Gray,TE,17,MIA,BUF,1.6,0.9,50.0,10.2,0.1,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,1.62
