Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Stephen Gostkowski,K,5,NE,TB,2.0,2.1,100.0,0.0,3.2,3.2,9.20
2,Jake Elliott,K,5,PHI,ARI,2.2,2.4,100.0,0.0,2.1,2.1,8.70
3,Chris Boswell,K,5,PIT,JAX,2.0,2.1,100.0,0.0,2.6,2.6,8.60
4,Adam Vinatieri,K,5,IND,SF,1.9,2.0,100.0,0.0,2.3,2.3,8.00
5,Kai Forbath,K,5,MIN,CHI,1.8,1.9,100.0,0.0,2.4,2.4,7.80
6,Justin Tucker,K,5,BAL,OAK,1.9,2.0,100.0,0.0,2.0,2.0,7.70
7,Graham Gano,K,5,CAR,DET,1.9,2.0,100.0,0.0,1.8,1.8,7.50
8,Ryan Succop,K,5,TEN,MIA,1.6,1.7,100.0,0.0,2.7,2.7,7.50
9,Blair Walsh,K,5,SEA,LAR,1.6,1.8,100.0,0.0,2.6,2.6,7.40
10,Robbie Gould,K,5,SF,IND,1.7,1.8,100.0,0.0,2.1,2.1,7.20
11,Greg Zuerlein,K,5,LAR,SEA,1.7,1.8,100.0,0.0,2.0,2.0,7.10
12,Dan Bailey,K,5,DAL,GB,1.4,1.5,50.0,0.0,2.9,2.9,7.10
13,Harrison Butker,K,5,KC,HOU,1.5,1.7,100.0,0.0,2.6,2.6,7.10
14,Chandler Catanzaro,K,5,NYJ,CLE,1.6,1.8,100.0,0.0,2.1,2.1,6.90
15,Aldrick Rosas,K,5,NYG,LAC,1.5,1.6,100.0,0.0,2.4,2.4,6.90
16,Zane Gonzalez,K,5,CLE,NYJ,1.7,1.8,100.0,0.0,1.7,1.7,6.80
17,Randy Bullock,K,5,CIN,BUF,1.6,1.7,100.0,0.0,1.9,1.9,6.70
18,Nick Folk,K,5,TB,NE,1.4,1.6,50.0,0.0,2.4,2.4,6.60
19,Cody Parkey,K,5,MIA,TEN,1.5,1.6,100.0,0.0,2.1,2.1,6.60
20,Mason Crosby,K,5,GB,DAL,1.1,1.2,100.0,0.0,3.1,3.1,6.40
21,Giorgio Tavecchio,K,5,OAK,BAL,1.4,1.5,50.0,0.0,2.1,2.1,6.30
22,Matt Prater,K,5,DET,CAR,1.4,1.5,50.0,0.0,2.0,2.0,6.20
23,Jason Myers,K,5,JAX,PIT,1.4,1.5,50.0,0.0,2.0,2.0,6.20
24,Steven Hauschka,K,5,BUF,CIN,1.4,1.5,50.0,0.0,1.9,1.9,6.10
25,Phil Dawson,K,5,ARI,PHI,1.3,1.5,50.0,0.0,1.6,1.6,5.50
26,Connor Barth,K,5,CHI,MIN,1.2,1.3,100.0,0.0,1.6,1.6,5.20
27,Ka'imi Fairbairn,K,5,HOU,KC,1.1,1.2,100.0,0.0,1.7,1.7,5.00
28,Nick Novak,K,5,LAC,NYG,1.0,1.1,100.0,0.0,2.0,2.0,5.00
29,Caleb Sturgis,K,5,PHI,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.00
30,Sebastian Janikowski,K,5,OAK,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.00
