Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Stephen Gostkowski,K,10,NE,DEN,2.3,2.4,100.0,0.0,2.9,2.9,9.80
2,Greg Zuerlein,K,10,LAR,HOU,2.1,2.2,100.0,0.0,3.2,3.2,9.50
3,Chris Boswell,K,10,PIT,IND,2.1,2.1,100.0,0.0,2.9,2.9,9.20
4,Matt Prater,K,10,DET,CLE,2.0,2.1,100.0,0.0,2.8,2.8,8.80
5,Ryan Succop,K,10,TEN,CIN,2.0,2.1,100.0,0.0,2.4,2.4,8.40
6,Matt Bryant,K,10,ATL,DAL,2.0,2.1,100.0,0.0,2.4,2.4,8.40
7,Kai Forbath,K,10,MIN,WAS,2.0,2.1,100.0,0.0,2.3,2.3,8.30
8,Steven Hauschka,K,10,BUF,NO,1.9,2.0,100.0,0.0,2.4,2.4,8.10
9,Josh Lambo,K,10,JAX,LAC,2.0,2.1,100.0,0.0,2.1,2.1,8.10
10,Graham Gano,K,10,CAR,MIA,1.8,1.9,100.0,0.0,2.6,2.6,8.00
11,Wil Lutz,K,10,NO,BUF,1.7,1.8,100.0,0.0,2.8,2.8,7.90
12,Mike Nugent,K,10,DAL,ATL,1.8,1.9,100.0,0.0,2.5,2.5,7.90
13,Chandler Catanzaro,K,10,NYJ,TB,1.9,2.0,100.0,0.0,2.1,2.1,7.80
14,Brandon McManus,K,10,DEN,NE,1.8,1.9,100.0,0.0,1.9,1.9,7.30
15,Nick Rose,K,10,WAS,MIN,1.5,1.6,100.0,0.0,2.2,2.2,6.70
16,Adam Vinatieri,K,10,IND,PIT,1.5,1.5,100.0,0.0,2.0,2.0,6.50
17,Blair Walsh,K,10,SEA,ARI,1.3,1.5,50.0,0.0,2.5,2.5,6.40
18,Ka'imi Fairbairn,K,10,HOU,LAR,1.5,1.5,100.0,0.0,1.8,1.8,6.30
19,Aldrick Rosas,K,10,NYG,SF,1.4,1.5,50.0,0.0,2.1,2.1,6.30
20,Nick Novak,K,10,LAC,JAX,1.4,1.5,50.0,0.0,1.9,1.9,6.10
21,Robbie Gould,K,10,SF,NYG,1.4,1.4,100.0,0.0,1.6,1.6,5.80
22,Mason Crosby,K,10,GB,CHI,1.2,1.3,100.0,0.0,1.8,1.8,5.40
23,Connor Barth,K,10,CHI,GB,1.1,1.2,100.0,0.0,2.0,2.0,5.30
24,Randy Bullock,K,10,CIN,TEN,1.1,1.2,100.0,0.0,1.9,1.9,5.20
25,Patrick Murray,K,10,TB,NYJ,1.1,1.2,100.0,0.0,1.9,1.9,5.20
26,Zane Gonzalez,K,10,CLE,DET,1.0,1.2,100.0,0.0,1.7,1.7,4.70
27,Cody Parkey,K,10,MIA,CAR,1.0,1.1,100.0,0.0,1.6,1.6,4.60
28,Phil Dawson,K,10,ARI,SEA,1.0,1.1,100.0,0.0,1.5,1.5,4.50
29,Nick Folk,K,10,TB,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.00
30,Dustin Hopkins,K,10,WAS,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.00
31,Dan Bailey,K,10,DAL,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.00
