Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,16,PIT,HOU,20.4,94.3,4.7,0.7,7.9,5.4,46.0,0.2,0.0,0.0,19.43
2,Ezekiel Elliott,RB,16,DAL,SEA,20.6,90.5,4.3,0.8,3.1,2.3,18.4,0.1,0.0,0.0,16.29
3,Todd Gurley,RB,16,LAR,TEN,18.2,76.1,4.2,0.7,5.0,3.7,33.9,0.1,0.0,0.0,15.80
4,Mark Ingram,RB,16,NO,ATL,15.4,74.0,4.9,0.8,4.9,3.6,26.1,0.1,0.0,0.0,15.41
5,Leonard Fournette,RB,16,JAX,SF,19.7,81.0,4.0,0.7,3.7,2.5,17.7,0.1,0.0,0.0,14.67
6,Alvin Kamara,RB,16,NO,ATL,9.4,51.9,5.8,0.5,7.5,5.7,52.1,0.2,0.0,0.0,14.60
7,Melvin Gordon,RB,16,LAC,NYJ,19.4,76.5,4.0,0.5,5.2,3.5,28.6,0.1,0.0,0.0,14.11
8,Kareem Hunt,RB,16,KC,MIA,15.6,75.9,4.8,0.5,3.9,2.8,24.2,0.1,0.0,0.0,13.61
9,LeSean McCoy,RB,16,BUF,NE,15.8,74.1,4.6,0.4,5.2,3.8,26.9,0.1,0.0,0.0,13.10
10,Jordan Howard,RB,16,CHI,CLE,18.8,78.0,4.1,0.6,1.8,1.3,10.8,0.0,0.0,0.0,12.48
11,Devonta Freeman,RB,16,ATL,NO,14.3,65.9,4.7,0.5,3.5,2.6,22.4,0.1,0.0,0.0,12.43
12,Dion Lewis,RB,16,NE,BUF,14.8,69.5,4.7,0.4,4.2,2.9,22.0,0.1,0.0,0.0,12.15
13,Kenyan Drake,RB,16,MIA,KC,16.6,66.3,3.9,0.3,6.1,4.1,29.9,0.1,0.0,0.0,12.02
14,Alex Collins,RB,16,BAL,IND,15.6,72.6,4.6,0.5,2.5,1.8,14.2,0.0,0.0,0.0,11.68
15,Christian McCaffrey,RB,16,CAR,TB,8.6,36.2,4.0,0.2,7.7,5.5,44.0,0.3,0.0,0.0,11.02
16,Latavius Murray,RB,16,MIN,GB,15.1,61.1,4.1,0.6,1.6,1.2,9.9,0.0,0.0,0.0,10.70
17,Joe Mixon,RB,16,CIN,DET,13.6,55.2,3.9,0.4,3.4,2.4,19.3,0.1,0.0,0.0,10.45
18,Jay Ajayi,RB,16,PHI,OAK,14.2,64.1,4.6,0.4,2.3,1.7,13.1,0.0,0.0,0.0,10.12
19,Lamar Miller,RB,16,HOU,PIT,15.1,57.8,3.9,0.3,3.2,2.3,17.1,0.1,0.0,0.0,9.89
20,Carlos Hyde,RB,16,SF,JAX,13.1,51.8,4.0,0.3,4.5,3.2,21.3,0.1,0.0,0.0,9.71
21,Jamaal Williams,RB,16,GB,MIN,12.9,48.4,3.7,0.4,2.8,2.1,17.5,0.1,0.0,0.0,9.59
22,Jonathan Stewart,RB,16,CAR,TB,14.3,61.7,4.4,0.5,0.7,0.5,3.6,0.0,0.0,0.0,9.53
23,DeMarco Murray,RB,16,TEN,LAR,11.5,47.7,4.0,0.4,3.4,2.6,17.4,0.1,0.0,0.0,9.51
24,CJ Anderson,RB,16,DEN,WAS,15.6,63.9,4.0,0.3,2.0,1.4,10.6,0.0,0.0,0.0,9.25
25,Marshawn Lynch,RB,16,OAK,PHI,13.5,51.0,3.6,0.4,2.8,2.0,14.7,0.0,0.0,0.0,8.97
26,Kapri Bibbs,RB,16,WAS,DEN,12.4,44.2,3.7,0.3,3.3,2.5,20.9,0.1,0.0,0.0,8.91
27,Theo Riddick,RB,16,DET,CIN,7.6,29.4,3.6,0.2,6.2,4.2,33.0,0.2,0.0,0.0,8.64
28,Jerick McKinnon,RB,16,MIN,GB,10.9,39.4,3.5,0.2,5.5,3.7,28.0,0.1,0.0,0.0,8.54
29,Mike Davis,RB,16,SEA,DAL,14.4,53.6,3.9,0.3,2.5,1.7,12.9,0.0,0.0,0.0,8.45
30,Bilal Powell,RB,16,NYJ,LAC,11.9,51.7,4.3,0.3,2.6,1.8,12.8,0.0,0.0,0.0,8.25
31,Isaiah Crowell,RB,16,CLE,CHI,14.5,56.6,4.1,0.2,2.5,1.7,11.2,0.0,0.0,0.0,7.98
32,Frank Gore,RB,16,IND,BAL,15.4,54.7,3.7,0.2,2.4,1.8,12.4,0.0,0.0,0.0,7.91
33,Peyton Barber,RB,16,TB,CAR,12.8,49.0,3.8,0.3,2.0,1.5,10.9,0.0,0.0,0.0,7.79
34,Tevin Coleman,RB,16,ATL,NO,8.5,36.8,4.6,0.3,1.9,1.4,13.0,0.1,0.0,0.0,7.38
35,Duke Johnson,RB,16,CLE,CHI,6.4,25.1,4.2,0.1,5.7,4.2,35.6,0.1,0.0,0.0,7.27
36,Derrick Henry,RB,16,TEN,LAR,10.4,45.7,4.6,0.3,1.5,1.0,8.0,0.0,0.0,0.0,7.17
37,Kerwynn Williams,RB,16,ARI,NYG,12.2,48.5,4.0,0.2,1.6,1.2,9.6,0.0,0.0,0.0,7.01
38,Wayne Gallman,RB,16,NYG,ARI,10.1,37.2,3.7,0.2,3.0,2.1,15.8,0.0,0.0,0.0,6.50
39,Danny Woodhead,RB,16,BAL,IND,3.6,13.7,3.5,0.1,5.4,3.9,31.6,0.2,0.0,0.0,6.33
40,Mike Gillislee,RB,16,NE,BUF,8.5,33.8,4.2,0.4,0.7,0.5,3.6,0.0,0.0,0.0,6.14
41,Samaje Perine,RB,16,WAS,DEN,10.2,37.5,3.8,0.2,1.7,1.3,9.4,0.0,0.0,0.0,5.89
42,Tarik Cohen,RB,16,CHI,CLE,5.4,21.8,4.4,0.1,4.1,3.0,23.7,0.1,0.0,0.0,5.75
43,Javorius Allen,RB,16,BAL,IND,8.2,25.5,3.2,0.3,1.9,1.4,9.1,0.1,0.1,0.1,5.66
44,Matt Forte,RB,16,NYJ,LAC,7.7,28.2,3.5,0.1,3.0,2.1,15.9,0.1,0.0,0.0,5.61
45,Tion Green,RB,16,DET,CIN,8.8,32.1,3.6,0.3,1.5,1.1,5.7,0.0,0.0,0.0,5.58
46,Orleans Darkwa,RB,16,NYG,ARI,9.2,33.3,3.7,0.2,1.7,1.2,8.4,0.0,0.0,0.0,5.37
47,LeGarrette Blount,RB,16,PHI,OAK,8.1,33.4,4.1,0.3,0.3,0.2,1.6,0.0,0.0,0.0,5.30
48,JD McKissic,RB,16,SEA,DAL,3.6,16.5,4.0,0.1,5.4,3.2,26.3,0.1,0.1,0.1,5.28
49,Devontae Booker,RB,16,DEN,WAS,6.2,24.3,4.0,0.1,2.9,2.0,15.3,0.1,0.0,0.0,5.16
50,Giovani Bernard,RB,16,CIN,DET,5.9,22.3,3.7,0.1,2.5,1.9,16.6,0.1,0.0,0.0,5.09
