Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Chris Boswell,K,16,PIT,HOU,2.4,2.5,100.0,0.0,2.5,2.5,9.70
2,Stephen Gostkowski,K,16,NE,BUF,2.1,2.2,100.0,0.0,3.3,3.3,9.60
3,Wil Lutz,K,16,NO,ATL,1.9,2.1,100.0,0.0,3.2,3.2,8.90
4,Justin Tucker,K,16,BAL,IND,2.1,2.2,100.0,0.0,2.4,2.4,8.70
5,Matt Bryant,K,16,ATL,NO,2.0,2.0,100.0,0.0,2.6,2.6,8.60
6,Kai Forbath,K,16,MIN,GB,2.0,2.1,100.0,0.0,2.5,2.5,8.50
7,Jake Elliott,K,16,PHI,OAK,1.9,2.0,100.0,0.0,2.8,2.8,8.50
8,Harrison Butker,K,16,KC,MIA,2.0,2.1,100.0,0.0,2.5,2.5,8.50
9,Matt Prater,K,16,DET,CIN,2.0,2.1,100.0,0.0,2.3,2.3,8.30
10,Graham Gano,K,16,CAR,TB,1.9,2.0,100.0,0.0,2.5,2.5,8.20
11,Phil Dawson,K,16,ARI,NYG,2.0,2.2,100.0,0.0,2.2,2.2,8.20
12,Josh Lambo,K,16,JAX,SF,1.9,2.1,100.0,0.0,2.4,2.4,8.10
13,Dustin Hopkins,K,16,WAS,DEN,1.8,1.9,100.0,0.0,2.4,2.4,7.80
14,Robbie Gould,K,16,SF,JAX,2.1,2.2,100.0,0.0,1.5,1.5,7.80
15,Ryan Succop,K,16,TEN,LAR,1.7,1.8,100.0,0.0,2.2,2.2,7.30
16,Ka'imi Fairbairn,K,16,HOU,PIT,1.8,1.9,100.0,0.0,1.9,1.9,7.30
17,Blair Walsh,K,16,SEA,DAL,1.6,1.8,100.0,0.0,2.3,2.3,7.10
18,Adam Vinatieri,K,16,IND,BAL,1.7,1.8,100.0,0.0,1.9,1.9,7.00
19,Dan Bailey,K,16,DAL,SEA,1.4,1.5,50.0,0.0,2.8,2.8,7.00
20,Steven Hauschka,K,16,BUF,NE,1.7,1.8,100.0,0.0,1.8,1.8,6.90
21,Nick Rose,K,16,LAC,NYJ,1.4,1.4,100.0,0.0,2.5,2.5,6.70
22,Brandon McManus,K,16,DEN,WAS,1.6,1.8,100.0,0.0,1.8,1.8,6.60
23,Mason Crosby,K,16,GB,MIN,1.4,1.5,50.0,0.0,2.2,2.2,6.40
24,Mike Nugent,K,16,CHI,CLE,1.4,1.6,50.0,0.0,2.0,2.0,6.20
25,Cody Parkey,K,16,MIA,KC,1.3,1.4,100.0,0.0,2.1,2.1,6.00
26,Patrick Murray,K,16,TB,CAR,1.2,1.3,100.0,0.0,1.9,1.9,5.50
27,Chandler Catanzaro,K,16,NYJ,LAC,1.2,1.4,100.0,0.0,1.8,1.8,5.40
28,Randy Bullock,K,16,CIN,DET,1.1,1.2,100.0,0.0,2.0,2.0,5.30
29,Giorgio Tavecchio,K,16,OAK,PHI,1.1,1.1,100.0,0.0,1.9,1.9,5.20
30,Aldrick Rosas,K,16,NYG,ARI,1.1,1.2,100.0,0.0,1.8,1.8,5.10
31,Zane Gonzalez,K,16,CLE,CHI,1.1,1.2,100.0,0.0,1.7,1.7,5.00
32,Nick Folk,K,16,TB,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.00
33,Greg Zuerlein,K,16,LAR,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.00
34,Sebastian Janikowski,K,16,OAK,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.00
35,Caleb Sturgis,K,16,PHI,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.00
36,Nick Novak,K,16,LAC,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.00
37,Cairo Santos,K,16,CHI,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.00
