Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,14,PIT,BAL,20.0,86.1,4.3,0.5,6.9,4.7,36.3,0.2,0.0,0.0,16.44
2,Mark Ingram,RB,14,NO,ATL,15.2,73.4,4.9,0.7,4.5,3.3,22.8,0.1,0.0,0.0,14.42
3,Todd Gurley,RB,14,LAR,PHI,16.6,68.4,4.0,0.6,4.9,3.6,31.7,0.1,0.0,0.0,14.21
4,Alvin Kamara,RB,14,NO,ATL,9.6,49.3,4.9,0.4,7.6,5.8,50.5,0.3,0.0,0.0,14.18
5,LeSean McCoy,RB,14,BUF,IND,17.9,78.9,4.4,0.5,4.8,3.5,25.2,0.1,0.0,0.0,14.01
6,Melvin Gordon,RB,14,LAC,WAS,17.9,75.0,4.2,0.5,4.6,3.1,24.6,0.1,0.0,0.0,13.56
7,Leonard Fournette,RB,14,JAX,SEA,18.0,71.6,4.0,0.5,3.1,2.1,15.9,0.1,0.0,0.0,12.35
8,Carlos Hyde,RB,14,SF,HOU,14.2,59.0,4.2,0.5,5.0,3.6,26.0,0.1,0.0,0.0,12.10
9,Devonta Freeman,RB,14,ATL,NO,13.5,62.2,4.4,0.5,3.4,2.5,21.9,0.1,0.0,0.0,12.01
10,Lamar Miller,RB,14,HOU,SF,17.7,69.0,3.8,0.4,3.9,2.8,20.0,0.1,0.0,0.0,11.90
11,Dion Lewis,RB,14,NE,MIA,13.2,65.9,5.1,0.5,2.0,1.4,11.4,0.1,0.0,0.0,11.33
12,Giovani Bernard,RB,14,CIN,CHI,15.7,62.2,3.9,0.3,4.0,3.0,25.8,0.1,0.0,0.0,11.20
13,Kareem Hunt,RB,14,KC,OAK,13.9,60.3,4.3,0.3,3.7,2.6,23.2,0.1,0.0,0.0,10.75
14,Alfred Morris,RB,14,DAL,NYG,15.5,69.9,4.4,0.5,1.1,0.8,5.2,0.0,0.0,0.0,10.51
15,Marshawn Lynch,RB,14,OAK,KC,14.9,60.5,4.0,0.5,2.6,1.9,14.5,0.0,0.0,0.0,10.50
16,Jordan Howard,RB,14,CHI,CIN,17.1,71.6,4.2,0.4,1.6,1.2,8.7,0.0,0.0,0.0,10.43
17,Kenyan Drake,RB,14,MIA,NE,13.9,59.9,4.3,0.2,5.3,3.6,25.0,0.1,0.0,0.0,10.29
18,Samaje Perine,RB,14,WAS,LAC,15.5,66.1,4.1,0.3,2.9,2.2,16.9,0.0,0.0,0.0,10.10
19,Christian McCaffrey,RB,14,CAR,MIN,8.4,27.8,3.5,0.2,7.8,5.6,42.3,0.3,0.0,0.0,10.01
20,Jamaal Williams,RB,14,GB,CLE,12.3,51.0,4.2,0.4,2.5,1.9,15.8,0.1,0.0,0.0,9.68
21,Rex Burkhead,RB,14,NE,MIA,8.1,40.4,5.0,0.3,4.3,3.0,25.7,0.2,0.0,0.0,9.61
22,Latavius Murray,RB,14,MIN,CAR,13.1,55.1,4.2,0.5,1.5,1.1,8.4,0.0,0.0,0.0,9.35
23,DeMarco Murray,RB,14,TEN,ARI,11.8,43.2,3.6,0.4,3.4,2.6,18.3,0.1,0.0,0.0,9.15
24,Alex Collins,RB,14,BAL,PIT,13.0,56.7,4.4,0.3,2.3,1.7,11.9,0.0,0.0,0.0,8.66
25,Isaiah Crowell,RB,14,CLE,GB,14.5,57.1,4.1,0.3,2.4,1.6,11.4,0.0,0.0,0.0,8.65
26,Frank Gore,RB,14,IND,BUF,13.7,54.9,3.9,0.3,2.3,1.7,11.4,0.0,0.0,0.0,8.43
27,Orleans Darkwa,RB,14,NYG,DAL,13.0,53.7,4.2,0.3,2.3,1.6,11.9,0.0,0.0,0.0,8.36
28,Derrick Henry,RB,14,TEN,ARI,11.2,47.8,4.4,0.4,1.5,1.0,7.8,0.0,0.0,0.0,7.96
29,Jerick McKinnon,RB,14,MIN,CAR,10.4,39.7,4.0,0.2,4.9,3.3,21.7,0.1,0.0,0.0,7.94
30,Kerwynn Williams,RB,14,ARI,TEN,12.5,48.8,4.1,0.3,2.0,1.5,11.0,0.0,0.0,0.0,7.78
31,Jay Ajayi,RB,14,PHI,LAR,10.3,48.4,4.8,0.3,2.2,1.6,11.2,0.0,0.0,0.0,7.76
32,Mike Davis,RB,14,SEA,JAX,12.5,46.4,3.8,0.3,2.4,1.6,11.7,0.0,0.0,0.0,7.61
33,Doug Martin,RB,14,TB,DET,11.9,49.9,4.2,0.3,1.3,0.9,7.4,0.0,0.0,0.0,7.53
34,Tevin Coleman,RB,14,ATL,NO,7.8,36.1,4.5,0.3,1.9,1.4,12.9,0.1,0.0,0.0,7.30
35,Matt Forte,RB,14,NYJ,DEN,8.8,34.0,3.8,0.2,3.5,2.4,20.4,0.1,0.0,0.0,7.24
36,Theo Riddick,RB,14,DET,TB,5.6,24.0,4.0,0.1,5.5,3.7,29.0,0.2,0.0,0.0,7.10
37,Duke Johnson,RB,14,CLE,GB,6.2,24.3,4.0,0.1,5.3,3.9,33.6,0.1,0.0,0.0,6.99
38,CJ Anderson,RB,14,DEN,NYJ,12.7,46.9,3.6,0.2,2.3,1.6,10.6,0.0,0.0,0.0,6.95
39,LeGarrette Blount,RB,14,PHI,LAR,10.7,48.8,4.5,0.3,0.6,0.4,2.2,0.0,0.0,0.0,6.90
40,Tion Green,RB,14,DET,TB,8.9,35.2,3.9,0.4,2.4,1.8,9.6,0.0,0.0,0.0,6.88
41,Rod Smith,RB,14,DAL,NYG,9.2,38.2,4.2,0.3,1.8,1.4,9.8,0.0,0.0,0.0,6.60
42,Jonathan Stewart,RB,14,CAR,MIN,11.9,42.7,3.6,0.3,0.7,0.5,3.7,0.0,0.0,0.0,6.44
43,Marlon Mack,RB,14,IND,BUF,7.5,30.1,3.8,0.2,2.8,1.9,14.5,0.1,0.0,0.0,6.26
