Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,Antonio Brown,WR,3,PIT,CHI,11.1,6.8,63.6,93.7,0.6,0.0,8.5,13.4,0.2,0.9,0.0,0.0,0.0,13.06
2,Julio Jones,WR,3,ATL,DET,8.6,6.0,66.7,90.5,0.5,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,12.05
3,AJ Green,WR,3,CIN,GB,9.0,6.3,66.7,89.2,0.5,0.0,9.9,14.8,0.0,0.0,0.0,0.0,0.0,11.92
4,Amari Cooper,WR,3,OAK,WAS,7.8,5.6,75.0,77.0,0.5,0.0,9.6,12.8,0.2,0.9,0.0,0.0,0.0,10.79
5,Michael Crabtree,WR,3,OAK,WAS,8.7,5.7,66.7,70.9,0.6,0.0,7.9,11.8,0.0,0.0,0.0,0.0,0.0,10.69
6,Mike Evans,WR,3,TB,MIN,8.4,5.6,75.0,76.2,0.5,0.0,9.5,12.7,0.0,0.0,0.0,0.0,0.0,10.62
7,Jordy Nelson,WR,3,GB,CIN,9.4,5.4,55.6,70.0,0.6,0.0,7.8,14.0,0.0,0.0,0.0,0.0,0.0,10.60
8,Tyreek Hill,WR,3,KC,LAC,7.9,5.6,75.0,62.4,0.4,0.0,7.8,10.3,1.9,9.2,0.1,0.1,0.1,9.96
9,Doug Baldwin,WR,3,SEA,TEN,9.6,6.1,60.0,74.1,0.4,0.0,7.4,12.3,0.2,0.9,0.0,0.0,0.0,9.90
10,Keenan Allen,WR,3,LAC,KC,10.2,6.0,60.0,69.8,0.5,0.0,7.0,11.7,0.0,0.0,0.0,0.1,0.1,9.78
11,Odell Beckham Jr,WR,3,NYG,PHI,9.9,5.9,60.0,75.4,0.4,0.0,7.5,12.5,0.0,0.1,0.0,0.1,0.1,9.75
12,DeAndre Hopkins,WR,3,HOU,NE,9.0,5.3,55.6,72.1,0.4,0.0,8.0,14.4,0.0,0.0,0.0,0.0,0.0,9.61
13,Michael Thomas,WR,3,NO,CAR,9.2,6.0,66.7,69.6,0.4,0.0,7.8,11.7,0.0,0.0,0.0,0.0,0.0,9.36
14,Demaryius Thomas,WR,3,DEN,BUF,7.9,5.4,62.5,71.0,0.4,0.0,8.9,14.2,0.0,0.0,0.0,0.1,0.1,9.30
15,Alshon Jeffery,WR,3,PHI,NYG,7.4,5.0,71.4,68.9,0.4,0.0,9.9,13.8,0.0,0.0,0.0,0.0,0.0,9.29
16,Dez Bryant,WR,3,DAL,ARI,7.1,4.7,71.4,64.8,0.5,0.0,9.3,13.0,0.0,0.0,0.0,0.1,0.1,9.28
17,Emmanuel Sanders,WR,3,DEN,BUF,7.4,5.1,71.4,68.5,0.4,0.0,9.7,13.6,0.0,0.2,0.0,0.0,0.0,9.27
