Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Mason Crosby,K,4,GB,CHI,1.9,2.0,100.0,0.0,3.0,3.0,8.70
2,Dan Bailey,K,4,DAL,LAR,1.9,2.0,100.0,0.0,2.9,2.9,8.60
3,Blair Walsh,K,4,SEA,IND,1.9,2.0,100.0,0.0,2.7,2.7,8.40
4,Kai Forbath,K,4,MIN,DET,1.9,2.0,100.0,0.0,2.6,2.6,8.30
5,Stephen Gostkowski,K,4,NE,CAR,1.7,1.9,100.0,0.0,3.2,3.2,8.30
6,Matt Bryant,K,4,ATL,BUF,1.7,1.8,100.0,0.0,3.1,3.1,8.20
7,Harrison Butker,K,4,KC,WAS,1.8,1.9,100.0,0.0,2.8,2.8,8.20
8,Wil Lutz,K,4,NO,MIA,1.6,1.7,100.0,0.0,3.0,3.0,7.80
9,Brandon McManus,K,4,DEN,OAK,1.9,2.1,100.0,0.0,2.1,2.1,7.80
10,Jake Elliott,K,4,PHI,LAC,1.9,2.1,100.0,0.0,2.1,2.1,7.80
11,Randy Bullock,K,4,CIN,CLE,1.8,1.9,100.0,0.0,2.3,2.3,7.70
12,Justin Tucker,K,4,BAL,PIT,1.9,2.0,100.0,0.0,1.8,1.8,7.50
13,Phil Dawson,K,4,ARI,SF,1.6,1.8,100.0,0.0,2.7,2.7,7.50
14,Ryan Succop,K,4,TEN,HOU,1.6,1.7,100.0,0.0,2.4,2.4,7.20
15,Cody Parkey,K,4,MIA,NO,1.5,1.6,100.0,0.0,2.7,2.7,7.20
16,Chris Boswell,K,4,PIT,BAL,1.5,1.6,100.0,0.0,2.4,2.4,6.90
17,Jason Myers,K,4,JAX,NYJ,1.6,1.7,100.0,0.0,2.1,2.1,6.90
18,Matt Prater,K,4,DET,MIN,1.6,1.7,100.0,0.0,2.0,2.0,6.80
19,Robbie Gould,K,4,SF,ARI,1.7,1.8,100.0,0.0,1.7,1.7,6.80
20,Ka'imi Fairbairn,K,4,HOU,TEN,1.4,1.5,50.0,0.0,2.0,2.0,6.20
21,Graham Gano,K,4,CAR,NE,1.4,1.5,50.0,0.0,1.9,1.9,6.10
22,Chandler Catanzaro,K,4,NYJ,JAX,1.5,1.7,100.0,0.0,1.6,1.6,6.10
23,Aldrick Rosas,K,4,NYG,TB,1.4,1.5,50.0,0.0,1.9,1.9,6.10
24,Dustin Hopkins,K,4,WAS,KC,1.3,1.4,100.0,0.0,2.2,2.2,6.10
25,Younghoe Koo,K,4,LAC,PHI,1.3,1.5,50.0,0.0,2.1,2.1,6.00
26,Giorgio Tavecchio,K,4,OAK,DEN,1.3,1.4,100.0,0.0,2.0,2.0,5.90
27,Steven Hauschka,K,4,BUF,ATL,1.1,1.2,100.0,0.0,2.3,2.3,5.60
28,Greg Zuerlein,K,4,LAR,DAL,1.2,1.3,100.0,0.0,2.0,2.0,5.60
29,Nick Folk,K,4,TB,NYG,1.1,1.2,100.0,0.0,2.3,2.3,5.60
30,Adam Vinatieri,K,4,IND,SEA,1.1,1.1,100.0,0.0,1.7,1.7,5.00
31,Zane Gonzalez,K,4,CLE,CIN,1.1,1.2,100.0,0.0,1.6,1.6,4.90
32,Connor Barth,K,4,CHI,GB,0.9,1.0,100.0,0.0,2.0,2.0,4.70
33,Caleb Sturgis,K,4,PHI,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.00
34,Sebastian Janikowski,K,4,OAK,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.00
