Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Stephen Gostkowski,K,13,NE,BUF,2.1,2.2,100.0,0.0,3.0,3.0,9.30
2,Wil Lutz,K,13,NO,CAR,2.0,2.1,100.0,0.0,3.0,3.0,9.00
3,Matt Bryant,K,13,ATL,MIN,2.0,2.1,100.0,0.0,2.8,2.8,8.80
4,Josh Lambo,K,13,JAX,IND,2.1,2.2,100.0,0.0,2.5,2.5,8.80
5,Ryan Succop,K,13,TEN,HOU,2.0,2.1,100.0,0.0,2.7,2.7,8.70
6,Greg Zuerlein,K,13,LAR,ARI,2.0,2.1,100.0,0.0,2.5,2.5,8.50
7,Dan Bailey,K,13,DAL,WAS,1.9,1.9,100.0,0.0,2.7,2.7,8.40
8,Jake Elliott,K,13,PHI,SEA,1.9,2.0,100.0,0.0,2.5,2.5,8.20
9,Harrison Butker,K,13,KC,NYJ,2.0,2.0,100.0,0.0,2.1,2.1,8.10
10,Kai Forbath,K,13,MIN,ATL,1.9,2.0,100.0,0.0,2.3,2.3,8.00
11,Matt Prater,K,13,DET,BAL,1.9,1.9,100.0,0.0,2.3,2.3,8.00
12,Chris Boswell,K,13,PIT,CIN,2.0,2.0,100.0,0.0,2.0,2.0,8.00
13,Justin Tucker,K,13,BAL,DET,1.9,2.0,100.0,0.0,2.1,2.1,7.80
14,Brandon McManus,K,13,DEN,MIA,1.9,2.0,100.0,0.0,2.0,2.0,7.70
15,Graham Gano,K,13,CAR,NO,1.8,1.8,100.0,0.0,2.3,2.3,7.70
16,Patrick Murray,K,13,TB,GB,1.9,2.0,100.0,0.0,2.0,2.0,7.70
17,Phil Dawson,K,13,ARI,LAR,1.8,1.9,100.0,0.0,2.1,2.1,7.50
18,Giorgio Tavecchio,K,13,OAK,NYG,1.7,1.9,100.0,0.0,2.4,2.4,7.50
19,Nick Rose,K,13,WAS,DAL,1.7,1.7,100.0,0.0,2.4,2.4,7.50
20,Robbie Gould,K,13,SF,CHI,1.7,1.7,100.0,0.0,1.9,1.9,7.00
21,Mason Crosby,K,13,GB,TB,1.4,1.5,50.0,0.0,2.8,2.8,7.00
22,Steven Hauschka,K,13,BUF,NE,1.6,1.6,100.0,0.0,2.1,2.1,6.90
23,Blair Walsh,K,13,SEA,PHI,1.5,1.7,100.0,0.0,2.3,2.3,6.80
24,Cairo Santos,K,13,CHI,SF,1.6,1.7,100.0,0.0,2.0,2.0,6.80
25,Chandler Catanzaro,K,13,NYJ,KC,1.6,1.7,100.0,0.0,1.9,1.9,6.70
26,Ka'imi Fairbairn,K,13,HOU,TEN,1.6,1.6,100.0,0.0,1.9,1.9,6.70
27,Cody Parkey,K,13,MIA,DEN,1.4,1.5,50.0,0.0,2.0,2.0,6.20
28,Adam Vinatieri,K,13,IND,JAX,1.3,1.3,100.0,0.0,2.0,2.0,5.90
29,Aldrick Rosas,K,13,NYG,OAK,1.1,1.2,100.0,0.0,1.9,1.9,5.20
30,Randy Bullock,K,13,CIN,PIT,1.0,1.1,100.0,0.0,1.9,1.9,4.90
31,Zane Gonzalez,K,13,CLE,LAC,1.0,1.2,100.0,0.0,1.5,1.5,4.50
32,Nick Novak,K,13,LAC,CLE,0.4,0.4,0.0,0.0,0.6,0.6,1.80
33,Dustin Hopkins,K,13,WAS,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.00
34,Nick Folk,K,13,TB,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.00
35,Sebastian Janikowski,K,13,OAK,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.00
36,Caleb Sturgis,K,13,PHI,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.00
