Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
40,Kenny Stills,WR,11,MIA,TB,4.8,3.1,60.0,42.8,0.3,0.0,8.6,14.3,0.0,0.0,0.0,0.0,0.0,6.08
41,Martavis Bryant,WR,11,PIT,TEN,5.3,3.1,60.0,39.4,0.3,0.0,7.8,13.0,0.2,1.1,0.0,0.0,0.0,5.85
42,Bruce Ellington,WR,11,HOU,ARI,4.8,3.2,60.0,39.9,0.3,0.0,8.0,13.3,0.2,0.4,0.0,0.0,0.0,5.83
43,Mike Wallace,WR,11,BAL,GB,4.5,2.9,75.0,39.3,0.3,0.0,9.8,13.0,0.1,0.1,0.0,0.0,0.0,5.74
44,Tyler Lockett,WR,11,SEA,ATL,4.0,2.9,75.0,39.3,0.3,0.0,9.8,13.0,0.7,1.5,0.0,0.1,0.1,5.68
45,Dontrelle Inman,WR,11,CHI,DET,6.4,3.7,66.7,44.0,0.2,0.0,7.3,11.0,0.0,0.0,0.0,0.0,0.0,5.60
46,Sammy Watkins,WR,11,LAR,MIN,3.1,2.3,66.7,37.1,0.3,0.0,12.3,18.5,0.0,0.1,0.0,0.0,0.0,5.52
47,Danny Amendola,WR,11,NE,OAK,5.5,3.2,50.0,36.8,0.3,0.0,6.2,12.3,0.0,0.0,0.0,0.0,0.0,5.48
48,Randall Cobb,WR,11,GB,BAL,6.9,4.0,57.1,39.4,0.2,0.0,5.6,9.8,0.3,2.1,0.0,0.0,0.0,5.35
49,Tyrell Williams,WR,11,LAC,BUF,3.1,2.4,66.7,35.5,0.3,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,5.35
50,Josh Doctson,WR,11,WAS,NO,4.5,2.9,75.0,35.4,0.3,0.0,8.8,11.7,0.0,0.0,0.0,0.0,0.0,5.34
