Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,5,PIT,JAX,20.8,93.6,4.5,0.7,6.3,4.3,32.9,0.2,0.1,0.1,17.85
2,Ezekiel Elliott,RB,5,DAL,GB,20.5,94.7,4.8,0.8,4.3,3.2,27.7,0.1,0.1,0.1,17.44
3,Todd Gurley,RB,5,LAR,SEA,19.6,72.7,3.6,0.6,5.2,3.8,31.6,0.2,0.2,0.2,14.83
4,Kareem Hunt,RB,5,KC,HOU,16.9,76.7,4.5,0.6,4.4,3.1,27.2,0.2,0.2,0.2,14.79
5,LeSean McCoy,RB,5,BUF,CIN,17.4,77.5,4.6,0.4,5.8,4.3,32.4,0.1,0.1,0.1,13.79
6,Jay Ajayi,RB,5,MIA,TEN,18.6,76.3,4.0,0.6,2.3,1.7,11.6,0.1,0.0,0.0,12.99
7,Carlos Hyde,RB,5,SF,IND,15.5,73.1,4.6,0.5,4.5,3.2,23.5,0.1,0.2,0.2,12.86
8,Leonard Fournette,RB,5,JAX,PIT,16.8,71.3,4.2,0.4,4.1,2.8,23.0,0.1,0.1,0.1,12.23
9,DeMarco Murray,RB,5,TEN,MIA,14.6,65.6,4.4,0.5,3.0,2.3,15.8,0.1,0.1,0.1,11.54
10,Bilal Powell,RB,5,NYJ,CLE,14.3,63.7,4.6,0.4,4.6,3.2,23.4,0.1,0.1,0.1,11.51
11,Melvin Gordon,RB,5,LAC,NYG,17.2,65.0,3.8,0.3,5.0,3.4,26.4,0.1,0.2,0.2,11.14
12,Lamar Miller,RB,5,HOU,KC,15.2,62.8,4.2,0.4,3.5,2.5,20.6,0.1,0.1,0.1,11.14
13,Jordan Howard,RB,5,CHI,MIN,15.4,66.8,4.5,0.4,3.2,2.3,18.2,0.1,0.2,0.2,11.10
14,Ameer Abdullah,RB,5,DET,CAR,14.1,53.8,3.9,0.4,3.3,2.4,19.6,0.1,0.1,0.1,10.14
15,Frank Gore,RB,5,IND,SF,14.8,58.4,3.9,0.4,2.3,1.7,14.6,0.1,0.1,0.1,10.10
16,Joe Mixon,RB,5,CIN,BUF,13.5,55.3,3.9,0.3,3.7,2.6,20.4,0.1,0.1,0.1,9.77
17,Jonathan Stewart,RB,5,CAR,DET,14.5,61.4,4.4,0.4,1.7,1.2,9.0,0.1,0.2,0.2,9.64
18,Mike Gillislee,RB,5,NE,TB,14.6,56.7,3.8,0.6,0.8,0.6,4.6,0.0,0.1,0.1,9.53
19,Christian McCaffrey,RB,5,CAR,DET,7.0,28.6,4.1,0.2,6.7,4.8,44.6,0.2,0.2,0.2,9.32
20,Isaiah Crowell,RB,5,CLE,NYJ,13.3,54.2,4.2,0.4,2.5,1.7,13.1,0.0,0.1,0.1,8.93
21,Marshawn Lynch,RB,5,OAK,BAL,14.3,56.1,4.0,0.4,1.9,1.4,11.1,0.0,0.1,0.1,8.92
22,Latavius Murray,RB,5,MIN,CHI,12.9,52.3,4.0,0.4,2.5,1.9,13.9,0.0,0.1,0.1,8.82
23,LeGarrette Blount,RB,5,PHI,ARI,12.7,52.5,4.0,0.4,1.4,1.0,6.8,0.1,0.1,0.1,8.73
24,Doug Martin,RB,5,TB,NE,12.4,51.8,4.3,0.3,2.2,1.5,13.8,0.1,0.2,0.2,8.56
25,Aaron Jones,RB,5,GB,DAL,9.0,38.8,4.3,0.3,2.7,2.0,16.3,0.1,0.1,0.1,7.71
26,Duke Johnson,RB,5,CLE,NYJ,5.3,22.6,4.6,0.1,5.7,4.2,38.5,0.1,0.1,0.1,7.11
27,James White,RB,5,NE,TB,3.7,14.2,3.5,0.1,6.4,4.4,39.6,0.2,0.1,0.1,6.98
