Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,Zach Ertz,TE,5,PHI,ARI,10.2,5.9,60.0,65.6,0.3,0.0,6.6,11.0,0.0,0.0,0.0,0.1,0.1,8.16
2,Travis Kelce,TE,5,KC,HOU,7.1,5.1,71.4,61.8,0.3,0.0,8.9,12.4,0.0,0.0,0.0,0.0,0.0,7.98
3,Delanie Walker,TE,5,TEN,MIA,5.7,4.2,66.7,49.6,0.3,0.0,8.3,12.5,0.0,0.0,0.0,0.0,0.0,6.76
4,Charles Clay,TE,5,BUF,CIN,5.5,4.0,66.7,43.0,0.3,0.0,7.2,10.8,0.0,0.0,0.0,0.0,0.0,6.10
5,Cameron Brate,TE,5,TB,NE,4.5,3.1,60.0,36.1,0.4,0.0,7.2,12.0,0.0,0.0,0.0,0.0,0.0,6.01
6,Evan Engram,TE,5,NYG,LAC,6.7,3.9,57.1,41.7,0.3,0.0,6.0,10.5,0.0,0.0,0.0,0.0,0.0,5.97
7,Jimmy Graham,TE,5,SEA,LAR,5.6,3.8,66.7,43.3,0.3,0.0,7.2,10.8,0.0,0.0,0.0,0.1,0.1,5.93
8,Austin Seferian-Jenkins,TE,5,NYJ,CLE,5.0,3.6,80.0,40.9,0.3,0.0,8.2,10.2,0.0,0.0,0.0,0.0,0.0,5.89
9,Jason Witten,TE,5,DAL,GB,7.0,4.0,57.1,41.7,0.3,0.0,6.0,10.5,0.0,0.0,0.0,0.1,0.1,5.77
10,Dwayne Allen,TE,5,NE,TB,5.0,2.9,60.0,33.3,0.4,0.0,6.6,11.0,0.0,0.0,0.0,0.0,0.0,5.73
11,Martellus Bennett,TE,5,GB,DAL,5.9,3.6,66.7,38.5,0.3,0.0,6.3,9.5,0.0,0.0,0.0,0.0,0.0,5.65
12,Kyle Rudolph,TE,5,MIN,CHI,6.7,3.8,57.1,37.8,0.3,0.0,5.4,9.5,0.0,0.0,0.0,0.0,0.0,5.58
13,Jared Cook,TE,5,OAK,BAL,4.6,3.4,60.0,38.6,0.3,0.0,7.8,13.0,0.0,0.0,0.0,0.1,0.1,5.46
14,Tyler Kroft,TE,5,CIN,BUF,5.1,3.3,60.0,33.5,0.3,0.0,6.8,11.3,0.0,0.0,0.0,0.0,0.0,5.15
15,Jesse James,TE,5,PIT,JAX,4.6,3.3,60.0,33.2,0.3,0.0,6.6,11.0,0.0,0.0,0.0,0.0,0.0,5.12
16,Hunter Henry,TE,5,LAC,NYG,4.2,2.9,75.0,33.0,0.3,0.0,8.2,11.0,0.0,0.0,0.0,0.0,0.0,5.10
17,Benjamin Watson,TE,5,BAL,OAK,5.4,3.7,80.0,38.1,0.2,0.0,7.6,9.5,0.0,0.0,0.0,0.0,0.0,5.01
18,Eric Ebron,TE,5,DET,CAR,4.5,3.3,60.0,37.5,0.2,0.0,7.6,12.7,0.0,0.0,0.0,0.0,0.0,4.95
19,Zach Miller,TE,5,CHI,MIN,5.2,3.2,60.0,34.8,0.2,0.0,7.0,11.7,0.0,0.0,0.0,0.0,0.0,4.68
20,Ed Dickson,TE,5,CAR,DET,4.2,2.5,50.0,31.2,0.2,0.0,7.8,15.5,0.0,0.0,0.0,0.0,0.0,4.32
21,Ryan Griffin,TE,5,HOU,KC,4.3,3.0,75.0,33.1,0.2,0.0,8.2,11.0,0.0,0.0,0.0,0.1,0.1,4.31
22,David Njoku,TE,5,CLE,NYJ,2.6,2.0,66.7,22.2,0.3,0.0,7.3,11.0,0.0,0.0,0.0,0.0,0.0,4.02
23,George Kittle,TE,5,SF,IND,4.5,2.7,75.0,28.1,0.2,0.0,7.0,9.3,0.0,0.0,0.0,0.0,0.0,4.01
24,Antonio Gates,TE,5,LAC,NYG,4.4,2.8,75.0,29.5,0.2,0.0,7.5,10.0,0.0,0.0,0.0,0.1,0.1,3.95
25,Julius Thomas,TE,5,MIA,TEN,4.0,2.7,75.0,27.1,0.2,0.0,6.8,9.0,0.0,0.0,0.0,0.0,0.0,3.91
26,Seth DeValve,TE,5,CLE,NYJ,2.9,2.1,66.7,24.3,0.2,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,3.63
27,Jermaine Gresham,TE,5,ARI,PHI,5.5,3.1,50.0,30.3,0.1,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,3.63
