Rk,Player,Pos,Week,Team,Opp,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,New England Patriots,DST,17,NE,NYJ,0.0,3.0,0.0,1.3,0.5,0.0,0.0,0.0,14.5,8.80
2,Pittsburgh Steelers,DST,17,PIT,CLE,0.0,3.0,0.0,1.1,0.6,0.0,0.0,0.0,15.8,8.60
3,Detroit Lions,DST,17,DET,GB,0.0,2.7,0.0,1.2,0.6,0.0,0.0,0.0,19.0,8.50
4,Indianapolis Colts,DST,17,IND,HOU,0.0,2.7,0.0,1.1,0.7,0.0,0.0,0.0,18.2,8.50
5,Minnesota Vikings,DST,17,MIN,CHI,0.0,3.0,0.0,0.9,0.7,0.0,0.0,0.0,13.6,8.40
6,Seattle Seahawks,DST,17,SEA,ARI,0.0,2.8,0.0,1.1,0.6,0.0,0.0,0.0,15.0,8.40
7,Washington Redskins,DST,17,WAS,NYG,0.0,2.8,0.0,1.0,0.6,0.0,0.0,0.0,18.2,8.20
8,Baltimore Ravens,DST,17,BAL,CIN,0.0,2.7,0.0,1.0,0.6,0.0,0.0,0.0,15.4,8.10
9,Denver Broncos,DST,17,DEN,KC,0.0,2.8,0.0,0.9,0.6,0.0,0.0,0.0,17.2,8.00
10,Los Angeles Chargers,DST,17,LAC,OAK,0.0,2.5,0.0,0.9,0.7,0.0,0.0,0.0,18.0,7.90
11,Buffalo Bills,DST,17,BUF,MIA,0.0,2.3,0.0,1.1,0.5,0.0,0.0,0.0,19.5,7.70
12,Dallas Cowboys,DST,17,DAL,PHI,0.0,2.5,0.0,0.9,0.6,0.0,0.0,0.0,19.5,7.70
13,Tennessee Titans,DST,17,TEN,JAX,0.0,2.5,0.0,0.8,0.6,0.0,0.0,0.0,20.2,7.50
14,San Francisco 49ers,DST,17,SF,LAR,0.0,2.6,0.0,1.0,0.7,0.0,0.0,0.0,20.9,7.20
15,Jacksonville Jaguars,DST,17,JAX,TEN,0.0,2.8,0.0,1.0,0.5,0.0,0.0,0.0,20.7,7.00
16,Kansas City Chiefs,DST,17,KC,DEN,0.0,2.6,0.0,1.0,0.6,0.0,0.0,0.0,20.7,7.00
17,New Orleans Saints,DST,17,NO,TB,0.0,2.5,0.0,1.0,0.6,0.0,0.0,0.0,21.3,6.90
18,Los Angeles Rams,DST,17,LAR,SF,0.0,2.8,0.0,0.7,0.5,0.0,0.0,0.0,23.8,6.40
19,Arizona Cardinals,DST,17,ARI,SEA,0.0,2.6,0.0,0.8,0.5,0.0,0.0,0.0,23.1,6.40
20,Green Bay Packers,DST,17,GB,DET,0.0,2.4,0.0,0.7,0.6,0.0,0.0,0.0,25.5,6.20
21,Philadelphia Eagles,DST,17,PHI,DAL,0.0,2.2,0.0,0.9,0.5,0.0,0.0,0.0,21.1,6.20
22,Carolina Panthers,DST,17,CAR,ATL,0.0,2.5,0.0,0.7,0.5,0.0,0.0,0.0,24.6,6.10
23,Cincinnati Bengals,DST,17,CIN,BAL,0.0,2.3,0.0,0.8,0.5,0.0,0.0,0.0,24.4,6.10
24,Atlanta Falcons,DST,17,ATL,CAR,0.0,2.2,0.0,0.7,0.6,0.0,0.0,0.0,20.9,6.00
25,Houston Texans,DST,17,HOU,IND,0.0,2.4,0.0,0.7,0.5,0.0,0.0,0.0,23.3,6.00
26,Miami Dolphins,DST,17,MIA,BUF,0.0,2.7,0.0,0.7,0.6,0.0,0.0,0.0,22.0,5.90
27,New York Giants,DST,17,NYG,WAS,0.0,2.0,0.0,0.7,0.6,0.0,0.0,0.0,22.0,5.80
28,Cleveland Browns,DST,17,CLE,PIT,0.0,1.7,0.0,0.8,0.6,0.0,0.0,0.0,22.7,5.10
29,Chicago Bears,DST,17,CHI,MIN,0.0,1.9,0.0,0.7,0.5,0.0,0.0,0.0,25.0,4.90
30,Oakland Raiders,DST,17,OAK,LAC,0.0,1.9,0.0,0.6,0.5,0.0,0.0,0.0,25.2,4.70
31,Tampa Bay Buccaneers,DST,17,TB,NO,0.0,1.5,0.0,0.8,0.4,0.0,0.0,0.0,27.7,3.50
32,New York Jets,DST,17,NYJ,NE,0.0,1.5,0.0,0.5,0.4,0.0,0.0,0.0,29.0,2.90
