Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,Fantasy Points
1,Travis Kelce,TE,14,KC,OAK,7.5,5.4,62.5,71.9,0.5,0.0,9.0,14.4,0.1,0.3,0.0,0.0,0.0,10.22
2,Evan Engram,TE,14,NYG,DAL,8.2,4.8,62.5,56.1,0.4,0.0,7.0,11.2,0.0,0.0,0.0,0.0,0.0,8.01
3,Jimmy Graham,TE,14,SEA,JAX,6.6,4.5,57.1,48.6,0.4,0.0,7.0,12.2,0.0,0.0,0.0,0.0,0.0,7.26
4,Delanie Walker,TE,14,TEN,ARI,6.4,4.7,83.3,54.2,0.3,0.0,9.0,10.8,0.0,0.0,0.0,0.0,0.0,7.22
5,Hunter Henry,TE,14,LAC,WAS,5.3,3.6,80.0,45.6,0.4,0.0,9.2,11.5,0.0,0.0,0.0,0.0,0.0,6.96
6,Jack Doyle,TE,14,IND,BUF,8.5,5.3,62.5,49.7,0.3,0.0,6.2,10.0,0.0,0.0,0.0,0.0,0.0,6.77
7,Cameron Brate,TE,14,TB,DET,5.1,3.5,80.0,41.6,0.4,0.0,8.4,10.5,0.0,0.0,0.0,0.0,0.0,6.56
8,Kyle Rudolph,TE,14,MIN,CAR,7.0,4.0,57.1,40.3,0.4,0.0,5.7,10.0,0.0,0.0,0.0,0.0,0.0,6.43
9,Jared Cook,TE,14,OAK,KC,4.7,3.5,80.0,44.3,0.3,0.0,8.8,11.0,0.0,0.0,0.0,0.0,0.0,6.23
10,Jason Witten,TE,14,DAL,NYG,7.5,4.3,50.0,40.8,0.3,0.0,5.1,10.2,0.0,0.0,0.0,0.0,0.0,5.88
11,Stephen Anderson,TE,14,HOU,SF,5.0,3.5,80.0,39.7,0.3,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,5.77
12,Greg Olsen,TE,14,CAR,MIN,6.1,3.5,66.7,43.3,0.2,0.0,7.2,10.8,0.0,0.0,0.0,0.0,0.0,5.53
13,Julius Thomas,TE,14,MIA,NE,5.5,3.7,80.0,37.0,0.3,0.0,7.4,9.2,0.0,0.0,0.0,0.0,0.0,5.50
14,Vernon Davis,TE,14,WAS,LAC,5.6,3.4,50.0,42.6,0.2,0.0,7.2,14.3,0.0,0.0,0.0,0.0,0.0,5.46
15,Austin Hooper,TE,14,ATL,NO,4.2,3.2,75.0,35.4,0.3,0.0,8.8,11.7,0.0,0.0,0.0,0.0,0.0,5.34
16,Austin Seferian-Jenkins,TE,14,NYJ,DEN,4.8,3.5,80.0,34.7,0.3,0.0,7.0,8.8,0.0,0.0,0.0,0.0,0.0,5.27
17,Tyler Kroft,TE,14,CIN,CHI,4.8,3.1,60.0,32.8,0.3,0.0,6.6,11.0,0.0,0.0,0.0,0.0,0.0,5.08
18,Ricky Seals-Jones,TE,14,ARI,TEN,3.6,2.8,75.0,31.5,0.3,0.0,8.0,10.7,0.0,0.0,0.0,0.0,0.0,4.95
19,Charles Clay,TE,14,BUF,IND,4.6,3.3,60.0,36.2,0.2,0.0,7.2,12.0,0.0,0.0,0.0,0.0,0.0,4.82
20,Eric Ebron,TE,14,DET,TB,4.5,3.3,60.0,35.7,0.2,0.0,7.2,12.0,0.0,0.0,0.0,0.0,0.0,4.77
21,David Njoku,TE,14,CLE,GB,3.5,2.7,75.0,32.8,0.2,0.0,8.2,11.0,0.0,0.1,0.0,0.0,0.0,4.49
22,Benjamin Watson,TE,14,BAL,PIT,4.7,3.2,60.0,29.1,0.2,0.0,5.8,9.7,0.0,0.0,0.0,0.0,0.0,4.11
23,Dwayne Allen,TE,14,NE,MIA,3.8,2.2,50.0,22.6,0.3,0.0,5.8,11.5,0.0,0.0,0.0,0.0,0.0,4.06
