Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,8,PIT,DET,21.2,90.7,4.3,0.6,6.5,4.4,34.4,0.2,0.1,0.1,17.11
2,LeSean McCoy,RB,8,BUF,OAK,19.3,81.3,4.3,0.5,6.1,4.5,35.2,0.2,0.1,0.1,15.65
3,Ezekiel Elliott,RB,8,DAL,WAS,20.0,87.3,4.4,0.7,3.3,2.5,21.1,0.1,0.1,0.1,15.44
4,Mark Ingram,RB,8,NO,CHI,17.7,72.9,4.1,0.5,4.4,3.2,23.1,0.2,0.1,0.1,13.60
5,Kareem Hunt,RB,8,KC,DEN,18.4,69.9,3.9,0.6,4.1,2.9,23.3,0.1,0.1,0.1,13.32
6,Melvin Gordon,RB,8,LAC,NE,14.6,62.2,4.1,0.4,6.2,4.2,33.1,0.2,0.1,0.1,12.93
7,Devonta Freeman,RB,8,ATL,NYJ,16.0,69.1,4.3,0.6,3.1,2.3,18.1,0.1,0.1,0.1,12.72
8,Jay Ajayi,RB,8,MIA,BAL,20.5,82.7,4.2,0.4,2.8,2.0,13.7,0.1,0.1,0.1,12.44
9,Jordan Howard,RB,8,CHI,NO,17.4,79.7,4.7,0.4,1.8,1.3,9.8,0.1,0.1,0.1,11.75
10,Joe Mixon,RB,8,CIN,IND,14.0,56.5,4.0,0.4,3.4,2.4,19.4,0.1,0.1,0.1,10.39
11,Doug Martin,RB,8,TB,CAR,16.5,65.9,4.1,0.3,2.6,1.8,13.4,0.1,0.1,0.1,10.13
12,Alvin Kamara,RB,8,NO,CHI,9.1,37.3,4.1,0.3,5.2,4.0,32.7,0.2,0.1,0.1,9.80
13,Carlos Hyde,RB,8,SF,PHI,12.1,51.1,4.2,0.3,4.9,3.5,22.1,0.1,0.1,0.1,9.52
14,Lamar Miller,RB,8,HOU,SEA,15.7,60.1,3.8,0.2,3.9,2.8,18.9,0.1,0.1,0.1,9.50
15,Jerick McKinnon,RB,8,MIN,CLE,14.2,48.0,3.4,0.3,4.9,3.3,24.0,0.1,0.1,0.1,9.40
16,LeGarrette Blount,RB,8,PHI,SF,16.1,61.5,3.9,0.5,0.6,0.4,3.7,0.0,0.1,0.1,9.32
17,Christian McCaffrey,RB,8,CAR,TB,7.0,22.6,3.3,0.1,7.4,5.3,48.2,0.3,0.1,0.1,9.28
18,Chris Thompson,RB,8,WAS,DAL,7.5,34.2,4.2,0.2,5.2,3.8,32.9,0.2,0.1,0.1,8.91
19,Ameer Abdullah,RB,8,DET,PIT,13.1,57.6,4.5,0.2,2.4,1.8,13.7,0.1,0.1,0.1,8.73
20,CJ Anderson,RB,8,DEN,KC,14.7,59.2,3.9,0.3,2.0,1.4,10.9,0.0,0.1,0.1,8.61
21,Rob Kelley,RB,8,WAS,DAL,15.1,57.9,3.9,0.4,0.6,0.4,3.7,0.0,0.1,0.1,8.36
22,Javorius Allen,RB,8,BAL,MIA,10.0,34.6,3.5,0.3,5.1,3.7,25.2,0.1,0.1,0.1,8.18
23,Deandre Washington,RB,8,OAK,BUF,10.3,40.5,4.0,0.3,3.1,2.3,16.7,0.1,0.1,0.1,7.92
24,Latavius Murray,RB,8,MIN,CLE,12.8,46.4,3.5,0.4,1.9,1.4,9.7,0.0,0.1,0.1,7.81
25,Jalen Richard,RB,8,OAK,BUF,9.0,37.2,4.1,0.3,3.2,2.2,17.8,0.1,0.1,0.1,7.70
26,Wendell Smallwood,RB,8,PHI,SF,9.8,39.3,3.9,0.3,2.8,1.9,15.5,0.1,0.1,0.1,7.68
27,Bilal Powell,RB,8,NYJ,ATL,9.6,40.4,4.0,0.2,3.9,2.7,19.7,0.1,0.1,0.1,7.61
28,Tevin Coleman,RB,8,ATL,NYJ,8.0,33.8,4.2,0.3,3.1,2.3,20.0,0.1,0.1,0.1,7.58
29,Jonathan Stewart,RB,8,CAR,TB,14.7,54.9,3.7,0.3,0.8,0.6,4.8,0.0,0.1,0.1,7.57
30,Dion Lewis,RB,8,NE,LAC,11.1,51.2,4.6,0.3,1.4,1.0,7.5,0.0,0.1,0.1,7.47
31,Alex Collins,RB,8,BAL,MIA,15.5,55.4,3.4,0.3,0.4,0.3,2.6,0.0,0.1,0.1,7.40
32,Matt Forte,RB,8,NYJ,ATL,7.4,29.2,4.1,0.2,4.9,3.4,27.0,0.1,0.1,0.1,7.22
33,Frank Gore,RB,8,IND,CIN,13.0,45.7,3.5,0.3,1.7,1.3,10.1,0.0,0.1,0.1,7.18
34,Isaiah Crowell,RB,8,CLE,MIN,12.6,44.6,3.5,0.2,2.8,1.9,13.3,0.0,0.1,0.1,6.79
35,Theo Riddick,RB,8,DET,PIT,3.0,9.4,3.0,0.1,6.4,4.3,33.1,0.3,0.0,0.0,6.65
36,James White,RB,8,NE,LAC,3.2,13.1,4.3,0.1,5.7,3.9,32.1,0.2,0.0,0.0,6.32
37,Duke Johnson,RB,8,CLE,MIN,5.2,17.8,3.6,0.1,5.7,4.2,33.4,0.1,0.1,0.1,6.12
38,Tarik Cohen,RB,8,CHI,NO,6.4,22.9,3.8,0.1,4.2,3.1,26.3,0.1,0.1,0.1,5.92
39,Mike Gillislee,RB,8,NE,LAC,8.8,36.2,4.0,0.4,0.0,0.0,0.1,0.0,0.1,0.1,5.83
40,Thomas Rawls,RB,8,SEA,HOU,9.0,38.7,4.3,0.2,1.4,1.1,8.7,0.0,0.1,0.1,5.74
41,Eddie Lacy,RB,8,SEA,HOU,9.4,37.9,4.2,0.2,1.1,0.8,5.8,0.0,0.1,0.1,5.37
42,Marlon Mack,RB,8,IND,CIN,7.3,27.0,3.9,0.2,3.0,2.1,15.9,0.0,0.1,0.1,5.29
43,Austin Ekeler,RB,8,LAC,NE,4.4,18.1,4.5,0.1,3.5,2.5,21.5,0.1,0.0,0.0,5.16
44,Giovani Bernard,RB,8,CIN,IND,4.9,17.8,3.6,0.1,3.1,2.3,21.6,0.1,0.0,0.0,5.14
45,D'Onta Foreman,RB,8,HOU,SEA,7.8,35.4,4.4,0.2,0.5,0.4,3.2,0.0,0.1,0.1,4.86
46,Jamaal Charles,RB,8,DEN,KC,6.2,30.9,5.2,0.1,1.9,1.3,10.4,0.0,0.1,0.1,4.53
47,Mike Tolbert,FB,8,BUF,OAK,6.6,20.5,2.9,0.3,1.3,0.9,6.6,0.0,0.0,0.0,4.51
48,Rex Burkhead,RB,8,NE,LAC,2.9,16.0,5.3,0.2,1.7,1.2,9.0,0.1,0.0,0.0,4.30
49,JD McKissic,RB,8,SEA,HOU,2.5,9.9,5.0,0.1,3.0,1.8,16.2,0.1,0.0,0.0,3.81
50,Damien Williams,RB,8,MIA,BAL,2.3,9.6,5.0,0.1,2.6,1.8,13.5,0.1,0.0,0.0,3.51
