Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
1,Tom Brady,QB,5,NE,TB,26.9,39.1,69.2,313.9,8.1,2.5,0.6,99.7,2.2,1.1,0.5,0.0,21.27
2,Aaron Rodgers,QB,5,GB,DAL,24.5,40.5,60.0,290.1,7.2,2.3,0.7,88.5,3.3,10.8,3.7,0.0,20.28
3,Jameis Winston,QB,5,TB,NE,24.0,38.0,63.2,291.1,7.7,2.2,0.9,93.2,3.2,10.2,3.3,0.0,19.26
4,Dak Prescott,QB,5,DAL,GB,21.0,32.1,65.6,247.1,7.7,1.8,0.7,96.7,3.9,18.9,4.8,0.1,17.97
5,Russell Wilson,QB,5,SEA,LAR,19.3,33.2,57.6,237.6,7.2,1.7,0.7,87.7,4.9,23.4,4.6,0.0,16.84
6,Matthew Stafford,QB,5,DET,CAR,20.3,33.9,58.8,270.8,8.0,1.7,0.9,91.7,2.5,7.2,3.5,0.0,16.35
7,Eli Manning,QB,5,NYG,LAC,23.9,37.0,64.9,254.4,6.9,1.8,0.7,91.5,1.6,1.4,0.5,0.0,15.92
8,Carson Wentz,QB,5,PHI,ARI,22.1,37.0,59.5,250.2,6.8,1.6,0.9,86.5,3.4,15.2,5.0,0.0,15.73
9,Alex Smith,QB,5,KC,HOU,20.9,31.8,65.6,225.3,7.0,1.5,0.7,93.9,3.2,16.4,5.3,0.1,15.65
10,Ben Roethlisberger,QB,5,PIT,JAX,22.8,35.0,65.7,253.8,7.3,1.9,1.0,94.2,1.8,1.3,0.5,0.0,15.48
11,Cam Newton,QB,5,CAR,DET,20.1,33.5,58.8,222.5,6.5,1.4,1.1,75.9,5.5,19.3,3.2,0.2,15.23
12,Carson Palmer,QB,5,ARI,PHI,27.4,41.2,65.9,304.6,7.4,1.3,1.0,85.9,1.2,2.4,2.0,0.0,15.22
13,Tyrod Taylor,QB,5,BUF,CIN,17.1,28.3,60.7,210.0,7.5,1.2,0.6,81.0,6.1,25.3,4.2,0.1,14.93
14,Deshaun Watson,QB,5,HOU,KC,19.9,34.0,58.8,222.8,6.6,1.3,1.1,76.0,5.3,25.2,5.0,0.1,14.83
15,Andy Dalton,QB,5,CIN,BUF,20.1,33.5,58.8,252.5,7.4,1.5,1.0,89.3,2.8,7.8,2.7,0.0,14.68
16,Philip Rivers,QB,5,LAC,NYG,22.3,38.6,56.4,260.6,6.7,1.6,1.0,83.4,1.1,0.7,1.0,0.0,14.49
17,Jacoby Brissett,QB,5,IND,SF,18.1,32.0,56.2,217.2,6.8,1.3,0.8,74.6,3.5,17.8,4.5,0.1,14.27
18,Jay Cutler,QB,5,MIA,TEN,20.0,32.1,62.5,239.1,7.5,1.6,1.1,93.1,1.6,5.2,2.5,0.0,14.08
19,Deshone Kizer,QB,5,CLE,NYJ,18.0,32.2,56.2,214.1,6.7,1.3,1.3,74.2,4.7,23.0,4.6,0.1,13.86
20,Jared Goff,QB,5,LAR,SEA,17.4,29.1,58.6,232.4,8.0,1.4,1.0,81.4,1.6,6.3,3.0,0.0,13.33
21,Josh McCown,QB,5,NYJ,CLE,20.3,34.5,58.8,227.3,6.7,1.4,0.9,76.5,2.1,2.0,1.0,0.0,12.89
22,Brian Hoyer,QB,5,SF,IND,21.9,34.7,62.9,240.0,6.9,1.3,1.0,80.7,1.5,2.1,1.0,0.0,12.81
23,Blake Bortles,QB,5,JAX,PIT,19.0,33.0,57.6,206.4,6.2,1.1,1.1,73.6,3.6,19.0,4.8,0.1,12.56
24,Sam Bradford,QB,5,MIN,CHI,22.0,33.2,66.7,225.4,6.8,1.3,0.7,83.5,1.0,0.7,1.0,0.0,12.49
25,Joe Flacco,QB,5,BAL,OAK,20.6,38.2,55.3,224.3,5.9,1.3,0.9,70.5,1.5,1.4,0.5,0.0,12.31
26,EJ Manuel,QB,5,OAK,BAL,14.8,24.6,60.0,196.8,7.9,1.0,1.2,81.6,2.7,15.4,5.0,0.0,10.81
27,Mitch Trubisky,QB,5,CHI,MIN,15.0,25.0,60.0,200.1,8.0,1.0,1.2,82.1,2.6,13.3,4.3,0.0,10.53
28,Matt Cassel,QB,5,TEN,MIA,17.8,27.1,66.7,188.0,7.0,1.0,1.2,83.6,1.6,1.3,0.5,0.0,8.85
29,Case Keenum,QB,5,MIN,CHI,7.8,13.0,61.5,103.8,8.0,0.6,0.3,112.3,1.0,3.6,4.0,0.0,6.31
30,Kevin Hogan,QB,5,CLE,NYJ,0.7,1.2,100.0,9.8,10.0,0.0,0.0,108.3,0.2,1.0,0.0,0.0,0.49
31,Matt Moore,QB,5,MIA,TEN,0.8,1.4,100.0,10.8,11.0,0.0,0.0,112.5,0.1,0.3,0.0,0.0,0.46
32,Ryan Fitzpatrick,QB,5,TB,NE,0.7,1.1,100.0,8.9,9.0,0.0,0.0,104.2,0.1,0.6,0.0,0.0,0.42
33,Mike Glennon,QB,5,CHI,MIN,0.7,1.2,100.0,9.5,10.0,0.0,0.0,108.3,0.0,0.0,0.0,0.0,0.38
34,Nick Foles,QB,5,PHI,ARI,0.6,1.1,100.0,8.5,8.0,0.0,0.0,100.0,0.1,0.3,0.0,0.0,0.37
35,Jimmy Garoppolo,QB,5,NE,TB,0.5,0.9,100.0,7.3,7.0,0.0,0.0,95.8,0.1,0.6,0.0,0.0,0.35
36,Geno Smith,QB,5,NYG,LAC,0.5,0.9,100.0,7.0,7.0,0.0,0.0,95.8,0.1,0.4,0.0,0.0,0.32
37,AJ McCarron,QB,5,CIN,BUF,0.5,0.8,0.0,6.6,7.0,0.0,0.0,56.3,0.1,0.3,0.0,0.0,0.29
38,Landry Jones,QB,5,PIT,JAX,0.4,0.7,0.0,5.9,6.0,0.0,0.0,52.1,0.1,0.5,0.0,0.0,0.29
39,Sean Mannion,QB,5,LAR,SEA,0.4,0.7,0.0,5.7,6.0,0.0,0.0,52.1,0.1,0.6,0.0,0.0,0.29
40,Derek Anderson,QB,5,CAR,DET,0.5,0.8,0.0,6.2,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.28
41,Austin Davis,QB,5,SEA,LAR,0.5,0.8,0.0,6.3,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.28
42,Kellen Moore,QB,5,DAL,GB,0.4,0.7,0.0,5.9,6.0,0.0,0.0,52.1,0.1,0.4,0.0,0.0,0.28
43,Drew Stanton,QB,5,ARI,PHI,0.5,0.8,0.0,6.0,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.27
44,Chad Henne,QB,5,JAX,PIT,0.5,0.8,0.0,6.0,6.0,0.0,0.0,52.1,0.1,0.3,0.0,0.0,0.27
45,Tom Savage,QB,5,HOU,KC,0.4,0.7,0.0,5.5,6.0,0.0,0.0,52.1,0.1,0.5,0.0,0.0,0.27
46,Patrick Mahomes,QB,5,KC,HOU,0.4,0.6,0.0,5.1,5.0,0.0,0.0,47.9,0.1,0.3,0.0,0.0,0.23
47,Bryce Petty,QB,5,NYJ,CLE,0.7,1.2,100.0,9.7,10.0,0.0,0.1,108.3,0.1,0.3,0.0,0.0,0.22
48,Ryan Mallett,QB,5,BAL,OAK,0.4,0.7,0.0,5.3,5.0,0.0,0.0,47.9,0.1,0.1,0.0,0.0,0.22
49,Kellen Clemens,QB,5,LAC,NYG,0.3,0.6,0.0,4.6,5.0,0.0,0.0,47.9,0.0,0.1,0.0,0.0,0.19
50,Connor Cook,QB,5,OAK,BAL,0.2,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
