Rk,Player,Pos,Week,Team,Opp,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,Fantasy Points
1,Jacksonville Jaguars,DST,11,JAX,CLE,0.0,3.5,0.0,1.6,0.5,0.0,0.0,0.0,13.4,13.50
2,Houston Texans,DST,11,HOU,ARI,0.0,2.7,0.0,1.1,0.8,0.1,0.0,0.0,19.0,8.90
3,Arizona Cardinals,DST,11,ARI,HOU,0.0,2.9,0.0,1.0,0.7,0.0,0.0,0.0,19.7,8.50
4,Los Angeles Chargers,DST,11,LAC,BUF,0.0,3.1,0.0,1.0,0.6,0.0,0.0,0.0,18.3,8.50
5,Baltimore Ravens,DST,11,BAL,GB,0.0,2.4,0.0,1.3,0.7,0.0,0.0,0.0,21.2,8.20
6,Cincinnati Bengals,DST,11,CIN,DEN,0.0,2.6,0.0,1.1,0.6,0.0,0.0,0.0,18.6,8.20
7,Detroit Lions,DST,11,DET,CHI,0.0,2.3,0.0,0.8,0.7,0.1,0.0,0.0,18.0,7.70
8,Denver Broncos,DST,11,DEN,CIN,0.0,2.6,0.0,0.7,0.6,0.0,0.0,0.0,18.0,7.40
9,Green Bay Packers,DST,11,GB,BAL,0.0,2.1,0.0,0.9,0.6,0.0,0.0,0.0,19.6,7.30
10,Kansas City Chiefs,DST,11,KC,NYG,0.0,2.1,0.0,0.9,0.6,0.0,0.0,0.0,18.6,7.30
11,Tampa Bay Buccaneers,DST,11,TB,MIA,0.0,1.9,0.0,1.1,0.5,0.0,0.0,0.0,20.4,7.30
12,Pittsburgh Steelers,DST,11,PIT,TEN,0.0,2.3,0.0,0.8,0.5,0.0,0.0,0.0,18.2,7.10
13,Chicago Bears,DST,11,CHI,DET,0.0,2.8,0.0,0.7,0.6,0.0,0.0,0.0,20.7,6.60
14,Minnesota Vikings,DST,11,MIN,LAR,0.0,2.2,0.0,0.7,0.8,0.1,0.0,0.0,23.8,6.60
15,Dallas Cowboys,DST,11,DAL,PHI,0.0,2.9,0.0,0.6,0.6,0.0,0.0,0.0,25.4,6.50
16,Atlanta Falcons,DST,11,ATL,SEA,0.0,2.7,0.0,0.6,0.6,0.1,0.0,0.0,23.3,6.50
17,New Orleans Saints,DST,11,NO,WAS,0.0,2.2,0.0,0.8,0.7,0.0,0.0,0.0,21.3,6.40
18,Los Angeles Rams,DST,11,LAR,MIN,0.0,2.1,0.0,1.0,0.5,0.0,0.0,0.0,21.7,6.30
19,Philadelphia Eagles,DST,11,PHI,DAL,0.0,2.7,0.0,0.6,0.6,0.0,0.0,0.0,24.4,6.30
20,Miami Dolphins,DST,11,MIA,TB,0.0,2.1,0.0,1.0,0.5,0.0,0.0,0.0,22.6,6.30
21,Seattle Seahawks,DST,11,SEA,ATL,0.0,2.1,0.0,0.8,0.6,0.0,0.0,0.0,21.4,6.10
22,Buffalo Bills,DST,11,BUF,LAC,0.0,1.8,0.0,1.0,0.4,0.0,0.0,0.0,23.3,5.80
23,Cleveland Browns,DST,11,CLE,JAX,0.0,1.8,0.0,0.9,0.4,0.0,0.0,0.0,23.8,5.60
24,New England Patriots,DST,11,NE,OAK,0.0,1.5,0.0,0.9,0.5,0.0,0.0,0.0,22.9,5.50
25,Tennessee Titans,DST,11,TEN,PIT,0.0,1.5,0.0,0.9,0.4,0.0,0.0,0.0,25.9,5.30
26,Washington Redskins,DST,11,WAS,NO,0.0,1.7,0.0,0.6,0.5,0.0,0.0,0.0,29.9,4.10
27,New York Giants,DST,11,NYG,KC,0.0,1.6,0.0,0.4,0.4,0.0,0.0,0.0,27.5,3.80
28,Oakland Raiders,DST,11,OAK,NE,0.0,1.8,0.0,0.5,0.4,0.0,0.0,0.0,30.3,3.20
