Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
1,Tom Brady,QB,17,NE,NYJ,22.9,35.4,65.7,281.2,8.0,2.2,0.6,97.4,1.5,2.5,1.0,0.0,18.90
2,Matthew Stafford,QB,17,DET,GB,24.7,36.8,67.6,281.3,7.6,2.0,0.7,96.8,2.0,5.8,3.0,0.1,18.83
3,Russell Wilson,QB,17,SEA,ARI,20.1,35.5,55.6,233.8,6.5,1.8,0.7,82.4,5.3,27.7,5.6,0.1,18.12
4,Philip Rivers,QB,17,LAC,OAK,22.3,35.9,61.1,278.1,7.7,2.0,0.7,92.1,1.0,0.8,1.0,0.0,17.40
5,Drew Brees,QB,17,NO,TB,23.7,36.6,64.9,274.3,7.4,1.8,0.7,93.8,1.8,1.4,0.5,0.1,17.31
6,Cam Newton,QB,17,CAR,ATL,17.9,31.1,58.1,199.7,6.5,1.3,0.9,74.7,7.3,42.1,6.0,0.3,17.20
7,Kirk Cousins,QB,17,WAS,NYG,21.9,36.1,61.1,270.4,7.5,1.7,0.8,91.2,2.7,7.7,2.7,0.1,16.59
8,Jameis Winston,QB,17,TB,NO,22.1,37.2,59.5,263.3,7.1,1.7,1.0,88.0,3.2,8.4,2.7,0.1,16.17
9,Jimmy Garoppolo,QB,17,SF,LAR,22.8,37.8,60.5,269.5,7.1,1.6,0.8,88.7,3.1,6.0,2.0,0.0,15.98
10,Matt Ryan,QB,17,ATL,CAR,21.4,34.5,61.8,264.6,7.8,1.7,0.8,93.4,1.9,5.8,3.0,0.0,15.96
11,Case Keenum,QB,17,MIN,CHI,20.7,30.1,70.0,238.5,7.9,1.6,0.7,101.8,2.6,10.7,3.7,0.0,15.41
12,Tyrod Taylor,QB,17,BUF,MIA,18.8,30.1,63.3,205.0,6.8,1.2,0.5,94.4,5.8,26.3,4.3,0.1,15.03
13,Jacoby Brissett,QB,17,IND,HOU,19.1,32.2,59.4,230.7,7.2,1.3,0.8,79.0,3.9,14.2,3.5,0.1,14.65
14,Dak Prescott,QB,17,DAL,PHI,18.4,28.9,62.1,201.3,6.9,1.3,0.8,79.8,3.5,21.6,5.5,0.2,14.61
15,Blake Bortles,QB,17,JAX,TEN,18.6,31.6,59.4,218.2,6.8,1.3,0.7,77.3,3.6,17.5,4.5,0.1,14.28
16,Joe Flacco,QB,17,BAL,CIN,21.5,35.0,62.9,234.0,6.7,1.4,0.8,79.9,1.6,2.9,1.5,0.1,14.05
17,Marcus Mariota,QB,17,TEN,JAX,18.6,31.8,59.4,207.3,6.5,1.2,1.0,75.9,3.8,19.4,4.8,0.2,13.63
18,Brett Hundley,QB,17,GB,DET,21.2,32.3,65.6,187.9,5.9,1.1,1.0,78.7,5.3,25.4,5.0,0.1,12.86
19,Eli Manning,QB,17,NYG,WAS,19.7,31.6,62.5,223.2,7.0,1.3,1.0,80.6,1.0,1.2,1.0,0.0,12.05
20,Andy Dalton,QB,17,CIN,BAL,18.7,31.5,59.4,202.3,6.3,1.2,1.0,75.3,2.5,6.9,3.5,0.1,11.98
21,Landry Jones,QB,17,PIT,CLE,19.2,29.8,63.3,216.3,7.2,1.3,1.0,82.1,1.8,2.4,1.0,0.0,11.89
22,Sean Mannion,QB,17,LAR,SF,18.6,30.7,61.3,197.3,6.4,1.3,1.0,77.0,2.6,8.5,2.7,0.0,11.74
23,Derek Carr,QB,17,OAK,LAC,15.8,26.3,61.5,210.0,8.1,1.2,0.9,83.8,1.6,4.5,2.0,0.0,11.65
24,Deshone Kizer,QB,17,CLE,PIT,18.2,31.4,58.1,186.5,6.0,1.0,1.4,72.8,4.8,24.0,4.8,0.2,11.46
25,Patrick Mahomes,QB,17,KC,DEN,18.5,30.9,58.1,202.7,6.5,1.1,1.1,75.1,3.2,14.7,5.0,0.0,10.98
26,Jay Cutler,QB,17,MIA,BUF,14.9,24.9,60.0,199.2,8.0,1.2,1.0,81.9,1.2,2.2,2.0,0.0,10.79
27,TJ Yates,QB,17,HOU,IND,14.1,23.5,60.9,187.8,8.2,1.0,0.9,83.2,2.9,14.0,4.7,0.0,10.51
28,Mitch Trubisky,QB,17,CHI,MIN,17.1,28.0,60.7,172.1,6.1,0.9,0.9,75.3,2.9,15.5,5.3,0.1,10.43
29,Drew Stanton,QB,17,ARI,SEA,18.7,33.9,55.9,199.8,5.9,1.0,1.0,70.7,2.5,4.6,2.5,0.0,10.25
30,Paxton Lynch,QB,17,DEN,KC,17.3,30.3,56.7,177.7,5.9,1.1,1.1,71.3,2.9,8.2,2.7,0.0,9.93
31,Bryce Petty,QB,17,NYJ,NE,15.3,26.0,57.7,154.1,5.9,0.9,1.1,71.6,1.8,10.9,5.5,0.0,8.45
32,Nick Foles,QB,17,PHI,DAL,10.9,17.2,64.7,103.5,6.1,0.8,0.4,101.1,1.3,2.7,3.0,0.0,6.61
33,Nate Sudfeld,QB,17,PHI,DAL,7.0,11.6,58.3,92.8,7.8,0.4,0.4,83.0,1.3,4.1,4.0,0.0,4.72
34,Brock Osweiler,QB,17,DEN,KC,5.7,9.5,66.7,75.6,8.4,0.4,0.4,92.8,0.9,5.7,6.0,0.0,4.39
35,Ryan Fitzpatrick,QB,17,TB,NO,2.6,4.3,75.0,34.0,8.5,0.4,0.0,100.0,0.8,3.4,3.0,0.0,3.30
