Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,3,PIT,CHI,19.4,88.4,4.6,0.7,6.6,4.5,38.0,0.2,0.1,0.1,17.84
2,Ezekiel Elliott,RB,3,DAL,ARI,20.0,88.6,4.4,0.6,4.3,3.2,25.3,0.1,0.1,0.1,15.39
3,Jay Ajayi,RB,3,MIA,NYJ,20.3,87.3,4.4,0.7,2.6,1.9,13.8,0.1,0.1,0.1,14.71
4,Kareem Hunt,RB,3,KC,LAC,17.0,76.1,4.5,0.6,4.2,3.0,24.8,0.2,0.2,0.2,14.49
5,Devonta Freeman,RB,3,ATL,DET,14.0,62.7,4.5,0.6,4.6,3.4,28.7,0.2,0.1,0.1,13.74
6,LeSean McCoy,RB,3,BUF,DEN,16.7,76.7,4.5,0.5,4.8,3.5,25.8,0.1,0.1,0.1,13.65
7,Todd Gurley,RB,3,LAR,SF,18.8,70.8,3.7,0.6,4.2,3.1,25.5,0.1,0.1,0.1,13.63
8,Ty Montgomery,RB,3,GB,CIN,16.2,72.7,4.6,0.5,4.2,3.1,24.8,0.1,0.1,0.1,13.15
9,CJ Anderson,RB,3,DEN,BUF,17.2,74.8,4.4,0.5,3.4,2.4,19.8,0.1,0.1,0.1,12.86
10,Carlos Hyde,RB,3,SF,LAR,16.8,73.5,4.4,0.5,3.9,2.8,19.9,0.1,0.2,0.2,12.54
11,Melvin Gordon,RB,3,LAC,KC,17.1,69.8,4.1,0.4,5.2,3.5,29.1,0.1,0.2,0.2,12.49
12,Marshawn Lynch,RB,3,OAK,WAS,15.0,64.9,4.3,0.6,2.5,1.8,14.3,0.1,0.1,0.1,11.92
13,Dalvin Cook,RB,3,MIN,TB,15.7,63.3,3.9,0.5,3.7,2.5,20.3,0.1,0.1,0.1,11.76
14,Leonard Fournette,RB,3,JAX,BAL,16.9,69.0,4.1,0.4,3.7,2.5,19.2,0.1,0.1,0.1,11.62
15,Isaiah Crowell,RB,3,CLE,IND,14.6,62.9,4.2,0.4,3.1,2.1,18.1,0.1,0.1,0.1,10.90
16,Mike Gillislee,RB,3,NE,HOU,15.2,62.8,4.2,0.7,0.8,0.6,4.9,0.0,0.1,0.1,10.77
17,Christian McCaffrey,RB,3,CAR,NO,10.3,43.5,4.4,0.3,5.2,3.7,35.4,0.2,0.2,0.2,10.49
18,Jonathan Stewart,RB,3,CAR,NO,14.3,60.7,4.4,0.5,1.8,1.3,10.5,0.1,0.2,0.2,10.32
19,Jordan Howard,RB,3,CHI,PIT,14.0,60.0,4.3,0.4,2.6,1.9,14.9,0.1,0.1,0.1,10.29
20,Frank Gore,RB,3,IND,CLE,14.8,60.1,4.0,0.4,2.3,1.7,14.0,0.1,0.1,0.1,10.21
21,Lamar Miller,RB,3,HOU,NE,14.7,59.5,4.0,0.3,3.5,2.5,19.5,0.1,0.1,0.1,10.10
22,Ameer Abdullah,RB,3,DET,ATL,12.1,53.9,4.5,0.3,3.1,2.3,17.8,0.1,0.1,0.1,9.37
23,Jacquizz Rodgers,RB,3,TB,MIN,16.0,63.2,3.9,0.3,2.2,1.6,10.2,0.0,0.1,0.1,8.94
