Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,2,PIT,MIN,17.1,75.5,4.5,0.5,7.6,5.2,41.6,0.1,0.2,0.2,14.91
2,Ezekiel Elliott,RB,2,DAL,DEN,17.8,82.1,4.6,0.5,4.1,3.1,24.4,0.1,0.2,0.2,13.85
3,Todd Gurley,RB,2,LAR,WAS,17.3,65.0,3.8,0.7,3.9,2.9,22.8,0.1,0.1,0.1,13.38
4,Devonta Freeman,RB,2,ATL,GB,12.6,55.6,4.3,0.6,4.7,3.5,31.1,0.2,0.1,0.1,13.27
5,Melvin Gordon,RB,2,LAC,MIA,16.7,72.6,4.3,0.4,4.6,3.1,26.1,0.2,0.2,0.2,13.07
6,LeSean McCoy,RB,2,BUF,CAR,14.3,67.0,4.8,0.4,4.9,3.6,28.1,0.1,0.1,0.1,12.31
7,Jay Ajayi,RB,2,MIA,LAC,15.6,70.5,4.4,0.5,3.0,2.2,16.1,0.1,0.1,0.1,12.06
8,Kareem Hunt,RB,2,KC,PHI,13.7,60.3,4.3,0.5,3.9,2.8,24.8,0.1,0.2,0.2,11.71
9,Leonard Fournette,RB,2,JAX,TEN,15.4,63.5,4.3,0.5,3.4,2.3,18.7,0.1,0.1,0.1,11.62
10,Marshawn Lynch,RB,2,OAK,NYJ,14.2,59.4,4.2,0.6,2.6,1.9,16.7,0.1,0.1,0.1,11.61
11,Jordan Howard,RB,2,CHI,TB,13.7,63.1,4.5,0.4,2.7,2.0,16.3,0.1,0.1,0.1,10.74
12,Lamar Miller,RB,2,HOU,CIN,15.9,65.9,4.1,0.3,3.5,2.5,19.1,0.1,0.1,0.1,10.70
13,Dalvin Cook,RB,2,MIN,PIT,13.6,55.5,4.0,0.4,4.6,3.1,23.2,0.1,0.1,0.1,10.67
14,DeMarco Murray,RB,2,TEN,JAX,13.9,56.5,4.0,0.4,3.9,3.0,19.8,0.1,0.1,0.1,10.43
15,Ty Montgomery,RB,2,GB,ATL,11.4,54.9,5.0,0.3,4.3,3.2,25.6,0.1,0.1,0.1,10.25
16,Christian McCaffrey,RB,2,CAR,BUF,9.5,43.1,4.3,0.3,5.2,3.7,33.3,0.1,0.1,0.1,9.84
17,Terrance West,RB,2,BAL,CLE,12.6,52.4,4.0,0.4,3.0,2.1,15.8,0.1,0.1,0.1,9.62
18,CJ Anderson,RB,2,DEN,DAL,13.7,57.8,4.1,0.3,3.4,2.4,19.1,0.0,0.1,0.1,9.29
19,Carlos Hyde,RB,2,SF,SEA,13.5,51.8,3.7,0.3,3.8,2.7,18.6,0.1,0.2,0.2,9.04
20,Isaiah Crowell,RB,2,CLE,BAL,12.5,49.1,4.1,0.3,3.7,2.5,19.1,0.1,0.1,0.1,9.02
21,Mike Gillislee,RB,2,NE,NO,10.7,48.2,4.4,0.6,1.3,1.0,7.5,0.0,0.1,0.1,8.97
22,Paul Perkins,RB,2,NYG,DET,11.9,48.5,4.0,0.3,3.0,2.1,18.5,0.1,0.1,0.1,8.90
23,Tevin Coleman,RB,2,ATL,GB,8.1,35.0,4.4,0.3,3.2,2.4,24.2,0.2,0.1,0.1,8.72
24,Jacquizz Rodgers,RB,2,TB,CHI,13.4,57.4,4.4,0.3,2.4,1.7,12.5,0.0,0.1,0.1,8.59
25,Mark Ingram,RB,2,NO,NE,8.8,39.2,4.3,0.3,4.2,3.1,24.8,0.1,0.2,0.2,8.40
26,Rob Kelley,RB,2,WAS,LAR,12.7,51.3,3.9,0.4,1.6,1.1,8.7,0.0,0.1,0.1,8.20
27,Bilal Powell,RB,2,NYJ,OAK,8.7,38.9,4.3,0.2,5.1,3.5,26.3,0.1,0.1,0.1,8.12
28,Jonathan Stewart,RB,2,CAR,BUF,12.1,52.5,4.3,0.4,1.5,1.1,8.1,0.0,0.2,0.2,8.06
29,Frank Gore,RB,2,IND,ARI,11.5,43.3,3.6,0.3,2.3,1.7,13.8,0.1,0.1,0.1,7.91
30,LeGarrette Blount,RB,2,PHI,KC,12.1,50.0,4.2,0.4,1.4,1.0,6.3,0.0,0.1,0.1,7.83
