Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Ezekiel Elliott,RB,9,DAL,KC,22.6,101.8,4.4,0.9,3.2,2.4,20.7,0.1,0.1,0.1,18.05
2,Todd Gurley,RB,9,LAR,NYG,21.0,86.5,4.1,0.7,5.0,3.7,29.1,0.1,0.1,0.1,16.16
3,LeSean McCoy,RB,9,BUF,NYJ,19.7,87.8,4.4,0.5,6.3,4.6,32.8,0.2,0.1,0.1,16.06
4,Kareem Hunt,RB,9,KC,DAL,16.7,81.4,4.8,0.6,4.1,2.9,25.3,0.1,0.2,0.2,14.47
5,Mark Ingram,RB,9,NO,TB,17.1,71.3,4.2,0.7,5.2,3.8,26.6,0.1,0.2,0.2,14.19
6,Lamar Miller,RB,9,HOU,IND,18.5,71.8,4.0,0.5,3.8,2.7,20.1,0.1,0.1,0.1,12.59
7,Doug Martin,RB,9,TB,NO,16.6,72.1,4.2,0.4,2.6,1.8,13.7,0.1,0.1,0.1,11.38
8,Carlos Hyde,RB,9,SF,ARI,15.8,59.9,3.8,0.4,5.3,3.8,24.1,0.1,0.1,0.1,11.20
9,Adrian Peterson,RB,9,ARI,SF,18.2,71.3,3.9,0.5,1.6,1.2,8.7,0.0,0.1,0.1,10.80
10,Aaron Jones,RB,9,GB,DET,15.1,60.5,4.0,0.5,2.7,2.0,16.1,0.0,0.1,0.1,10.46
11,Devonta Freeman,RB,9,ATL,CAR,13.1,57.1,4.4,0.4,3.2,2.4,19.0,0.1,0.1,0.1,10.41
12,DeMarco Murray,RB,9,TEN,BAL,13.7,56.4,4.0,0.4,3.4,2.6,18.6,0.1,0.1,0.1,10.30
13,Alvin Kamara,RB,9,NO,TB,9.0,38.7,4.3,0.3,5.4,4.1,35.9,0.2,0.1,0.1,10.26
14,Christian McCaffrey,RB,9,CAR,ATL,6.4,20.4,3.3,0.1,7.6,5.4,49.1,0.3,0.1,0.1,9.15
15,Alex Collins,RB,9,BAL,TEN,16.4,63.0,3.9,0.3,1.6,1.2,8.0,0.0,0.1,0.1,8.70
16,Ameer Abdullah,RB,9,DET,GB,14.5,56.0,4.0,0.2,2.4,1.8,12.4,0.1,0.1,0.1,8.44
17,Joe Mixon,RB,9,CIN,JAX,12.2,48.0,4.0,0.2,3.7,2.6,20.0,0.1,0.1,0.1,8.40
18,Marshawn Lynch,RB,9,OAK,MIA,12.1,48.3,4.0,0.5,1.4,1.0,6.9,0.0,0.1,0.1,8.32
19,Frank Gore,RB,9,IND,HOU,12.7,47.9,3.7,0.3,2.3,1.7,12.9,0.0,0.1,0.1,7.68
20,Derrick Henry,RB,9,TEN,BAL,12.0,48.3,4.0,0.4,1.2,0.8,5.8,0.0,0.1,0.1,7.61
21,Chris Thompson,RB,9,WAS,SEA,6.8,26.9,3.9,0.1,6.0,4.4,38.7,0.1,0.1,0.1,7.56
22,Orleans Darkwa,RB,9,NYG,LAR,11.0,48.0,4.4,0.2,2.4,1.7,11.5,0.1,0.1,0.1,7.55
23,Bilal Powell,RB,9,NYJ,BUF,9.7,38.4,3.8,0.2,3.9,2.7,20.3,0.1,0.1,0.1,7.47
24,Jonathan Stewart,RB,9,CAR,ATL,14.4,52.0,3.7,0.3,1.0,0.7,5.7,0.0,0.1,0.1,7.37
25,Chris Ivory,RB,9,JAX,CIN,7.0,38.5,5.4,0.3,2.3,1.6,11.9,0.1,0.1,0.1,7.24
26,LeGarrette Blount,RB,9,PHI,DEN,13.7,47.6,3.4,0.4,0.4,0.3,2.5,0.0,0.1,0.1,7.21
27,Javorius Allen,RB,9,BAL,TEN,8.1,30.7,3.9,0.2,5.2,3.8,24.8,0.1,0.1,0.1,7.15
28,Tevin Coleman,RB,9,ATL,CAR,8.0,37.2,4.6,0.2,2.8,2.1,18.2,0.1,0.1,0.1,7.14
29,Matt Forte,RB,9,NYJ,BUF,7.3,26.4,3.7,0.2,4.9,3.4,27.6,0.1,0.1,0.1,7.00
30,Kenyan Drake,RB,9,MIA,OAK,12.9,49.6,3.8,0.2,1.9,1.3,10.1,0.0,0.1,0.1,6.97
31,Damien Williams,RB,9,MIA,OAK,9.3,33.8,3.8,0.2,3.0,2.1,17.1,0.1,0.0,0.0,6.89
32,CJ Anderson,RB,9,DEN,PHI,12.8,50.2,3.8,0.2,1.8,1.3,8.4,0.0,0.1,0.1,6.86
33,Eddie Lacy,RB,9,SEA,WAS,12.2,45.7,3.8,0.3,1.2,0.9,6.0,0.0,0.1,0.1,6.77
34,Rob Kelley,RB,9,WAS,SEA,14.2,46.7,3.4,0.3,1.3,0.9,5.0,0.0,0.1,0.1,6.77
35,Marlon Mack,RB,9,IND,HOU,7.1,31.4,4.4,0.3,3.6,2.5,19.2,0.0,0.1,0.1,6.66
36,TJ Yeldon,RB,9,JAX,CIN,7.4,35.4,5.0,0.2,3.0,2.0,15.3,0.0,0.0,0.0,6.27
37,Ty Montgomery,RB,9,GB,DET,7.0,28.7,4.1,0.2,2.8,2.1,16.8,0.0,0.1,0.1,5.55
38,Deandre Washington,RB,9,OAK,MIA,4.9,20.8,4.2,0.2,3.1,2.3,17.4,0.1,0.1,0.1,5.42
39,Theo Riddick,RB,9,DET,GB,3.4,10.9,3.7,0.1,4.6,3.1,26.6,0.2,0.1,0.1,5.35
40,Matt Breida,RB,9,SF,ARI,6.2,20.4,3.3,0.2,2.6,1.9,15.2,0.1,0.1,0.1,5.16
41,Andre Ellington,RB,9,ARI,SF,3.4,10.0,3.3,0.1,4.2,3.2,27.0,0.1,0.0,0.0,4.90
42,Mike Tolbert,FB,9,BUF,NYJ,6.7,21.7,3.1,0.2,1.5,1.0,7.0,0.1,0.0,0.0,4.67
43,Giovani Bernard,RB,9,CIN,JAX,4.2,15.0,3.8,0.1,2.9,2.2,18.7,0.1,0.0,0.0,4.57
44,Shane Vereen,RB,9,NYG,LAR,2.6,9.6,3.3,0.0,3.9,2.9,24.7,0.1,0.0,0.0,4.03
45,Wendell Smallwood,RB,9,PHI,DEN,4.9,14.6,3.0,0.1,2.4,1.6,12.5,0.1,0.0,0.0,3.91
46,Jay Ajayi,RB,9,PHI,DEN,6.0,24.6,4.2,0.2,0.6,0.4,3.6,0.0,0.1,0.1,3.82
47,Thomas Rawls,RB,9,SEA,WAS,4.4,19.3,4.8,0.2,0.9,0.7,5.2,0.0,0.1,0.1,3.45
48,Jalen Richard,RB,9,OAK,MIA,4.2,16.4,4.0,0.1,2.4,1.6,13.1,0.0,0.1,0.1,3.35
49,Jamaal Charles,RB,9,DEN,PHI,5.7,22.3,3.7,0.1,1.6,1.1,6.9,0.0,0.1,0.1,3.32
50,D'Onta Foreman,RB,9,HOU,IND,5.3,20.5,4.0,0.2,0.1,0.1,1.5,0.0,0.1,0.1,3.20
