Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Le'Veon Bell,RB,6,PIT,KC,18.2,84.2,4.7,0.5,6.9,4.7,34.3,0.2,0.1,0.1,15.85
2,Kareem Hunt,RB,6,KC,PIT,17.5,84.0,4.7,0.7,4.1,2.9,24.3,0.1,0.1,0.1,15.43
3,Leonard Fournette,RB,6,JAX,LAR,20.1,85.2,4.2,0.6,4.0,2.7,20.9,0.1,0.1,0.1,14.61
4,Devonta Freeman,RB,6,ATL,MIA,16.5,75.6,4.8,0.7,3.6,2.7,23.7,0.1,0.1,0.1,14.53
5,Todd Gurley,RB,6,LAR,JAX,18.1,77.5,4.3,0.5,5.2,3.8,27.8,0.1,0.1,0.1,13.93
6,Lamar Miller,RB,6,HOU,CLE,17.8,69.2,3.8,0.6,3.2,2.3,18.4,0.1,0.1,0.1,12.76
7,CJ Anderson,RB,6,DEN,NYG,19.5,75.5,3.8,0.5,3.0,2.1,17.1,0.1,0.1,0.1,12.66
8,DeMarco Murray,RB,6,TEN,IND,15.1,69.5,4.7,0.6,2.7,2.1,16.5,0.1,0.1,0.1,12.60
9,Melvin Gordon,RB,6,LAC,OAK,16.3,67.8,4.2,0.4,5.5,3.7,29.2,0.1,0.1,0.1,12.50
10,Mark Ingram,RB,6,NO,DET,14.2,59.1,4.2,0.4,4.9,3.6,26.5,0.2,0.1,0.1,11.96
11,Mike Gillislee,RB,6,NE,NYJ,16.7,66.7,3.9,0.8,0.1,0.1,0.8,0.0,0.1,0.1,11.35
12,Marshawn Lynch,RB,6,OAK,LAC,15.4,56.8,3.8,0.7,1.5,1.1,9.1,0.1,0.1,0.1,11.19
13,Jordan Howard,RB,6,CHI,BAL,15.3,70.2,4.7,0.4,2.5,1.8,12.7,0.1,0.1,0.1,11.09
14,Jay Ajayi,RB,6,MIA,ATL,17.3,73.0,4.3,0.3,2.5,1.8,13.0,0.1,0.1,0.1,10.80
15,Doug Martin,RB,6,TB,ARI,16.0,64.2,4.0,0.4,2.6,1.8,13.5,0.1,0.1,0.1,10.57
16,Alvin Kamara,RB,6,NO,DET,9.1,34.5,3.8,0.3,5.5,4.2,36.3,0.2,0.1,0.1,9.88
17,Ameer Abdullah,RB,6,DET,NO,13.5,56.8,4.1,0.3,3.3,2.4,19.2,0.1,0.1,0.1,9.80
18,Carlos Hyde,RB,6,SF,WAS,12.4,56.8,4.8,0.3,3.8,2.7,18.9,0.1,0.1,0.1,9.77
19,Samaje Perine,RB,6,WAS,SF,16.9,62.5,3.6,0.5,0.8,0.6,5.5,0.0,0.1,0.1,9.60
20,Javorius Allen,RB,6,BAL,CHI,10.5,43.3,4.3,0.3,5.1,3.7,26.7,0.1,0.1,0.1,9.20
21,Jerick McKinnon,RB,6,MIN,GB,11.2,45.3,4.1,0.3,4.6,3.1,23.7,0.1,0.1,0.1,9.10
22,Chris Thompson,RB,6,WAS,SF,7.2,29.9,4.3,0.3,4.4,3.2,29.7,0.2,0.1,0.1,8.76
23,Latavius Murray,RB,6,MIN,GB,11.8,44.9,3.8,0.4,2.5,1.9,13.9,0.1,0.1,0.1,8.68
24,Christian McCaffrey,RB,6,CAR,PHI,6.1,22.3,3.7,0.2,6.4,4.6,42.2,0.2,0.1,0.1,8.65
25,Tevin Coleman,RB,6,ATL,MIA,8.0,38.1,4.8,0.3,3.9,2.9,25.8,0.1,0.1,0.1,8.59
26,Jonathan Stewart,RB,6,CAR,PHI,14.4,54.9,3.9,0.4,1.5,1.1,8.7,0.0,0.1,0.1,8.56
27,Ty Montgomery,RB,6,GB,MIN,8.2,39.8,5.0,0.3,3.5,2.6,19.8,0.1,0.1,0.1,8.16
28,Matt Forte,RB,6,NYJ,NE,9.3,36.4,4.0,0.3,3.3,2.3,19.4,0.1,0.1,0.1,7.78
29,Aaron Jones,RB,6,GB,MIN,10.7,44.4,4.0,0.2,2.6,1.9,15.1,0.1,0.1,0.1,7.55
30,LeGarrette Blount,RB,6,PHI,CAR,13.2,51.9,4.0,0.3,1.5,1.1,7.2,0.0,0.1,0.1,7.51
31,Isaiah Crowell,RB,6,CLE,HOU,12.8,45.6,3.5,0.3,2.6,1.8,11.4,0.0,0.1,0.1,7.30
32,Alex Collins,RB,6,BAL,CHI,12.0,49.4,4.1,0.3,1.4,1.0,7.0,0.0,0.1,0.1,7.24
33,Elijah McGuire,RB,6,NYJ,NE,8.2,39.9,5.0,0.2,2.9,2.0,16.3,0.1,0.1,0.1,7.22
34,Theo Riddick,RB,6,DET,NO,3.1,9.1,3.0,0.1,7.0,4.7,39.0,0.3,0.0,0.0,7.21
35,Duke Johnson,RB,6,CLE,HOU,5.9,20.7,3.5,0.2,5.4,4.0,35.0,0.1,0.1,0.1,7.17
36,Andre Ellington,RB,6,ARI,TB,3.6,13.6,3.5,0.1,5.8,4.4,40.7,0.2,0.1,0.1,7.03
37,Frank Gore,RB,6,IND,TEN,10.3,40.1,4.0,0.3,2.4,1.8,13.8,0.0,0.1,0.1,6.99
