Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
1,Tom Brady,QB,11,NE,OAK,26.0,38.2,68.4,300.7,7.9,2.4,0.6,98.7,1.8,1.0,0.5,0.0,19.93
2,Russell Wilson,QB,11,SEA,ATL,23.5,35.3,68.6,262.2,7.5,2.0,0.7,97.6,5.5,24.9,4.2,0.1,19.58
3,Carson Wentz,QB,11,PHI,DAL,20.3,35.4,57.1,237.9,6.8,2.0,0.6,85.2,4.2,22.4,5.5,0.1,18.56
4,Alex Smith,QB,11,KC,NYG,22.2,33.2,66.7,247.9,7.5,1.9,0.5,109.2,4.1,16.7,4.2,0.1,18.39
5,Dak Prescott,QB,11,DAL,PHI,21.6,34.0,64.7,241.1,7.1,1.7,0.7,92.9,5.1,24.6,5.0,0.2,18.10
6,Drew Brees,QB,11,NO,WAS,24.0,37.7,63.2,279.6,7.4,2.0,0.5,103.0,1.8,1.0,0.5,0.0,17.88
7,Derek Carr,QB,11,OAK,NE,24.0,37.5,63.2,276.0,7.3,1.9,0.9,91.6,1.8,1.8,1.0,0.0,16.62
8,Philip Rivers,QB,11,LAC,BUF,22.8,36.5,63.9,266.1,7.4,1.9,1.0,93.1,1.2,0.7,1.0,0.0,15.91
9,Kirk Cousins,QB,11,WAS,NO,21.4,37.3,56.8,256.6,6.9,1.6,0.8,85.1,2.8,12.2,4.0,0.0,15.68
10,Ben Roethlisberger,QB,11,PIT,TEN,20.5,34.2,58.8,255.8,7.5,1.8,0.9,89.8,1.9,1.6,1.0,0.0,15.39
11,Jared Goff,QB,11,LAR,MIN,20.2,33.6,58.8,247.2,7.3,1.6,0.8,88.7,2.3,5.4,2.5,0.0,14.83
12,Matthew Stafford,QB,11,DET,CHI,21.8,37.0,59.5,250.2,6.8,1.5,0.8,86.5,2.5,8.1,4.0,0.0,14.82
13,Matt Ryan,QB,11,ATL,SEA,21.9,36.3,61.1,256.4,7.1,1.5,0.9,89.6,1.9,3.3,1.5,0.0,14.39
14,Ryan Fitzpatrick,QB,11,TB,MIA,21.6,36.4,61.1,242.1,6.7,1.4,1.1,78.7,2.6,11.2,3.7,0.0,13.80
15,Blake Bortles,QB,11,JAX,CLE,20.3,30.6,64.5,224.2,7.2,1.4,0.9,83.3,3.9,13.6,3.5,0.0,13.73
16,Marcus Mariota,QB,11,TEN,PIT,21.5,33.9,64.7,221.6,6.5,1.3,1.0,80.8,3.9,14.8,3.8,0.1,13.54
17,Case Keenum,QB,11,MIN,LAR,20.5,33.4,60.6,234.6,7.1,1.5,1.0,89.8,1.7,5.5,3.0,0.0,13.53
18,Eli Manning,QB,11,NYG,KC,20.9,37.1,56.8,250.5,6.8,1.4,1.0,75.3,1.2,1.3,1.0,0.0,13.15
19,Jay Cutler,QB,11,MIA,TB,22.1,34.6,62.9,244.7,7.0,1.5,1.2,90.8,1.7,2.0,1.0,0.0,12.99
20,Andy Dalton,QB,11,CIN,DEN,19.9,36.2,55.6,222.7,6.2,1.4,0.9,71.9,2.7,6.6,2.3,0.0,12.77
21,Joe Flacco,QB,11,BAL,GB,20.8,35.2,60.0,233.0,6.7,1.4,1.0,77.4,1.7,1.9,1.0,0.0,12.71
22,Blaine Gabbert,QB,11,ARI,HOU,16.4,27.4,59.3,219.0,8.1,1.1,1.1,82.2,3.7,14.5,3.5,0.0,12.01
23,Brett Hundley,QB,11,GB,BAL,15.4,25.7,57.7,205.4,7.9,1.2,1.3,79.8,3.4,14.5,4.7,0.0,11.47
24,Mitch Trubisky,QB,11,CHI,DET,16.9,28.5,60.7,188.5,6.7,1.0,0.9,77.7,3.0,17.6,6.0,0.0,10.90
25,Deshone Kizer,QB,11,CLE,JAX,17.6,31.8,56.2,167.6,5.2,0.9,1.2,68.2,5.5,23.8,4.0,0.1,10.28
26,Brock Osweiler,QB,11,DEN,CIN,18.3,32.2,56.2,207.4,6.5,1.1,1.2,73.3,1.6,1.9,1.0,0.0,10.09
27,Nathan Peterman,QB,11,BUF,LAC,17.1,28.9,58.6,187.1,6.4,1.0,1.0,74.9,2.5,5.6,3.0,0.0,9.64
28,Tom Savage,QB,11,HOU,ARI,17.0,30.4,56.7,185.3,6.2,1.1,1.1,72.2,1.6,1.9,1.0,0.0,9.40
29,Tyrod Taylor,QB,11,BUF,LAC,1.2,2.0,50.0,15.9,8.0,0.1,0.1,77.1,0.4,1.8,0.0,0.0,1.02
30,Paxton Lynch,QB,11,DEN,CIN,0.8,1.3,100.0,10.1,10.0,0.0,0.0,108.3,0.2,0.6,0.0,0.0,0.26
31,Matt Moore,QB,11,MIA,TB,0.4,0.7,0.0,5.9,6.0,0.0,0.0,52.1,0.1,0.2,0.0,0.0,0.26
32,Ryan Mallett,QB,11,BAL,GB,0.4,0.7,0.0,5.2,5.0,0.0,0.0,47.9,0.1,0.3,0.0,0.0,0.24
33,Brian Hoyer,QB,11,NE,OAK,0.4,0.7,0.0,5.5,6.0,0.0,0.0,52.1,0.1,0.2,0.0,0.0,0.24
