Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,Fantasy Points
1,Mark Ingram,RB,17,NO,TB,15.7,77.1,4.8,0.8,4.4,3.2,24.4,0.1,0.1,0.1,15.35
2,Ezekiel Elliott,RB,17,DAL,PHI,19.8,80.4,4.0,0.8,3.2,2.4,16.7,0.1,0.1,0.1,14.91
3,LeSean McCoy,RB,17,BUF,MIA,18.4,84.7,4.7,0.5,5.0,3.7,27.4,0.1,0.1,0.1,14.61
4,Alvin Kamara,RB,17,NO,TB,9.4,48.2,5.3,0.4,7.3,5.6,51.5,0.2,0.0,0.0,13.57
5,Kenyan Drake,RB,17,MIA,BUF,18.4,77.6,4.3,0.3,5.5,3.7,28.0,0.2,0.0,0.0,13.56
6,Dion Lewis,RB,17,NE,NYJ,17.6,78.3,4.3,0.5,3.7,2.6,20.4,0.1,0.0,0.0,13.47
7,Jamaal Williams,RB,17,GB,DET,15.6,61.3,3.8,0.6,3.2,2.4,20.4,0.1,0.0,0.0,12.37
8,Derrick Henry,RB,17,TEN,JAX,16.1,71.1,4.4,0.5,3.7,2.5,18.6,0.1,0.1,0.1,12.37
9,Melvin Gordon,RB,17,LAC,OAK,17.5,67.7,3.8,0.4,4.3,2.9,23.8,0.1,0.1,0.1,11.95
10,Carlos Hyde,RB,17,SF,LAR,15.0,62.2,4.1,0.5,4.5,3.2,21.3,0.1,0.1,0.1,11.75
11,Devonta Freeman,RB,17,ATL,CAR,13.8,61.1,4.4,0.5,3.2,2.4,22.1,0.1,0.1,0.1,11.72
12,Alex Collins,RB,17,BAL,CIN,15.1,69.4,4.6,0.5,2.6,1.9,14.1,0.0,0.1,0.1,11.15
13,Marshawn Lynch,RB,17,OAK,LAC,14.8,64.7,4.3,0.5,2.8,2.0,13.8,0.0,0.1,0.1,10.65
14,Latavius Murray,RB,17,MIN,CHI,14.6,63.0,4.2,0.6,1.6,1.2,9.3,0.0,0.1,0.1,10.63
15,Leonard Fournette,RB,17,JAX,TEN,14.9,59.7,4.0,0.5,2.4,1.6,11.2,0.1,0.1,0.1,10.49
16,CJ Anderson,RB,17,DEN,KC,16.5,67.4,4.2,0.3,2.4,1.7,13.5,0.1,0.1,0.1,10.29
17,Christian McCaffrey,RB,17,CAR,ATL,8.3,34.4,4.2,0.2,7.7,5.5,42.4,0.2,0.1,0.1,9.88
18,Samaje Perine,RB,17,WAS,NYG,16.3,61.3,3.8,0.3,3.1,2.3,18.4,0.0,0.0,0.0,9.77
19,Frank Gore,RB,17,IND,HOU,16.4,61.1,3.8,0.4,2.4,1.8,13.8,0.0,0.1,0.1,9.69
