Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Stephen Gostkowski,K,14,NE,MIA,2.1,2.2,100.0,0.0,3.2,3.2,9.50
2,Greg Zuerlein,K,14,LAR,PHI,2.3,2.4,100.0,0.0,2.5,2.5,9.40
3,Matt Bryant,K,14,ATL,NO,2.0,2.1,100.0,0.0,2.8,2.8,8.80
4,Wil Lutz,K,14,NO,ATL,2.0,2.2,100.0,0.0,2.8,2.8,8.80
5,Chris Boswell,K,14,PIT,BAL,2.1,2.2,100.0,0.0,2.1,2.1,8.40
6,Harrison Butker,K,14,KC,OAK,2.0,2.1,100.0,0.0,2.4,2.4,8.40
7,Ryan Succop,K,14,TEN,ARI,2.0,2.1,100.0,0.0,2.3,2.3,8.30
8,Matt Prater,K,14,DET,TB,2.0,2.1,100.0,0.0,2.2,2.2,8.20
9,Travis Coons,K,14,LAC,WAS,1.9,2.4,100.0,0.0,2.5,2.5,8.20
10,Phil Dawson,K,14,ARI,TEN,1.9,2.1,100.0,0.0,2.3,2.3,8.00
11,Graham Gano,K,14,CAR,MIN,2.0,2.1,100.0,0.0,1.9,1.9,7.90
12,Steven Hauschka,K,14,BUF,IND,1.9,2.1,100.0,0.0,2.1,2.1,7.80
13,Ka'imi Fairbairn,K,14,HOU,SF,1.9,2.1,100.0,0.0,2.1,2.1,7.80
14,Dan Bailey,K,14,DAL,NYG,1.7,1.8,100.0,0.0,2.7,2.7,7.80
15,Justin Tucker,K,14,BAL,PIT,2.0,2.1,100.0,0.0,1.8,1.8,7.80
16,Robbie Gould,K,14,SF,HOU,1.9,2.0,100.0,0.0,2.0,2.0,7.70
17,Brandon McManus,K,14,DEN,NYJ,1.9,2.0,100.0,0.0,2.0,2.0,7.70
18,Josh Lambo,K,14,JAX,SEA,1.9,2.1,100.0,0.0,1.9,1.9,7.60
19,Chandler Catanzaro,K,14,NYJ,DEN,1.8,1.9,100.0,0.0,2.1,2.1,7.50
20,Kai Forbath,K,14,MIN,CAR,1.8,1.9,100.0,0.0,2.0,2.0,7.40
21,Jake Elliott,K,14,PHI,LAR,1.6,1.7,100.0,0.0,2.4,2.4,7.20
22,Mason Crosby,K,14,GB,CLE,1.5,1.6,100.0,0.0,2.4,2.4,6.90
23,Adam Vinatieri,K,14,IND,BUF,1.6,1.7,100.0,0.0,1.8,1.8,6.60
24,Patrick Murray,K,14,TB,DET,1.6,1.7,100.0,0.0,1.8,1.8,6.60
25,Blair Walsh,K,14,SEA,JAX,1.5,1.6,100.0,0.0,2.0,2.0,6.50
26,Randy Bullock,K,14,CIN,CHI,1.4,1.5,50.0,0.0,2.2,2.2,6.40
27,Giorgio Tavecchio,K,14,OAK,KC,1.3,1.4,100.0,0.0,2.4,2.4,6.30
28,Nick Rose,K,14,WAS,LAC,1.4,1.4,100.0,0.0,2.0,2.0,6.20
29,Mike Nugent,K,14,CHI,CIN,1.4,1.6,50.0,0.0,1.7,1.7,5.90
30,Zane Gonzalez,K,14,CLE,GB,1.2,1.3,100.0,0.0,2.0,2.0,5.60
31,Aldrick Rosas,K,14,NYG,DAL,1.2,1.3,100.0,0.0,1.5,1.5,5.10
32,Cody Parkey,K,14,MIA,NE,1.1,1.2,100.0,0.0,1.8,1.8,5.10
33,Sebastian Janikowski,K,14,OAK,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.00
34,Nick Folk,K,14,TB,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.00
35,Dustin Hopkins,K,14,WAS,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.00
36,Caleb Sturgis,K,14,PHI,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.00
37,Nick Novak,K,14,LAC,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.00
38,Cairo Santos,K,14,CHI,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.00
