Rk,Player,Pos,Week,Team,Opp,FG Made,FG Att,Pct,Long,XP Made,XP Att,Fantasy Points
1,Stephen Gostkowski,K,2,NE,NO,2.0,2.1,100.0,0.0,3.7,3.7,9.70
2,Justin Tucker,K,2,BAL,CLE,2.3,2.4,100.0,0.0,2.7,2.7,9.60
3,Mason Crosby,K,2,GB,ATL,1.9,2.0,100.0,0.0,2.9,2.9,8.60
4,Blair Walsh,K,2,SEA,SF,1.9,2.1,100.0,0.0,2.8,2.8,8.50
5,Matt Bryant,K,2,ATL,GB,1.7,1.8,100.0,0.0,3.2,3.2,8.30
6,Graham Gano,K,2,CAR,BUF,2.0,2.1,100.0,0.0,2.3,2.3,8.30
7,Brandon McManus,K,2,DEN,DAL,1.9,2.0,100.0,0.0,2.0,2.0,7.70
8,Matt Prater,K,2,DET,NYG,1.9,1.9,100.0,0.0,1.9,1.9,7.60
9,Giorgio Tavecchio,K,2,OAK,NYJ,1.6,1.8,100.0,0.0,2.8,2.8,7.60
10,Younghoe Koo,K,2,LAC,MIA,1.5,1.6,100.0,0.0,2.8,2.8,7.30
11,Adam Vinatieri,K,2,IND,ARI,1.8,1.8,100.0,0.0,1.8,1.8,7.20
12,Nick Folk,K,2,TB,CHI,1.6,1.8,100.0,0.0,2.4,2.4,7.20
13,Aldrick Rosas,K,2,NYG,DET,1.7,1.8,100.0,0.0,2.1,2.1,7.20
14,Jason Myers,K,2,JAX,TEN,1.7,1.9,100.0,0.0,2.0,2.0,7.10
15,Phil Dawson,K,2,ARI,IND,1.5,1.6,100.0,0.0,2.5,2.5,7.00
16,Ryan Succop,K,2,TEN,JAX,1.5,1.6,100.0,0.0,2.4,2.4,6.90
17,Dustin Hopkins,K,2,WAS,LAR,1.4,1.5,50.0,0.0,2.7,2.7,6.90
18,Kai Forbath,K,2,MIN,PIT,1.6,1.7,100.0,0.0,1.9,1.9,6.70
19,Chris Boswell,K,2,PIT,MIN,1.4,1.5,50.0,0.0,2.3,2.3,6.50
20,Randy Bullock,K,2,CIN,HOU,1.5,1.6,100.0,0.0,1.9,1.9,6.40
21,Cairo Santos,K,2,KC,PHI,1.3,1.5,50.0,0.0,2.4,2.4,6.30
22,Greg Zuerlein,K,2,LAR,WAS,1.3,1.4,100.0,0.0,2.3,2.3,6.20
23,Wil Lutz,K,2,NO,NE,1.1,1.2,100.0,0.0,2.8,2.8,6.10
24,Dan Bailey,K,2,DAL,DEN,1.3,1.5,50.0,0.0,2.1,2.1,6.00
25,Cody Parkey,K,2,MIA,LAC,1.2,1.3,100.0,0.0,2.1,2.1,5.70
26,Ka'imi Fairbairn,K,2,HOU,CIN,1.2,1.3,100.0,0.0,1.8,1.8,5.40
27,Steven Hauschka,K,2,BUF,CAR,1.1,1.2,100.0,0.0,1.9,1.9,5.20
28,Jake Elliott,K,2,PHI,KC,1.0,1.1,100.0,0.0,1.8,1.8,4.80
29,Connor Barth,K,2,CHI,TB,0.9,1.0,100.0,0.0,2.0,2.0,4.70
30,Zane Gonzalez,K,2,CLE,BAL,1.1,1.2,100.0,0.0,1.2,1.2,4.50
31,Chandler Catanzaro,K,2,NYJ,OAK,0.9,1.1,100.0,0.0,1.7,1.7,4.40
32,Robbie Gould,K,2,SF,SEA,0.9,1.0,100.0,0.0,1.3,1.3,4.00
33,Sebastian Janikowski,K,2,OAK,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.00
34,Caleb Sturgis,K,2,PHI,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.00
35,Harrison Butker,K,2,CAR,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.00
