Rk,Player,Pos,Week,Team,Opp,Comp,Att,Pct,Yds,Yds/Att,TD,Int,QB Rating,Att,Yds,Yds/Att,TD,Fantasy Points
1,Russell Wilson,QB,10,SEA,ARI,23.9,37.6,63.2,270.0,7.1,1.8,0.9,90.9,5.2,24.6,5.0,0.1,18.66
2,Dak Prescott,QB,10,DAL,ATL,20.3,32.7,60.6,233.9,7.1,1.7,0.5,102.3,4.4,20.9,5.2,0.2,18.05
3,Matthew Stafford,QB,10,DET,CLE,22.8,37.5,60.5,272.6,7.2,2.0,0.8,89.0,2.6,3.7,1.3,0.0,17.27
4,Tom Brady,QB,10,NE,DEN,24.8,38.7,64.1,271.6,7.0,2.1,0.9,91.0,1.8,1.0,0.5,0.0,17.16
5,Cam Newton,QB,10,CAR,MIA,19.4,33.0,57.6,236.6,7.2,1.4,0.9,77.5,6.9,28.1,4.0,0.2,16.67
6,Matt Ryan,QB,10,ATL,DAL,22.6,35.6,63.9,268.4,7.4,1.8,0.6,93.3,2.0,4.0,2.0,0.0,16.54
7,Jared Goff,QB,10,LAR,HOU,20.1,33.3,60.6,257.2,7.8,1.9,0.8,92.6,2.3,5.6,3.0,0.0,16.45
8,Ben Roethlisberger,QB,10,PIT,IND,20.7,34.1,61.8,258.4,7.6,1.9,0.7,92.5,2.1,2.2,1.0,0.0,16.36
9,Drew Brees,QB,10,NO,BUF,24.8,38.6,64.1,281.5,7.2,1.8,1.0,92.0,1.6,0.7,0.5,0.0,16.13
10,Tyrod Taylor,QB,10,BUF,NO,18.3,30.6,58.1,214.1,6.9,1.5,0.7,87.3,6.0,25.2,4.2,0.1,15.68
11,Marcus Mariota,QB,10,TEN,CIN,20.1,33.3,60.6,229.7,7.0,1.5,0.8,89.2,3.9,14.6,3.8,0.1,15.25
12,Josh McCown,QB,10,NYJ,TB,22.1,33.9,64.7,234.9,6.9,1.7,0.8,92.2,2.7,9.4,3.0,0.0,14.94
13,Kirk Cousins,QB,10,WAS,MIN,22.5,36.7,59.5,258.6,7.0,1.5,0.9,87.6,2.6,7.3,2.3,0.0,14.67
14,Eli Manning,QB,10,NYG,SF,21.9,37.7,57.9,243.8,6.4,1.7,0.8,83.7,1.3,1.1,1.0,0.0,14.66
15,Andy Dalton,QB,10,CIN,TEN,20.9,36.6,56.8,240.4,6.5,1.5,1.0,83.2,3.0,7.6,2.7,0.0,13.98
16,Case Keenum,QB,10,MIN,WAS,22.0,34.3,64.7,236.3,6.9,1.4,0.9,82.5,1.7,7.3,3.5,0.0,13.58
17,Ryan Fitzpatrick,QB,10,TB,NYJ,16.9,28.2,60.7,225.8,8.1,1.3,1.0,83.3,2.6,16.7,5.7,0.0,13.50
18,Blake Bortles,QB,10,JAX,LAC,17.2,29.5,56.7,203.3,6.8,1.1,0.9,74.7,4.0,19.8,5.0,0.1,12.71
19,Jacoby Brissett,QB,10,IND,PIT,19.8,33.1,60.6,209.5,6.4,1.0,1.0,76.6,4.2,18.1,4.5,0.1,12.19
20,CJ Beathard,QB,10,SF,NYG,19.4,33.0,57.6,200.5,6.1,1.0,1.0,72.8,3.2,17.6,6.0,0.1,11.98
21,Philip Rivers,QB,10,LAC,JAX,19.9,35.5,55.6,236.6,6.6,1.3,1.1,73.5,1.1,0.8,1.0,0.0,11.94
22,Jay Cutler,QB,10,MIA,CAR,19.2,34.2,55.9,223.8,6.6,1.2,1.2,73.7,1.6,4.2,2.0,0.0,11.37
23,Brock Osweiler,QB,10,DEN,NE,19.5,34.7,57.1,217.2,6.2,1.2,1.1,73.2,1.7,1.8,1.0,0.0,11.07
24,Brett Hundley,QB,10,GB,CHI,18.2,31.8,56.2,187.0,5.8,1.0,1.1,70.7,3.5,16.8,4.2,0.1,10.96
25,Mitch Trubisky,QB,10,CHI,GB,15.7,25.5,61.5,177.6,6.8,1.1,0.8,78.7,3.2,15.6,5.3,0.0,10.86
26,Deshone Kizer,QB,10,CLE,DET,18.1,31.8,56.2,192.1,6.0,1.1,1.2,71.4,4.6,17.4,3.4,0.0,10.82
27,Tom Savage,QB,10,HOU,LAR,17.6,30.7,58.1,193.1,6.2,0.9,1.1,73.7,1.5,2.0,1.0,0.0,8.92
28,Drew Stanton,QB,10,ARI,SEA,14.3,23.8,58.3,190.5,7.9,0.9,1.2,80.2,2.5,4.0,2.0,0.0,8.82
29,Trevor Siemian,QB,10,DEN,NE,1.9,3.0,66.7,21.3,7.0,0.1,0.1,86.8,0.2,1.0,0.0,0.0,1.15
30,Teddy Bridgewater,QB,10,MIN,WAS,0.6,1.0,100.0,8.1,8.0,0.1,0.0,100.0,0.0,0.2,0.0,0.0,0.74
31,Jimmy Garoppolo,QB,10,SF,NYG,0.8,1.4,100.0,11.0,11.0,0.1,0.1,112.5,0.1,0.2,0.0,0.0,0.66
32,Cody Kessler,QB,10,CLE,DET,0.8,1.4,100.0,11.0,11.0,0.1,0.1,112.5,0.1,0.6,0.0,0.0,0.50
33,Mike Glennon,QB,10,CHI,GB,0.4,0.7,0.0,5.9,6.0,0.0,0.0,52.1,0.0,0.1,0.0,0.0,0.25
34,Bryce Petty,QB,10,NYJ,TB,0.4,0.7,0.0,5.8,6.0,0.0,0.0,52.1,0.0,0.1,0.0,0.0,0.24
